DateTime,AddedIPs,RemovedIPs
1547582694,2565,112
1547584600,198,106
1547586517,116,118
1547588430,130,190
1547590365,227,109
1547592273,435,107
1547594450,766,460
1547596357,121,253
1547598292,232,114
1547600193,113,115
1547602110,124,121
1547604086,123,123
1547605946,116,111
1547607865,132,99
1547609785,126,101
1547611967,133,138
1547613865,208,121
1547616039,140,106
1547617977,801,102
1547619856,1148,129
1547621799,906,112
1547623697,190,110
1547625651,226,132
1547627553,166,120
1547629490,183,314
1547631377,190,173
1547633330,201,123
1547635493,217,163
1547637636,197,98
1547639565,780,107
1547641492,126,109
1547643497,137,135
1547645564,121,153
1547647498,437,134
1547649653,205,150
1547651563,101,136
1547653462,139,124
1547655386,127,136
1547657554,128,145
1547659499,148,2528
1547661373,142,2678
1547663554,129,3032
1547665493,100,2577
1547667417,142,2523
1547669543,135,2052
1547671481,131,165
1547673406,125,122
1547675321,102,190
1547677248,125,121
1547679214,125,344
1547681059,117,790
1547683000,108,132
1547684893,102,226
1547687078,154,133
1547689266,122,131
1547691146,114,109
1547693077,106,125
1547694982,98,142
1547697179,135,137
1547699080,95,130
1547700969,110,110
1547703143,111,313
1547705078,163,1616
1547707231,184,1992
1547709406,879,537
1547711318,2834,148
1547713227,2829,244
1547715165,2583,121
1547717062,192,119
1547718972,867,118
1547721178,1232,108
1547723078,826,156
1547725006,938,1107
1547727163,1024,481
1547729064,979,120
1547730995,902,107
1547733137,719,287
1547735078,139,418
1547737001,171,122
1547738891,121,132
1547741784,217,168
1547743696,163,105
1547745633,143,373
1547747793,179,321
1547749944,170,130
1547751859,145,111
1547753777,140,124
1547755962,180,155
1547757859,128,125
1547759794,115,138
1547761959,154,123
1547763856,127,134
1547765771,127,126
1547767703,110,136
1547769744,587,205
1547771559,620,102
1547773731,125,142
1547775610,124,121
1547777548,125,120
1547779459,358,114
1547781378,734,97
1547783321,623,122
1547785218,640,105
1547787173,738,112
1547789052,667,86
1547790978,828,127
1547793165,919,158
1547795085,632,145
1547796972,657,2486
1547799141,763,3006
1547801094,624,3390
1547803237,706,315
1547805151,737,145
1547807081,349,492
1547808981,134,113
1547810895,181,133
1547813084,164,150
1547814979,126,123
1547817159,174,132
1547819079,149,108
1547820992,128,131
1547823159,146,176
1547825060,156,135
1547828203,274,199
1547830138,167,141
1547832049,147,136
1547833943,151,225
1547835881,164,140
1547837766,152,125
1547839940,169,142
1547841867,138,134
1547843800,150,142
1547845973,170,121
1547847849,115,120
1547849782,137,134
1547851978,132,133
1547853851,103,288
1547855798,105,718
1547857697,451,850
1547859636,136,514
1547861569,90,499
1547863453,73,451
1547865642,108,891
1547867542,154,1278
1547869462,131,1316
1547871647,135,1056
1547873560,124,920
1547875467,106,890
1547877371,112,988
1547879290,87,1074
1547881288,102,971
1547883161,123,991
1547885109,109,999
1547886969,149,931
1547889152,180,1142
1547891080,177,1044
1547893242,120,713
1547895145,99,154
1547897051,106,235
1547898989,116,156
1547900895,111,125
1547903784,186,212
1547905943,317,222
1547907881,3231,166
1547910040,700,175
1547911936,78,163
1547913892,105,169
1547915802,103,112
1547917730,88,111
1547919612,93,111
1547921805,119,146
1547923715,91,138
1547925619,90,113
1547927539,109,116
1547929476,196,102
1547931380,93,106
1547933315,96,137
1547935265,96,249
1547937161,132,803
1547939330,105,124
1547941220,114,123
1547943164,90,533
1547945051,98,126
1547946974,138,138
1547949161,95,105
1547951073,77,86
1547952968,89,154
1547954895,116,130
1547956898,128,150
1547958757,80,157
1547960652,95,110
1547962569,118,106
1547964762,119,121
1547966651,123,117
1547968570,89,167
1547970498,92,151
1547972428,81,189
1547974330,99,224
1547976286,138,216
1547978171,104,170
1547980095,298,107
1547982122,103,106
1547983959,120,99
1547985887,190,132
1547987779,145,102
1547989692,141,128
1547991653,199,216
1547993547,231,1076
1547995724,270,3086
1547997659,204,86
1547999565,124,118
1548001494,136,107
1548003378,262,112
1548005563,258,91
1548007500,201,123
1548009376,153,93
1548011571,5102,95
1548013450,2877,101
1548015652,2048,173
1548017537,133,86
1548019457,186,94
1548021372,302,95
1548023553,478,147
1548025461,828,93
1548027402,1057,87
1548029352,1300,77
1548031243,2196,110
1548033436,2569,135
1548035298,2072,81
1548037215,2205,76
1548039142,2315,83
1548041099,1325,105
1548042972,881,97
1548044916,980,76
1548046835,972,105
1548048735,242,95
1548050708,132,98
1548052571,88,98
1548054743,92,115
1548056658,88,87
1548058609,92,87
1548060766,124,99
1548062650,63,120
1548064596,86,107
1548066741,108,180
1548068664,67,89
1548070598,86,114
1548072494,73,112
1548074447,138,125
1548076479,410,114
1548078522,428,148
1548080430,430,133
1548082375,611,132
1548084297,428,128
1548086449,614,105
1548088359,541,110
1548090259,472,102
1548092191,199,228
1548094343,94,129
1548096302,83,86
1548098183,88,4401
1548100110,111,2740
1548102029,112,1986
1548103973,106,112
1548106160,97,181
1548108041,91,134
1548109959,88,314
1548111891,89,612
1548113771,87,645
1548115971,112,1312
1548117867,86,2190
