DateTime,Entries,UniqueIPs
1547580766,10941,10941
1547582696,12538,12538
1547584601,12550,12550
1547586518,12549,12549
1547588431,12551,12551
1547590366,12586,12586
1547592273,12714,12714
1547594451,12564,12564
1547596358,12460,12460
1547598292,12472,12472
1547600194,12478,12478
1547602111,12480,12480
1547604091,12480,12480
1547605947,12480,12480
1547607865,12487,12487
1547609786,12485,12485
1547611968,12487,12487
1547613866,12537,12537
1547616040,12542,12542
1547617978,12929,12929
1547619857,13500,13500
1547621800,13941,13941
1547623697,13944,13944
1547626592,13949,13949
1547628787,13966,13966
1547630663,14019,14019
1547632598,14055,14055
1547634498,14093,14093
1547636435,14112,14112
1547638341,14215,14215
1547640264,14327,14327
1547642175,14327,14327
1547644111,14326,14326
1547646045,14323,14323
1547647941,14548,14548
1547650107,14550,14550
1547652017,14550,14550
1547653938,14547,14547
1547655852,14540,14540
1547657774,14435,14435
1547659938,12496,12496
1547661879,11142,11142
1547664048,9193,9193
1547665935,7628,7628
1547667876,5846,5846
1547670049,5012,5012
1547671966,5011,5011
1547673875,5004,5004
1547675771,5002,5002
1547677719,5003,5003
1547680578,4921,4921
1547682496,4907,4907
1547684453,4882,4882
1547686342,4877,4877
1547688279,4878,4878
1547690208,4878,4878
1547692367,4876,4876
1547694278,4871,4871
1547696199,4871,4871
1547698095,4866,4866
1547700044,4873,4873
1547701955,4878,4878
1547703857,4387,4387
1547706046,3588,3588
1547707945,2812,2812
1547709870,4090,4090
1547711772,6494,6494
1547713963,9225,9225
1547715875,10387,10387
1547717781,10494,10494
1547719948,10911,10911
1547721881,11226,11226
1547724022,11560,11560
1547725967,11527,11527
1547727871,11922,11922
1547729777,12338,12338
1547731692,12804,12804
1547734610,12672,12672
1547736742,12667,12667
1547738651,12668,12668
1547740598,12666,12666
1547742485,12669,12669
1547744446,12669,12669
1547746347,12500,12500
1547748264,12508,12508
1547750197,12509,12509
1547752110,12512,12512
1547754010,12511,12511
1547755963,12510,12510
1547757860,12501,12501
1547759795,12507,12507
1547761960,12500,12500
1547763857,12509,12509
1547765772,12508,12508
1547767703,12508,12508
1547769751,12486,12486
1547771560,12534,12534
1547773732,12535,12535
1547775611,12539,12539
1547777549,12542,12542
1547779472,12649,12649
1547781379,12882,12882
1547783322,13080,13080
1547785219,13267,13267
1547787174,13415,13415
1547789053,13609,13609
1547790991,13934,13934
1547793166,14171,14171
1547795087,14420,14420
1547796973,12468,12468
1547799142,10276,10276
1547801095,7619,7619
1547803237,7803,7803
1547805152,8070,8070
1547807082,8172,8172
1547808982,8168,8168
1547810896,8171,8171
1547813085,8164,8164
1547814980,8170,8170
1547817160,8169,8169
1547819079,8170,8170
1547820993,8172,8172
1547823160,8169,8169
1547825061,8172,8172
1547828204,8175,8175
1547830138,8181,8181
1547832050,8181,8181
1547833944,8174,8174
1547835882,8177,8177
1547837767,8175,8175
1547839941,8178,8178
1547841882,8177,8177
1547843800,8180,8180
1547845973,8176,8176
1547847850,8180,8180
1547849783,8166,8166
1547851979,8177,8177
1547853852,8099,8099
1547855799,7957,7957
1547857697,8077,8077
1547859653,7929,7929
1547861569,7757,7757
1547863453,7599,7599
1547865643,7279,7279
1547867543,6761,6761
1547869462,6165,6165
1547871647,5792,5792
1547873561,5531,5531
1547875467,5243,5243
1547877372,4834,4834
1547879291,4517,4517
1547881295,4084,4084
1547883161,3622,3622
1547885123,3256,3256
1547886970,2949,2949
1547889153,2513,2513
1547891080,2086,2086
1547893242,1824,1824
1547895145,1825,1825
1547897051,1819,1819
1547898989,1818,1818
1547900896,1820,1820
1547903784,1824,1824
1547905944,1820,1820
1547907881,2875,2875
1547910049,3064,3064
1547911936,3058,3058
1547913917,3061,3061
1547915803,3060,3060
1547917731,3060,3060
1547919613,3059,3059
1547921806,3060,3060
1547923716,3058,3058
1547925620,3056,3056
1547927540,3053,3053
1547929476,3068,3068
1547931380,3071,3071
1547933316,3070,3070
1547935275,3067,3067
1547937161,3057,3057
1547939330,3058,3058
1547941220,3053,3053
1547943165,2714,2714
1547945052,2713,2713
1547946975,2717,2717
1547949162,2720,2720
1547951073,2720,2720
1547952969,2715,2715
1547954896,2716,2716
1547956901,2718,2718
1547958758,2718,2718
1547960653,2723,2723
1547962570,2732,2732
1547964762,2727,2727
1547966652,2718,2718
1547968570,2707,2707
1547970511,2695,2695
1547972428,2659,2659
1547974331,2593,2593
1547976292,2555,2555
1547978173,2525,2525
1547980096,2652,2652
1547982124,2649,2649
1547983960,2648,2648
1547985890,2661,2661
1547987779,2657,2657
1547989693,2656,2656
1547991654,2653,2653
1547993548,2374,2374
1547995725,1419,1419
1547997659,1460,1460
1547999565,1459,1459
1548001494,1463,1463
1548003379,1470,1470
1548005564,1488,1488
1548007514,1497,1497
1548009377,1502,1502
1548011571,2793,2793
1548013451,2971,2971
1548015653,3133,3133
1548017538,3145,3145
1548019458,3161,3161
1548021373,3213,3213
1548023554,3390,3390
1548025466,3689,3689
1548027402,4160,4160
