DateTime,Entries,UniqueIPs
1547546689,1280,1280
1547548856,1290,1290
1547550745,1291,1291
1547552687,1294,1294
1547554852,1303,1303
1547556758,1294,1294
1547558653,1290,1290
1547560584,1283,1283
1547562516,1278,1278
1547564501,1285,1285
1547566609,1282,1282
1547568807,1293,1293
1547570654,1300,1300
1547572572,1314,1314
1547574535,1323,1323
1547576680,1329,1329
1547578903,1341,1341
1547580768,1351,1351
1547582699,1363,1363
1547584606,1361,1361
1547586520,1369,1369
1547588433,1384,1384
1547590367,1391,1391
1547592275,1391,1391
1547594453,1392,1392
1547596360,1406,1406
1547598294,1414,1414
1547600195,1422,1422
1547602113,1419,1419
1547604097,1409,1409
1547605948,1413,1413
1547607870,1422,1422
1547609787,1423,1423
1547611970,1424,1424
1547613868,1416,1416
1547616042,1414,1414
1547617979,1416,1416
1547619859,1428,1428
1547621802,1428,1428
1547623699,1433,1433
1547626594,1433,1433
1547628802,1432,1432
1547630668,1429,1429
1547632600,1428,1428
1547634502,1424,1424
1547636480,1448,1448
1547638343,1458,1458
1547640265,1458,1458
1547642190,1466,1466
1547644112,1467,1467
1547646047,1476,1476
1547647943,1476,1476
1547650109,1478,1478
1547652018,1466,1466
1547653940,1466,1466
1547655854,1470,1470
1547657776,1461,1461
1547659940,1455,1455
1547661890,1453,1453
1547664050,1453,1453
1547665937,1460,1460
1547667904,1447,1447
1547670051,1436,1436
1547671968,1452,1452
1547673877,1444,1444
1547675773,1428,1428
1547677721,1426,1426
1547679710,1428,1428
1547681572,1423,1423
1547683499,1413,1413
1547685374,1412,1412
1547687566,1402,1402
1547689702,1404,1404
1547691618,1412,1412
1547693544,1416,1416
1547695474,1421,1421
1547697674,1419,1419
1547699541,1437,1437
1547701517,1434,1434
1547703400,1435,1435
1547705554,1433,1433
1547707478,1429,1429
1547709407,1424,1424
1547711319,1421,1421
1547713228,1421,1421
1547715166,1423,1423
1547717064,1425,1425
1547718973,1433,1433
1547721179,1431,1431
1547723105,1391,1391
1547725008,1389,1389
1547727165,1377,1377
1547729065,1370,1370
1547730997,1372,1372
1547733139,1354,1354
1547735080,1351,1351
1547737003,1349,1349
1547738893,1349,1349
1547741786,1347,1347
1547743698,1352,1352
1547745634,1351,1351
1547747794,1359,1359
1547749945,1373,1373
1547751861,1382,1382
1547753779,1386,1386
1547755965,1400,1400
1547757862,1401,1401
1547759797,1400,1400
1547761962,1411,1411
1547763859,1422,1422
1547765774,1413,1413
1547767705,1412,1412
1547769759,1423,1423
1547771562,1424,1424
1547773734,1431,1431
1547775613,1434,1434
1547777551,1420,1420
1547779474,1415,1415
1547781381,1412,1412
1547783323,1411,1411
1547785221,1406,1406
1547787176,1420,1420
1547789055,1426,1426
1547790993,1423,1423
1547793168,1418,1418
1547795091,1413,1413
1547796975,1429,1429
1547799144,1435,1435
1547801097,1438,1438
1547803239,1443,1443
1547805154,1440,1440
1547807085,1456,1456
1547808984,1467,1467
1547810898,1470,1470
1547813091,1474,1474
1547814982,1475,1475
1547817162,1471,1471
1547819081,1467,1467
1547820995,1471,1471
1547823162,1461,1461
1547825063,1448,1448
1547827256,1448,1448
1547829170,1449,1449
1547831128,1451,1451
1547832971,1455,1455
1547835168,1455,1455
1547837054,1465,1465
1547839225,1475,1475
1547841136,1498,1498
1547843092,1506,1506
1547844974,1511,1511
1547847143,1521,1521
1547849061,1522,1522
1547850986,1530,1530
1547853185,1530,1530
1547855109,1517,1517
1547856989,1505,1505
1547859142,1493,1493
1547861076,1480,1480
1547862978,1469,1469
1547865164,1454,1454
1547867128,1442,1442
1547868974,1426,1426
1547871162,1412,1412
1547873066,1387,1387
1547875007,1367,1367
1547876899,1345,1345
1547878834,1326,1326
1547880762,1315,1315
1547882712,1300,1300
1547884839,1267,1267
1547886741,1243,1243
1547888722,1217,1217
1547890915,1195,1195
1547892773,1155,1155
1547894694,1126,1126
1547896590,1089,1089
1547898498,1049,1049
1547900430,1012,1012
1547902348,984,984
1547904255,954,954
1547906205,919,919
1547908346,874,874
1547910322,832,832
1547912202,800,800
1547914660,753,753
1547916756,756,756
1547918811,755,755
1547922740,755,755
1547924671,751,751
1547926577,750,750
1547928766,751,751
1547932599,752,752
1547934763,747,747
1547936668,92,92
1547938891,86,86
1547940741,86,86
1547942701,82,82
1547944595,84,84
1547946501,83,83
1547948450,83,83
1547950341,84,84
1547952261,83,83
1547954186,82,82
1547956096,81,81
1547958043,79,79
1547959942,79,79
1547961867,78,78
1547963794,78,78
1547965694,79,79
1547967650,73,73
1547969594,70,70
1547971490,69,69
1547973396,69,69
1547975319,69,69
1547977213,68,68
1547979157,67,67
1547981055,68,68
1547982996,69,69
1547985162,68,68
1547987064,69,69
1547988975,71,71
1547991164,74,74
1547993093,69,69
1547995225,68,68
1547997167,66,66
1547999085,66,66
1548000987,67,67
1548002897,66,66
1548004846,67,67
1548008663,65,65
1548010574,67,67
1548012741,68,68
1548014670,68,68
1548016825,69,69
1548018774,68,68
1548020661,69,69
1548022578,70,70
1548024798,70,70
1548026685,69,69
1548028898,66,66
1548030753,65,65
1548032736,69,69
1548034574,71,71
1548036744,69,69
1548038656,70,70
1548040583,71,71
1548042518,71,71
1548044443,70,70
1548046349,69,69
1548048254,70,70
1548050172,69,69
1548052126,71,71
1548054077,72,72
1548056207,73,73
1548058102,75,75
1548060050,74,74
1548061955,75,75
1548063886,75,75
1548065779,79,79
1548067710,79,79
1548069629,82,82
1548071532,82,82
1548073490,83,83
1548075406,83,83
1548077545,81,81
1548079499,80,80
1548081406,83,83
1548083562,85,85
