DateTime,AddedIPs,RemovedIPs
1547588436,24,29
1547590370,176,23
1547592278,694,17
1547594456,24,1443
1547596363,27,518
1547598297,224,10
1547600198,18,27
1547602115,28,25
1547604100,18,27
1547605951,33,21
1547607929,26,26
1547609790,28,25
1547611973,26,32
1547613871,131,27
1547616057,33,20
1547617982,34,27
1547619862,20,25
1547621805,45,17
1547623702,77,11
1547626597,112,216
1547628805,88,21
1547630671,112,61
1547632602,134,30
1547634505,102,19
1547636535,68,24
1547638346,1333,10
1547640270,1145,21
1547642204,19,20
1547644115,13,17
1547646050,9,13
1547647946,453,21
1547650112,14,32
1547652021,12,30
1547653943,17,16
1547655857,15,26
1547657779,13,19
1547659943,84,33
1547661893,18,25
1547664053,10,26
1547665940,13,29
1547667907,33,28
1547670054,12,24
1547671971,19,34
1547673880,14,19
1547675776,22,30
1547677724,15,20
1547679732,18,25
1547681574,12,20
1547683514,11,22
1547685376,16,156
1547687568,22,20
1547689705,14,29
1547691622,13,25
1547693547,21,28
1547695490,19,25
1547697703,24,32
1547699544,13,27
1547701545,14,27
1547703416,16,131
1547705556,16,24
1547707481,30,23
1547709411,20,22
1547711322,19,35
1547713231,25,42
1547715169,13,25
1547717066,14,23
1547718976,876,25
1547721182,950,11
1547723109,726,17
1547725025,899,1613
1547727168,1028,404
1547729068,988,18
1547731001,920,5
1547733142,688,147
1547735083,18,318
1547737006,16,16
1547738896,11,14
1547740885,25,13
1547742761,42,13
1547744730,20,93
1547746842,29,459
1547748782,23,18
1547750661,26,7
1547752851,31,17
1547754775,28,16
1547756677,23,13
1547758584,18,17
1547760520,11,15
1547762449,25,30
1547764335,28,14
1547766301,16,16
1547768196,13,14
1547770098,18,130
1547772045,14,15
1547774196,23,20
1547776219,16,12
1547778020,24,15
1547779965,26,20
1547781894,20,18
1547783774,15,18
1547785943,16,16
1547787927,21,12
1547790055,151,18
1547791952,130,14
1547793859,18,18
1547795806,25,17
1547797697,15,14
1547799668,16,43
1547801575,36,53
1547803816,61,22
1547805685,14,10
1547807555,16,31
1547809510,21,18
1547811408,23,15
1547813555,22,22
1547815457,14,13
1547817387,16,18
1547819564,31,19
1547821484,17,16
1547823383,19,14
1547825565,22,16
1547827519,20,23
1547829783,22,26
1547832054,22,19
1547833948,19,28
1547835886,12,18
1547837771,12,30
1547839945,30,29
1547841933,28,23
1547843805,28,18
1547845978,31,19
1547847854,26,15
1547849787,25,39
1547851983,33,22
1547853863,25,576
1547855803,21,1054
1547857701,427,914
1547859714,24,1000
1547861573,20,945
1547863457,12,925
1547865646,19,1109
1547867547,23,936
1547869466,41,889
1547871650,17,24
1547873564,26,16
1547875471,17,18
1547877375,23,26
1547879294,15,106
1547881304,14,42
1547883164,42,46
1547885134,41,79
1547886973,69,107
1547889157,106,122
1547891087,116,43
1547893258,38,23
1547895150,16,23
1547897054,14,31
1547898992,24,30
1547900899,6,23
1547902884,16,21
1547904768,47,72
1547906663,11,21
1547908598,318,39
1547910760,18,36
1547912676,14,33
1547914662,13,29
1547916758,16,17
1547918813,11,22
1547920876,20,15
1547922742,16,10
1547924673,19,19
1547926579,14,25
1547928768,30,30
1547930667,180,28
1547932601,19,30
1547934765,31,30
1547936670,19,243
1547938899,21,21
1547940743,11,23
1547942705,21,360
1547944597,14,118
1547946503,21,17
1547948452,17,23
1547950343,16,12
1547952263,14,17
1547954188,22,23
1547956099,91,77
1547958046,16,15
1547959945,19,26
1547961870,14,17
1547963796,72,24
1547965697,23,22
1547967664,36,88
1547969596,20,110
1547971501,19,84
1547973399,14,127
1547975321,8,142
1547977215,19,128
1547979159,260,50
1547981058,23,17
1547982999,16,11
1547985164,69,23
1547987066,14,10
1547988978,22,12
1547991166,15,22
1547993096,17,64
1547995227,110,493
