DateTime,Entries,UniqueIPs
1547588436,4783,4783
1547590370,4936,4936
1547592278,5613,5613
1547594456,4194,4194
1547596363,3703,3703
1547598297,3917,3917
1547600198,3908,3908
1547602115,3911,3911
1547604100,3902,3902
1547605951,3914,3914
1547607929,3914,3914
1547609790,3917,3917
1547611973,3911,3911
1547613871,4015,4015
1547616057,4028,4028
1547617982,4035,4035
1547619862,4030,4030
1547621805,4058,4058
1547623702,4124,4124
1547626597,4020,4020
1547628805,4087,4087
1547630671,4138,4138
1547632602,4242,4242
1547634505,4325,4325
1547636535,4369,4369
1547638346,5692,5692
1547640270,6816,6816
1547642204,6815,6815
1547644115,6811,6811
1547646050,6807,6807
1547647946,7239,7239
1547650112,7221,7221
1547652021,7203,7203
1547653943,7204,7204
1547655857,7193,7193
1547657779,7187,7187
1547659943,7238,7238
1547661893,7231,7231
1547664053,7215,7215
1547665940,7199,7199
1547667907,7204,7204
1547670054,7192,7192
1547671971,7177,7177
1547673880,7172,7172
1547675776,7164,7164
1547677724,7159,7159
1547679732,7152,7152
1547681574,7144,7144
1547683514,7133,7133
1547685376,6993,6993
1547687568,6995,6995
1547689705,6980,6980
1547691622,6968,6968
1547693547,6961,6961
1547695490,6955,6955
1547697703,6947,6947
1547699544,6933,6933
1547701545,6920,6920
1547703416,6805,6805
1547705556,6797,6797
1547707481,6804,6804
1547709411,6802,6802
1547711322,6786,6786
1547713231,6769,6769
1547715169,6757,6757
1547717066,6748,6748
1547718976,7599,7599
1547721182,8538,8538
1547723109,9247,9247
1547725025,8533,8533
1547727168,9157,9157
1547729068,10127,10127
1547731001,11042,11042
1547733142,11583,11583
1547735083,11283,11283
1547737006,11283,11283
1547738896,11280,11280
1547740885,11292,11292
1547742761,11321,11321
1547744730,11248,11248
1547746842,10818,10818
1547748782,10823,10823
1547750661,10842,10842
1547752851,10856,10856
1547754775,10868,10868
1547756677,10878,10878
1547758584,10879,10879
1547760520,10875,10875
1547762449,10870,10870
1547764335,10884,10884
1547766301,10884,10884
1547768196,10883,10883
1547770098,10771,10771
1547772045,10770,10770
1547774196,10773,10773
1547776219,10777,10777
1547778020,10786,10786
1547779965,10792,10792
1547781894,10794,10794
1547783774,10791,10791
1547785943,10791,10791
1547787927,10800,10800
1547790055,10933,10933
1547791952,11049,11049
1547793859,11049,11049
1547795806,11057,11057
1547797697,11058,11058
1547799668,11031,11031
1547801575,11014,11014
1547803816,11053,11053
1547805685,11057,11057
1547807555,11042,11042
1547809510,11045,11045
1547811408,11053,11053
1547813555,11053,11053
1547815457,11054,11054
1547817387,11052,11052
1547819564,11064,11064
1547821484,11065,11065
1547823383,11070,11070
1547825565,11076,11076
1547827519,11073,11073
1547829783,11069,11069
1547832054,11072,11072
1547833948,11063,11063
1547835886,11057,11057
1547837771,11039,11039
1547839945,11040,11040
1547841933,11045,11045
1547843805,11055,11055
1547845978,11067,11067
1547847854,11078,11078
1547849787,11064,11064
1547851983,11075,11075
1547853863,10524,10524
1547855803,9491,9491
1547857701,9004,9004
1547859714,8028,8028
1547861573,7103,7103
1547863457,6190,6190
1547865646,5100,5100
1547867547,4187,4187
1547869466,3339,3339
1547871650,3332,3332
1547873564,3342,3342
1547875471,3341,3341
1547877375,3338,3338
1547879294,3247,3247
1547881304,3219,3219
1547883164,3215,3215
1547885134,3177,3177
1547886973,3139,3139
1547889157,3123,3123
1547891087,3196,3196
1547893258,3211,3211
1547895150,3204,3204
1547897054,3187,3187
1547898992,3181,3181
1547900899,3164,3164
1547902884,3159,3159
1547904768,3134,3134
1547906663,3124,3124
1547908598,3403,3403
1547910760,3385,3385
1547912676,3366,3366
1547914662,3350,3350
1547916758,3349,3349
1547918813,3338,3338
1547920876,3343,3343
1547922742,3349,3349
1547924673,3349,3349
1547926579,3338,3338
1547928768,3338,3338
1547930667,3490,3490
1547932601,3479,3479
1547934765,3480,3480
1547936670,3256,3256
1547938899,3256,3256
1547940743,3244,3244
1547942705,2905,2905
1547944597,2801,2801
1547946503,2805,2805
1547948452,2799,2799
1547950343,2803,2803
1547952263,2800,2800
1547954188,2799,2799
1547956099,2813,2813
1547958046,2814,2814
1547959945,2807,2807
1547961870,2804,2804
1547963796,2852,2852
1547965697,2853,2853
1547967664,2801,2801
1547969596,2711,2711
1547971501,2646,2646
1547973399,2533,2533
1547975321,2399,2399
1547977215,2290,2290
1547979159,2500,2500
1547981058,2506,2506
1547982999,2511,2511
1547985164,2557,2557
1547987066,2561,2561
1547988978,2571,2571
1547991166,2564,2564
1547993096,2517,2517
1547995227,2134,2134
1547997169,2241,2241
1547999087,2244,2244
1548000989,2244,2244
1548002900,2243,2243
1548004849,2246,2246
1548006762,2251,2251
1548008665,2245,2245
1548010576,2534,2534
1548012744,2578,2578
1548014674,2567,2567
1548016827,2468,2468
1548018776,2475,2475
1548020664,2693,2693
1548022581,2683,2683
1548024800,2689,2689
1548026688,2692,2692
1548028932,2698,2698
1548030755,2724,2724
1548032742,2716,2716
1548034576,2711,2711
1548036747,2712,2712
1548038659,2710,2710
1548040586,2703,2703
1548042520,2634,2634
1548044445,2638,2638
1548046352,2630,2630
1548048257,2629,2629
1548050174,3020,3020
1548052142,3017,3017
1548054090,2990,2990
1548056209,2992,2992
1548058105,2988,2988
1548060052,3015,3015
1548061958,3022,3022
1548063888,3023,3023
1548065781,2861,2861
1548067712,2856,2856
1548069633,2857,2857
1548071534,2856,2856
1548073493,2862,2862
1548075409,3485,3485
1548077547,4532,4532
1548079511,5452,5452
1548081409,6380,6380
1548083565,7522,7522
1548085469,8482,8482
1548087665,9681,9681
1548089573,10689,10689
1548091467,11182,11182
1548093372,11181,11181
1548095298,11176,11176
1548097563,10869,10869
1548099400,10872,10872
1548101342,10876,10876
1548103243,10885,10885
1548105156,10872,10872
1548107079,10722,10722
1548109002,10725,10725
1548110911,10726,10726
1548112851,10726,10726
1548114754,10738,10738
1548116687,10689,10689
1548118592,10691,10691
1548120499,10694,10694
1548122512,10702,10702
1548124361,10706,10706
1548126352,10714,10714
1548128215,10722,10722
1548130137,10715,10715
1548132024,10719,10719
1548133969,10725,10725
1548135881,10368,10368
1548137786,10365,10365
1548139729,10406,10406
1548141618,10759,10759
1548143540,10753,10753
1548145455,10802,10802
1548147692,10795,10795
1548149564,10793,10793
1548151460,10785,10785
1548153407,10787,10787
1548155330,10789,10789
1548157222,10788,10788
1548159154,10791,10791
1548161063,10538,10538
1548163005,9563,9563
1548164921,8526,8526
1548166824,7553,7553
1548168763,6416,6416
1548170678,5469,5469
1548172574,4357,4357
1548174767,3099,3099
1548176722,2158,2158
1548178605,1935,1935
1548180748,2011,2011
1548182669,2777,2777
1548184598,2775,2775
1548186508,2769,2769
1548188425,2765,2765
1548190385,2769,2769
1548192261,2784,2784
1548194205,2785,2785
1548196099,2793,2793
1548198145,2813,2813
1548200183,2829,2829
1548202131,2836,2836
1548204022,2856,2856
1548205973,2868,2868
1548207859,2869,2869
1548209805,2882,2882
1548211725,2889,2889
1548213649,2895,2895
1548215533,2905,2905
1548217463,2921,2921
1548219435,2933,2933
1548221580,2940,2940
1548223490,2944,2944
1548225649,2960,2960
1548227548,2782,2782
1548229489,2803,2803
1548231391,2764,2764
1548233301,2767,2767
1548235491,2790,2790
1548237307,2874,2874
1548239669,3308,3308
1548241493,3325,3325
1548243387,3343,3343
1548245576,3362,3362
1548247465,3362,3362
1548249408,3366,3366
1548251545,3381,3381
1548253519,3721,3721
1548255407,3730,3730
1548257292,5635,5635
1548259287,6357,6357
1548261401,6366,6366
1548263301,6383,6383
1548265478,6510,6510
1548267638,7949,7949
1548269562,7952,7952
1548271462,7961,7961
1548273405,7970,7970
1548275557,7971,7971
1548277505,7979,7979
1548279642,7984,7984
1548281548,7980,7980
1548283468,7983,7983
1548285421,7980,7980
1548287567,7974,7974
1548289501,7971,7971
1548291385,7968,7968
1548293553,7971,7971
1548295505,7974,7974
1548297397,7974,7974
1548299341,7972,7972
1548301288,7957,7957
1548303186,7961,7961
1548305332,7955,7955
1548307472,7964,7964
1548309396,7955,7955
1548311314,7947,7947
1548313307,7942,7942
1548315149,7935,7935
1548317106,7943,7943
1548319219,7731,7731
1548321150,7722,7722
1548323084,7701,7701
1548325232,7536,7536
1548327161,7368,7368
1548329061,7360,7360
1548330994,7345,7345
1548332901,7347,7347
1548334881,7461,7461
1548336988,7465,7465
1548339152,7463,7463
1548341080,7899,7899
1548343242,7441,7441
1548345168,5340,5340
1548347317,5332,5332
1548349279,5366,5366
1548351405,5493,5493
1548353325,3299,3299
1548355220,2895,2895
1548357161,2888,2888
1548359056,2891,2891
1548360983,2885,2885
1548362918,2879,2879
1548364844,2861,2861
1548366767,2867,2867
1548368657,2867,2867
1548370535,2854,2854
1548372520,2852,2852
1548374559,2852,2852
1548376614,2526,2526
1548378750,2530,2530
1548380688,2526,2526
1548382616,2527,2527
1548384743,2532,2532
1548386684,2539,2539
1548388576,2537,2537
1548390783,2533,2533
1548392710,2525,2525
1548394577,2504,2504
1548396501,2500,2500
1548398455,2497,2497
1548400373,2508,2508
1548402257,2510,2510
1548404195,2503,2503
1548406365,2496,2496
1548408267,2494,2494
1548410199,2452,2452
1548412343,2436,2436
1548414295,2424,2424
1548416213,2426,2426
1548418102,2419,2419
1548420031,2409,2409
1548421956,2262,2262
1548423863,2262,2262
1548425779,2247,2247
1548427957,2243,2243
1548429867,2243,2243
1548431806,2241,2241
1548433956,2234,2234
1548435898,2015,2015
1548437776,2012,2012
1548439975,2024,2024
1548441856,2027,2027
1548443832,2037,2037
1548445968,2028,2028
1548447869,2032,2032
1548449780,2032,2032
1548451943,2031,2031
1548453898,2023,2023
1548455812,2025,2025
1548457719,2025,2025
1548459616,2029,2029
1548461555,2025,2025
1548463460,2021,2021
1548465636,1444,1444
1548467540,1445,1445
1548469465,1427,1427
1548471390,1428,1428
1548473330,1433,1433
1548475292,1430,1430
1548477138,1432,1432
1548479069,1430,1430
1548480975,1435,1435
1548482930,1431,1431
1548484856,1425,1425
1548486775,1558,1558
1548488670,1807,1807
1548490589,1815,1815
1548492505,1805,1805
1548494453,1799,1799
1548496360,1780,1780
1548498298,1797,1797
1548500187,1835,1835
1548502357,1824,1824
1548504270,1828,1828
1548506219,1835,1835
1548508107,1831,1831
1548510032,1822,1822
1548512190,1818,1818
1548514113,1822,1822
1548516048,1818,1818
1548517971,1816,1816
1548519858,1816,1816
1548521801,1802,1802
1548523694,1797,1797
1548525689,1782,1782
1548527545,1774,1774
1548529714,1766,1766
1548531617,2108,2108
1548533810,2229,2229
1548535696,2237,2237
1548537617,2233,2233
1548539573,2229,2229
1548541457,2214,2214
1548543383,2217,2217
1548545294,2216,2216
1548547239,2216,2216
1548549142,2296,2296
1548551097,2293,2293
1548553015,2292,2292
1548554930,2283,2283
1548556827,2277,2277
1548559016,2270,2270
1548560933,2264,2264
1548562853,2260,2260
1548564756,2252,2252
1548566708,2260,2260
1548568593,2271,2271
1548570524,2284,2284
