DateTime,Entries,UniqueIPs
1547588437,4928,4928
1547590371,5080,5080
1547592279,5757,5757
1547594457,4332,4332
1547596364,3840,3840
1547598298,4055,4055
1547600199,4047,4047
1547602116,4052,4052
1547604100,4047,4047
1547605952,4054,4054
1547607938,4055,4055
1547609791,4060,4060
1547611974,4054,4054
1547613872,4157,4157
1547616058,4173,4173
1547617983,4178,4178
1547619862,4175,4175
1547621805,4205,4205
1547623702,4270,4270
1547626605,4164,4164
1547628806,4237,4237
1547630673,4291,4291
1547632603,4402,4402
1547634505,4487,4487
1547636537,4533,4533
1547638347,5851,5851
1547640276,6966,6966
1547642205,6964,6964
1547644116,6958,6958
1547646052,6954,6954
1547647946,7386,7386
1547650113,7364,7364
1547652022,7343,7343
1547653943,7336,7336
1547655858,7320,7320
1547657780,7312,7312
1547659944,7363,7363
1547661894,7357,7357
1547664054,7339,7339
1547665941,7321,7321
1547667908,7324,7324
1547670054,7305,7305
1547671971,7288,7288
1547673881,7284,7284
1547675777,7276,7276
1547677725,7270,7270
1547679734,7263,7263
1547681575,7254,7254
1547683515,7244,7244
1547685377,7103,7103
1547687570,7103,7103
1547689706,7085,7085
1547691623,7064,7064
1547693548,7057,7057
1547695491,7048,7048
1547697704,7040,7040
1547699544,7021,7021
1547701545,7011,7011
1547703417,6893,6893
1547705557,6883,6883
1547707481,6886,6886
1547709411,6881,6881
1547711323,6866,6866
1547713232,6846,6846
1547715170,6829,6829
1547717067,6816,6816
1547718977,7661,7661
1547721183,8593,8593
1547723109,9303,9303
1547725027,8585,8585
1547727168,9214,9214
1547729069,10184,10184
1547731001,11101,11101
1547733143,11644,11644
1547735083,11343,11343
1547737007,11342,11342
1547738897,11340,11340
1547740889,11351,11351
1547742762,11382,11382
1547744731,11311,11311
1547746844,10878,10878
1547748784,10882,10882
1547750662,10900,10900
1547752852,10912,10912
1547754776,10925,10925
1547756678,10934,10934
1547758584,10935,10935
1547760521,10928,10928
1547762465,10925,10925
1547764336,10941,10941
1547766304,10941,10941
1547768198,10939,10939
1547770099,10826,10826
1547772046,10829,10829
1547774197,10829,10829
1547776220,10835,10835
1547778021,10844,10844
1547779965,10848,10848
1547781896,10853,10853
1547783775,10849,10849
1547785944,10849,10849
1547787928,10856,10856
1547790056,10988,10988
1547791953,11100,11100
1547793859,11100,11100
1547795807,11108,11108
1547797697,11108,11108
1547799669,11080,11080
1547801585,11061,11061
1547803817,11101,11101
1547805688,11105,11105
1547807556,11090,11090
1547809511,11092,11092
1547811408,11104,11104
1547813556,11102,11102
1547815458,11102,11102
1547817388,11100,11100
1547819565,11110,11110
1547821485,11113,11113
1547823384,11119,11119
1547825565,11123,11123
1547827520,11120,11120
1547829784,11115,11115
1547832055,11116,11116
1547833949,11109,11109
1547835887,11104,11104
1547837772,11087,11087
1547839945,11087,11087
1547841935,11093,11093
1547843805,11106,11106
1547845978,11118,11118
1547847856,11128,11128
1547849787,11119,11119
1547851984,11131,11131
1547853864,10580,10580
1547855804,9553,9553
1547857702,9065,9065
1547859716,8090,8090
1547861574,7166,7166
1547863458,6253,6253
1547865646,5164,5164
1547867547,4251,4251
1547869466,3402,3402
1547871651,3423,3423
1547873564,3457,3457
1547875471,3457,3457
1547877375,3456,3456
1547879295,3364,3364
1547881304,3334,3334
1547883165,3333,3333
1547885134,3299,3299
1547886973,3263,3263
1547889157,3254,3254
1547891087,3329,3329
1547893259,3347,3347
1547895151,3340,3340
1547897055,3326,3326
1547898994,3324,3324
1547900899,3312,3312
1547902884,3309,3309
1547904769,3283,3283
1547906664,3280,3280
1547908598,3558,3558
1547910760,3545,3545
1547912677,3530,3530
1547914663,3517,3517
1547916759,3518,3518
1547918814,3507,3507
1547920878,3513,3513
1547922742,3518,3518
1547924674,3522,3522
1547926580,3511,3511
1547928769,3511,3511
1547930667,3668,3668
1547932602,3659,3659
1547934766,3659,3659
1547936671,3432,3432
1547938901,3429,3429
1547940744,3414,3414
1547942706,3075,3075
1547944597,2968,2968
1547946504,2974,2974
1547948453,2969,2969
1547950344,2972,2972
1547952264,2969,2969
1547954189,2968,2968
1547956099,2981,2981
1547958046,2953,2953
1547959945,2921,2921
1547961870,2917,2917
1547963797,2964,2964
1547965697,2965,2965
1547967666,2911,2911
1547969597,2818,2818
1547971502,2750,2750
1547973399,2635,2635
1547975321,2496,2496
1547977216,2385,2385
1547979159,2594,2594
1547981058,2601,2601
1547983000,2602,2602
1547985165,2646,2646
1547987067,2645,2645
1547988978,2654,2654
1547991167,2649,2649
1547993096,2596,2596
1547995228,2209,2209
1547997170,2313,2313
1547999087,2315,2315
1548000990,2318,2318
1548002900,2316,2316
1548004850,2320,2320
1548006763,2325,2325
1548008666,2320,2320
1548010577,2613,2613
1548012744,2659,2659
1548014676,2649,2649
1548016828,2551,2551
1548018777,2555,2555
1548020664,2774,2774
1548022581,2765,2765
1548024801,2770,2770
1548026689,2772,2772
1548028941,2777,2777
1548030756,2802,2802
1548032743,2791,2791
1548034577,2786,2786
1548036747,2788,2788
1548038659,2786,2786
1548040586,2781,2781
1548042521,2712,2712
1548044446,2718,2718
1548046352,2713,2713
1548048257,2713,2713
1548050175,3103,3103
1548052142,3101,3101
1548054091,3078,3078
1548056210,3083,3083
1548058118,3080,3080
1548060053,3108,3108
1548061958,3117,3117
1548063889,3120,3120
1548065782,2957,2957
1548067713,2949,2949
1548069634,2954,2954
1548071535,2949,2949
1548073493,2954,2954
1548075409,3575,3575
1548077548,4621,4621
1548079511,5546,5546
1548081409,6474,6474
1548083566,7615,7615
1548085469,8577,8577
1548087666,9775,9775
1548089573,10782,10782
1548091468,11275,11275
1548093373,11274,11274
1548095299,11265,11265
1548097564,10957,10957
1548099400,10959,10959
1548101343,10960,10960
1548103244,10966,10966
1548105156,10953,10953
1548107080,10803,10803
1548109003,10805,10805
1548110912,10808,10808
1548112851,10810,10810
1548114756,10825,10825
1548116688,10776,10776
1548118593,10779,10779
1548120500,10780,10780
1548122513,10788,10788
1548124362,10793,10793
1548126353,10799,10799
1548128216,10810,10810
1548130138,10801,10801
1548132025,10806,10806
1548133970,10810,10810
1548135882,10451,10451
1548137787,10449,10449
1548139730,10487,10487
1548141618,10838,10838
1548143541,10831,10831
1548145456,10880,10880
1548147693,10870,10870
1548149577,10871,10871
1548151461,10860,10860
1548153408,10862,10862
1548155331,10865,10865
1548157222,10861,10861
1548159168,10863,10863
1548161064,10609,10609
1548163005,9633,9633
1548164922,8594,8594
1548166825,7623,7623
1548168764,6491,6491
1548170679,5542,5542
1548172574,4430,4430
1548174768,3172,3172
1548176722,2230,2230
1548178606,2008,2008
1548180749,2086,2086
1548182669,2851,2851
1548184599,2854,2854
1548186508,2849,2849
1548188426,2845,2845
1548190385,2850,2850
1548192262,2871,2871
1548194205,2871,2871
1548196100,2887,2887
1548198151,2902,2902
1548200184,2927,2927
1548202131,2940,2940
1548204023,2964,2964
1548205974,2980,2980
1548207860,2988,2988
1548209806,3006,3006
1548211726,3015,3015
1548213650,3024,3024
1548215533,3040,3040
1548217464,3064,3064
1548219445,3077,3077
1548221580,3087,3087
1548223490,3092,3092
1548225650,3109,3109
1548227549,2936,2936
1548229489,2964,2964
1548231392,2925,2925
1548233302,2929,2929
1548235491,2950,2950
1548237308,3039,3039
1548239670,3479,3479
1548241493,3496,3496
1548243387,3515,3515
1548245577,3540,3540
1548247466,3542,3542
1548249408,3550,3550
1548251546,3565,3565
1548253520,3904,3904
1548255408,3914,3914
1548257293,5814,5814
1548259294,6530,6530
1548261401,6539,6539
1548263302,6554,6554
1548265479,6691,6691
1548267639,8130,8130
1548269562,8136,8136
1548271463,8144,8144
1548273406,8155,8155
1548275557,8160,8160
1548277506,8164,8164
1548279643,8177,8177
1548281549,8175,8175
1548283469,8178,8178
1548285422,8180,8180
1548287568,8166,8166
1548289501,8161,8161
1548291386,8158,8158
1548293554,8162,8162
1548295505,8162,8162
1548297398,8161,8161
1548299342,8160,8160
1548301289,8141,8141
1548303187,8141,8141
1548305333,8135,8135
1548307472,8143,8143
1548309396,8137,8137
1548311315,8128,8128
1548313315,8122,8122
1548315150,8109,8109
1548317107,8121,8121
1548319220,7909,7909
1548321152,7899,7899
1548323084,7875,7875
1548325232,7705,7705
1548327162,7537,7537
1548329062,7536,7536
1548330994,7525,7525
1548332902,7528,7528
1548334889,7647,7647
1548336989,7655,7655
1548339153,7655,7655
1548341081,8078,8078
1548343243,7622,7622
1548345169,5528,5528
1548347318,5523,5523
1548349284,5558,5558
1548351406,5682,5682
1548353326,3484,3484
1548355220,3082,3082
1548357161,3073,3073
1548359056,3072,3072
1548360983,3066,3066
1548362918,3060,3060
1548364844,3038,3038
1548366768,3042,3042
1548368657,3041,3041
1548370535,3027,3027
1548372520,3026,3026
1548374560,3026,3026
1548376614,2701,2701
1548378750,2704,2704
1548380688,2700,2700
1548382617,2702,2702
1548384744,2710,2710
1548386685,2712,2712
1548388577,2712,2712
1548390783,2711,2711
1548392710,2707,2707
1548394577,2685,2685
1548396502,2679,2679
1548398456,2680,2680
1548400374,2690,2690
1548402257,2687,2687
1548404195,2676,2676
1548406366,2673,2673
1548408268,2705,2705
1548410199,2666,2666
1548412343,2646,2646
1548414296,2628,2628
1548416214,2625,2625
1548418103,2620,2620
1548420032,2611,2611
1548421956,2458,2458
1548423864,2455,2455
1548425780,2448,2448
1548427958,2450,2450
1548429868,2446,2446
1548431806,2445,2445
1548433956,2439,2439
1548435899,2220,2220
1548437776,2214,2214
1548439975,2227,2227
1548441857,2230,2230
1548443833,2243,2243
1548445969,2240,2240
1548447870,2241,2241
1548449781,2242,2242
1548451944,2245,2245
1548453898,2236,2236
1548455813,2235,2235
1548457719,2234,2234
1548459617,2239,2239
1548461555,2232,2232
1548463460,2231,2231
1548465637,1663,1663
1548467540,1662,1662
1548469465,1652,1652
1548471391,1659,1659
1548473331,1665,1665
1548475292,1655,1655
1548477139,1652,1652
1548479070,1648,1648
1548480975,1653,1653
1548482931,1653,1653
1548484857,1649,1649
1548486776,1776,1776
1548488671,2023,2023
1548490589,2033,2033
1548492505,2025,2025
1548494454,1992,1992
1548496361,1964,1964
1548498298,1980,1980
1548500188,2018,2018
1548502357,2007,2007
1548504271,2010,2010
1548506220,2016,2016
1548508107,2013,2013
1548510032,2002,2002
1548512192,1992,1992
1548514114,1981,1981
1548516048,1978,1978
1548517971,1976,1976
1548519859,1978,1978
1548521803,1966,1966
1548523694,1965,1965
1548525693,1946,1946
1548527546,1933,1933
1548529715,1925,1925
1548531618,2265,2265
1548533811,2385,2385
1548535696,2399,2399
1548537618,2391,2391
1548539574,2386,2386
1548541457,2372,2372
1548543383,2376,2376
1548545294,2374,2374
1548547239,2371,2371
1548549143,2450,2450
1548551099,2443,2443
1548553015,2441,2441
1548554931,2434,2434
1548556828,2424,2424
1548559016,2413,2413
1548560934,2406,2406
1548562853,2401,2401
1548564756,2392,2392
1548566708,2398,2398
1548568593,2408,2408
1548570525,2412,2412
