DateTime,AddedIPs,RemovedIPs
1547586524,4,3
1547588437,1,6
1547590371,3,5
1547592280,3,6
1547594457,2,3
1547596364,2,3
1547598298,4,7
1547600199,3,8
1547602117,1,3
1547604101,6,3
1547605952,12,4
1547607943,6,1
1547609791,2,3
1547611974,4,8
1547613872,4,4
1547616059,6,5
1547617983,5,1
1547619863,2,5
1547621806,0,1
1547623703,1,3
1547626606,1,4
1547628806,8,2
1547630674,4,1
1547632603,5,0
1547634506,2,3
1547636556,3,4
1547638835,8,1
1547640996,1,2
1547642902,2,2
1547644834,3,1
1547646758,2,3
1547648654,1,2
1547650614,3,2
1547652499,5,1
1547654457,1,3
1547656369,1,14
1547658529,3,2
1547660410,3,2
1547662365,1,6
1547664749,2,2
1547666898,3,6
1547670055,5,10
1547671972,5,4
1547673881,2,2
1547675777,2,2
1547677725,2,4
1547679736,1,3
1547681576,3,2
1547683516,2,4
1547685378,2,0
1547687570,5,4
1547689706,1,3
1547691623,1,8
1547693548,2,6
1547695491,1,1
1547697705,1,3
1547699545,5,5
1547701546,3,3
1547703417,11,2
1547705558,3,7
1547707482,3,7
1547709412,5,1
1547711323,5,0
1547713233,3,1
1547715170,4,4
1547717068,2,5
1547718977,3,5
1547721184,0,2
1547723111,4,4
1547725028,2,8
1547727169,4,1
1547729070,4,2
1547731002,0,3
1547733143,2,2
1547735084,1,3
1547737007,4,2
1547738897,2,5
1547740892,4,0
1547742762,2,1
1547744733,2,3
1547746846,5,1
1547748785,3,0
1547750662,1,3
1547752853,6,1
1547754777,2,1
1547756679,2,6
1547758607,4,7
1547760522,0,1
1547762472,3,4
1547764337,2,2
1547766309,2,2
1547768199,0,3
1547770100,2,3
1547772046,4,3
1547774197,2,2
1547776220,7,3
1547778021,3,0
1547779966,3,2
1547781896,6,0
1547783775,1,3
1547785945,5,5
1547787929,2,2
1547790056,14,11
1547791954,5,2
1547793860,2,3
1547795807,2,5
1547797698,2,5
1547799669,3,4
1547801585,9,3
1547803818,2,1
1547805690,1,2
1547807556,3,0
1547809512,2,4
1547811409,3,1
1547813557,3,6
1547815459,1,5
1547817389,3,0
1547819566,2,1
1547821485,3,1
1547823384,4,4
1547825566,4,2
1547827521,9,2
1547829784,2,1
1547832056,3,3
1547833949,5,3
1547835888,3,1
1547837773,6,3
1547839946,5,3
1547841936,8,2
1547843806,3,3
1547845979,3,3
1547847857,7,4
1547849788,1,2
1547851984,3,2
1547853864,1,2
1547855805,2,3
1547857703,4,2
1547859716,0,3
1547861574,0,1
1547863458,2,3
1547865647,3,3
1547867548,2,4
1547869467,2,2
1547871651,0,4
1547873565,2,5
1547875472,2,8
1547877376,2,6
1547879296,2,5
1547881304,5,4
1547883165,1,1
1547885135,6,2
1547886974,6,4
1547889158,1,8
1547891088,3,2
1547893259,3,2
1547895152,4,1
1547897055,2,5
1547898995,4,2
1547900900,5,2
1547902885,1,3
1547904769,3,1
1547906664,1,2
1547908599,1,3
1547910761,5,3
1547912677,3,5
1547914663,3,4
1547916759,4,2
1547918814,7,4
1547920880,2,3
1547922743,4,3
1547924674,1,3
1547926580,3,5
1547928769,2,9
1547930668,3,3
1547932602,3,2
1547934766,0,11
1547936671,3,1
1547938902,3,4
1547940744,2,2
1547942706,1,2
1547944598,1,4
1547946504,2,2
1547948453,5,0
1547950344,3,2
1547952264,0,1
1547954189,4,1
1547956100,5,1
1547958047,2,0
1547959946,2,3
1547961871,1,2
1547963797,2,1
1547965698,4,0
1547967668,3,6
1547969598,2,1
1547971505,2,4
1547973400,4,8
1547975322,3,2
1547977216,3,1
1547979160,5,4
1547981059,2,1
1547983001,0,3
1547985165,2,2
1547987067,3,6
1547988980,1,5
1547991167,9,2
1547993097,4,1
1547995228,4,3
1547997170,0,5
1547999088,10,2
1548000990,4,4
1548002901,1,3
1548004851,3,6
1548006763,4,2
1548008666,1,2
1548010577,1,1
1548012745,6,2
1548014677,2,5
1548016829,8,1
1548018777,3,2
1548020665,5,1
1548022582,7,2
1548024801,3,2
1548026689,11,3
1548028953,8,0
1548030756,4,3
1548032744,2,1
1548034577,2,5
1548036748,2,3
1548038660,3,0
1548040587,0,5
1548042521,1,4
1548044446,4,4
1548046353,6,2
1548048258,1,2
1548050175,3,3
1548052143,0,5
1548054091,1,2
1548056210,3,5
1548058119,3,2
