DateTime,Entries,UniqueIPs
1547586524,175,175
1547588437,170,170
1547590371,168,168
1547592280,165,165
1547594457,164,164
1547596364,163,163
1547598298,160,160
1547600199,155,155
1547602117,153,153
1547604101,156,156
1547605952,164,164
1547607943,169,169
1547609791,168,168
1547611974,164,164
1547613872,164,164
1547616059,165,165
1547617983,169,169
1547619863,166,166
1547621806,165,165
1547623703,163,163
1547626606,160,160
1547628806,166,166
1547630674,169,169
1547632603,174,174
1547634506,173,173
1547636556,172,172
1547638835,179,179
1547640996,178,178
1547642902,178,178
1547644834,180,180
1547646758,179,179
1547648654,178,178
1547650614,179,179
1547652499,183,183
1547654457,181,181
1547656369,168,168
1547658529,169,169
1547660410,170,170
1547662365,165,165
1547664749,165,165
1547666898,162,162
1547670055,157,157
1547671972,158,158
1547673881,158,158
1547675777,158,158
1547677725,156,156
1547679736,154,154
1547681576,155,155
1547683516,153,153
1547685378,155,155
1547687570,156,156
1547689706,154,154
1547691623,147,147
1547693548,143,143
1547695491,143,143
1547697705,141,141
1547699545,141,141
1547701546,141,141
1547703417,150,150
1547705558,146,146
1547707482,142,142
1547709412,146,146
1547711323,151,151
1547713233,153,153
1547715170,153,153
1547717068,150,150
1547718977,148,148
1547721184,146,146
1547723111,146,146
1547725028,140,140
1547727169,143,143
1547729070,145,145
1547731002,142,142
1547733143,142,142
1547735084,140,140
1547737007,142,142
1547738897,139,139
1547740892,143,143
1547742762,144,144
1547744733,143,143
1547746846,147,147
1547748785,150,150
1547750662,148,148
1547752853,153,153
1547754777,154,154
1547756679,150,150
1547758607,147,147
1547760522,146,146
1547762472,145,145
1547764337,145,145
1547766309,145,145
1547768199,142,142
1547770100,141,141
1547772046,142,142
1547774197,142,142
1547776220,146,146
1547778021,149,149
1547779966,150,150
1547781896,156,156
1547783775,154,154
1547785945,154,154
1547787929,154,154
1547790056,157,157
1547791954,160,160
1547793860,159,159
1547795807,156,156
1547797698,153,153
1547799669,152,152
1547801585,158,158
1547803818,159,159
1547805690,158,158
1547807556,161,161
1547809512,159,159
1547811409,161,161
1547813557,158,158
1547815459,154,154
1547817389,157,157
1547819566,158,158
1547821485,160,160
1547823384,160,160
1547825566,162,162
1547827521,169,169
1547829784,170,170
1547832056,170,170
1547833949,172,172
1547835888,174,174
1547837773,177,177
1547839946,179,179
1547841936,185,185
1547843806,185,185
1547845979,185,185
1547847857,188,188
1547849788,187,187
1547851984,188,188
1547853864,187,187
1547855805,186,186
1547857703,188,188
1547859716,185,185
1547861574,184,184
1547863458,183,183
1547865647,183,183
1547867548,181,181
1547869467,181,181
1547871651,177,177
1547873565,174,174
1547875472,168,168
1547877376,164,164
1547879296,161,161
1547881304,162,162
1547883165,162,162
1547885135,166,166
1547886974,168,168
1547889158,161,161
1547891088,162,162
1547893259,163,163
1547895152,166,166
1547897055,163,163
1547898995,165,165
1547900900,168,168
1547902885,166,166
1547904769,168,168
1547906664,167,167
1547908599,165,165
1547910761,167,167
1547912677,165,165
1547914663,164,164
1547916759,166,166
1547918814,169,169
1547920880,168,168
1547922743,169,169
1547924674,167,167
1547926580,165,165
1547928769,158,158
1547930668,158,158
1547932602,159,159
1547934766,148,148
1547936671,150,150
1547938902,149,149
1547940744,149,149
1547942706,148,148
1547944598,145,145
1547946504,145,145
1547948453,150,150
1547950344,151,151
1547952264,150,150
1547954189,153,153
1547956100,157,157
1547958047,159,159
1547959946,158,158
1547961871,157,157
1547963797,158,158
1547965698,162,162
1547967668,159,159
1547969598,160,160
1547971505,158,158
1547973400,154,154
1547975322,155,155
1547977216,157,157
1547979160,158,158
1547981059,159,159
1547983001,156,156
1547985165,156,156
1547987067,153,153
1547988980,149,149
1547991167,156,156
1547993097,159,159
1547995228,160,160
1547997170,155,155
1547999088,163,163
1548000990,163,163
1548002901,161,161
1548004851,158,158
1548006763,160,160
1548008666,159,159
1548010577,159,159
1548012745,163,163
1548014677,160,160
1548016829,167,167
1548018777,168,168
1548020665,172,172
1548022582,177,177
1548024801,178,178
1548026689,186,186
1548028953,194,194
1548030756,195,195
1548032744,196,196
1548034577,193,193
1548036748,192,192
1548038660,195,195
1548040587,190,190
1548042521,187,187
1548044446,187,187
1548046353,191,191
1548048258,190,190
1548050175,190,190
1548052143,185,185
1548054091,184,184
1548056210,182,182
1548058119,183,183
1548060053,183,183
1548061959,185,185
1548063889,182,182
1548065783,184,184
1548067713,182,182
1548069634,183,183
1548071535,182,182
1548073494,181,181
1548075410,181,181
1548077548,181,181
1548079513,183,183
1548081410,181,181
1548083566,185,185
1548085470,181,181
1548087666,183,183
1548089574,185,185
1548091468,186,186
1548093374,189,189
1548095299,191,191
1548097564,192,192
1548099401,193,193
1548101344,190,190
1548103245,187,187
1548105157,191,191
1548107080,189,189
1548109003,189,189
1548110912,187,187
1548112852,187,187
1548114756,174,174
1548116688,174,174
1548118593,180,180
1548120501,184,184
1548122514,188,188
1548124362,192,192
1548126354,198,198
1548128216,204,204
1548130138,207,207
1548132026,207,207
1548133971,209,209
1548135883,212,212
1548137787,213,213
1548139730,219,219
1548141619,222,222
1548143541,225,225
1548145457,223,223
1548147694,227,227
1548149578,234,234
1548151462,233,233
1548153408,233,233
1548155331,237,237
1548157223,236,236
1548159169,234,234
1548161065,240,240
1548163006,239,239
1548164923,241,241
1548166825,240,240
1548168764,241,241
1548170679,239,239
1548172575,245,245
1548174768,246,246
1548176723,243,243
1548178606,244,244
1548180750,238,238
1548182670,238,238
1548184599,241,241
1548186522,239,239
1548188427,241,241
1548190386,236,236
1548192262,241,241
1548194206,240,240
1548196100,246,246
1548198156,251,251
1548200184,251,251
1548202132,257,257
1548204023,255,255
1548205975,262,262
1548207860,261,261
1548209806,263,263
1548211726,263,263
1548213650,259,259
1548215534,252,252
1548217464,254,254
1548219446,258,258
1548221581,255,255
1548223491,261,261
1548225650,260,260
1548227549,257,257
1548229490,254,254
1548231392,253,253
1548233302,257,257
1548235492,258,258
1548237308,257,257
1548239670,266,266
1548241494,273,273
1548243388,277,277
1548245578,281,281
1548247466,284,284
1548249409,284,284
1548251547,288,288
1548253520,291,291
1548255408,297,297
1548257293,298,298
1548259297,295,295
1548261402,295,295
1548263303,295,295
1548265479,299,299
1548267640,300,300
1548269563,310,310
1548271464,309,309
1548273406,313,313
1548275558,320,320
1548277508,323,323
