DateTime,AddedIPs,RemovedIPs
1547584615,28,24
1547586529,24,17
1547588455,29,16
1547590376,35,29
1547592286,21,22
1547594462,16,17
1547596371,32,17
1547598304,28,21
1547600204,22,18
1547602122,21,24
1547604106,18,27
1547605958,19,12
1547607950,29,15
1547609796,17,14
1547611979,26,29
1547613877,16,26
1547616065,25,20
1547617988,25,17
1547619867,18,20
1547621810,14,17
1547623720,18,21
1547626611,35,33
1547628812,31,33
1547630681,17,18
1547632609,29,23
1547634511,25,31
1547636583,58,31
1547638840,34,25
1547641002,31,22
1547642908,22,15
1547644839,19,22
1547646764,25,18
1547648659,20,19
1547650619,25,21
1547652504,19,31
1547654495,21,15
1547656374,15,32
1547658536,27,24
1547660414,26,33
1547662370,15,24
1547664765,38,60
1547666903,30,29
1547670060,43,74
1547671976,25,12
1547673884,17,25
1547675794,17,33
1547677729,15,23
1547679740,26,22
1547681579,13,17
1547683522,11,22
1547685381,14,14
1547687574,16,24
1547689710,24,16
1547691640,22,20
1547693552,22,15
1547695495,19,14
1547697712,16,23
1547699549,20,10
1547701549,17,16
1547703421,27,19
1547705561,27,30
1547707485,15,22
1547709418,21,21
1547711329,19,16
1547713244,27,24
1547715175,26,19
1547717072,24,21
1547718982,20,18
1547721203,21,24
1547723117,21,58
1547725035,19,26
1547727174,22,30
1547729075,18,24
1547731007,22,20
1547733148,21,35
1547735088,19,24
1547737013,31,25
1547738903,21,23
1547740903,20,19
1547742767,18,16
1547744738,26,21
1547746850,29,27
1547748791,33,15
1547750688,32,33
1547752857,45,24
1547754784,28,24
1547756683,32,25
1547758611,29,30
1547760526,22,20
1547762505,18,17
1547764342,25,17
1547766329,16,27
1547768206,16,18
1547770106,24,15
1547772051,26,19
1547774202,21,14
1547776225,24,28
1547778027,19,28
1547779972,20,25
1547781902,20,22
1547783780,25,18
1547785949,29,26
1547787934,27,21
1547790061,31,33
1547791958,26,27
1547793864,20,20
1547795826,21,20
1547797703,27,23
1547799675,36,21
1547801593,34,31
1547803824,26,28
1547805708,22,20
1547807574,30,16
1547809518,33,27
1547811414,29,19
1547813562,34,27
1547815478,17,22
1547817394,23,27
1547819571,23,29
1547821490,27,23
1547823389,25,43
1547825570,21,30
1547827526,29,19
1547829789,28,31
1547832060,45,42
1547833954,32,23
1547835892,28,27
1547837778,36,25
1547839951,44,26
1547841947,45,18
1547843811,28,39
1547845985,32,23
1547847862,31,17
1547849792,35,18
1547851990,13,16
1547853869,13,17
1547855809,10,24
1547857708,9,18
1547859721,6,16
1547861580,7,18
1547863466,3,23
1547865652,11,18
1547867552,4,20
1547869470,9,26
1547871655,4,22
1547873581,6,36
1547875475,7,32
1547877380,11,31
1547879301,7,29
1547881310,14,19
1547883170,5,28
1547885141,11,45
1547886978,9,34
1547889162,7,37
1547891092,9,25
1547893263,8,52
1547895156,7,36
1547897060,6,46
1547898999,6,46
1547900904,8,42
1547902914,3,33
1547904774,20,33
1547906688,14,48
1547908603,7,52
1547910765,11,51
1547912682,8,36
1547914669,7,46
1547916763,10,4
1547918819,9,7
1547920886,9,6
1547922747,7,6
1547924678,3,12
1547926585,10,10
1547928774,11,10
1547930672,8,5
1547932607,6,4
1547934770,7,23
1547936676,5,650
1547938907,11,15
1547940749,8,11
1547942736,6,13
1547944602,6,9
1547946510,4,9
1547948457,11,3
1547950349,9,4
1547952269,3,9
1547954195,9,5
1547956105,10,7
1547958052,2,4
1547959951,4,6
1547961878,7,8
1547963802,5,10
1547965703,10,5
1547967677,3,15
1547969603,8,7
1547971543,5,9
1547973404,5,12
1547975326,7,7
1547977221,9,5
1547979163,7,10
1547981063,9,6
