DateTime,AddedIPs,RemovedIPs
1547524912,3,5
1547526749,3,4
1547528737,2,5
1547530860,0,8
1547532783,0,2
1547534933,0,4
1547538743,1,5
1547540681,1,5
1547542920,1,5
1547544764,6,2
1547546703,0,36
1547548867,4,0
1547550757,2,14
1547552700,6,3
1547554865,0,3
1547556769,4,2
1547558665,5,3
1547560602,8,16
1547562530,3,0
1547564545,12,5
1547566621,6,0
1547568819,3,5
1547570666,4,4
1547572597,3,0
1547574551,6,7
1547576698,3,7
1547578941,2,2
1547580793,1,0
1547582713,3,3
1547584619,3,1
1547586534,0,2
1547588458,11,1
1547590379,1,4
1547592292,0,2
1547594469,4,1
1547596374,2,1
1547598308,2,5
1547600207,4,3
1547602125,4,1
1547604111,1,7
1547605961,1,0
1547607953,4,3
1547609799,1,3
1547611982,2,2
1547613880,3,4
1547616069,0,2
1547617992,2,0
1547619871,2,1
1547621814,1,0
1547623724,2,1
1547626615,3,1
1547628815,3,2
1547630687,10,4
1547632612,0,2
1547634514,4,1
1547636587,14,1
1547638845,5,5
1547641006,4,0
1547642914,2,3
1547644842,5,4
1547646770,2,10
1547648663,0,2
1547650623,0,8
1547652508,2,2
1547654501,1,2
1547656377,3,2
1547658542,7,0
1547660417,4,2
1547662375,1,3
1547664769,2,4
1547666906,1,2
1547668879,5,2
1547670771,7,2
1547672933,6,2
1547674822,4,7
1547676768,9,9
1547679220,6,0
1547681065,1,1
1547683004,0,1
1547684899,4,3
1547687108,12,4
1547689271,5,2
1547691151,3,0
1547693087,1,1
1547694988,4,5
1547697185,2,2
1547699085,1,1
1547700974,1,2
1547703161,2,2
1547705098,1,2
1547707236,3,1
1547709421,1,1
1547711332,3,3
1547713247,3,6
1547715178,6,1
1547717075,0,13
1547718985,2,1
1547721206,2,8
1547723119,0,8
1547725038,6,2
1547727178,1,6
1547729078,0,1
1547731010,4,3
1547733151,4,5
1547735107,0,3
1547737016,1,1
1547738906,3,2
1547740908,4,1
1547742783,2,4
1547744741,2,11
1547746854,4,8
1547748795,4,1
1547750692,7,1
1547752860,2,1
1547754787,2,2
1547756686,2,3
1547758615,2,8
1547760529,8,1
1547762509,8,11
1547764345,3,3
1547766334,4,2
1547768210,3,2
1547770113,1,1
1547772055,1,8
1547774205,3,9
1547776229,1,2
1547778030,2,3
1547779979,40,2
1547781913,2,2
1547783784,8,3
1547785953,3,0
1547787938,0,2
1547790065,2,3
1547791961,2,1
1547793868,4,4
1547795830,1,1
1547797707,0,3
1547799682,1,4
1547801599,7,5
1547803835,0,1
1547805718,2,3
1547807577,1,1
1547811420,0,5
1547813565,1,1
1547815482,3,0
1547817397,0,3
1547819574,2,4
1547821493,4,1
1547823392,1,2
1547825574,2,4
1547827531,10,4
1547829792,2,5
1547832074,6,1
1547833957,2,0
1547835896,7,8
1547837781,13,4
1547839954,2,1
1547841964,0,2
1547843827,1,1
1547845988,2,6
1547847865,1,8
1547849796,0,6
1547851993,0,3
1547853873,2,1
1547855812,1,1
1547857711,2,1
1547859725,42,2
1547861583,0,1
1547863470,1,3
1547865655,2,41
1547867556,1,3
1547869492,2,8
1547871658,1,2
1547873584,1,2
1547875478,2,0
1547877383,0,1
1547879304,3,5
1547881315,0,3
1547885144,2,2
1547886981,0,1
1547889165,4,7
1547891095,0,1
1547893266,4,1
1547895160,12,1
1547897063,1,1
1547899005,2,2
1547900907,1,0
1547902917,1,1
1547904778,0,2
1547906713,4,1
1547908606,1724,2
1547910768,1,3
1547912686,0,5
1547914687,1,5
1547916767,2,4
1547918822,3,2
1547920889,1,1
1547922750,1,8
1547924682,0,11
1547926588,1,1
1547928777,1,2
1547930675,1,0
1547932610,1,2
1547934773,3,1
1547936692,9,0
1547938911,2,1
1547940752,2,3
1547942746,36,0
1547946514,1,41
1547948461,2,1
1547950353,3,0
1547954201,1,1
1547956108,1,0
1547958055,1,1
1547959954,2,0
1547961890,0,1
1547963805,1,1
1547965706,0,2
1547967681,1,0
1547969606,0,1
1547971547,1,2
1547973407,1,0
1547975329,2,4
1547979165,0,2
1547981078,1,10
1547983008,2,1
1547985172,1,2
1547987087,1,0
1547988986,1,2
1547991175,0,1
1547993106,0,2
1547995248,3,1704
1547997177,0,1
1547999095,1,0
1548001004,0,2
1548002908,2,2
1548004858,4,4
1548006770,3,2
1548008674,2,1
1548010585,471,0
1548012753,4094,1
1548014725,2730,0
1548016836,113,1
1548018785,1,1
1548020673,0,1
1548022590,1,3
1548024810,1,3
1548026697,3,2
1548028971,0,1
1548031253,0,1
1548033448,1,1
1548035308,2,2
1548037238,1,1
1548044926,1,2
1548046927,1,2
1548052582,1,0
1548054756,1,0
1548056669,1,1
1548058622,1,1
1548060777,1,1
1548064609,0,1
1548066756,2,0
1548068741,2,2
1548070611,0,2
1548074460,1,1
1548078533,2,1
1548080441,0,1
1548082392,2,1
1548084308,4,0
1548086495,2,1
1548088372,1,4
1548090326,1,1
1548092205,2,1
1548094355,1,2
1548096314,4,0
1548098208,0,2905
1548100124,3,2690
1548102042,1,1895
1548104000,1,3
1548106175,4,1
1548108084,2,1
1548109969,4,1
1548111953,2,3
1548113781,2,2
1548115981,2,4
1548117879,0,1
1548119799,0,2
1548121732,3,3
1548123890,2,1
1548125778,1,2
1548127736,0,1
1548129701,2,0
1548131578,1,1
1548133520,2,1
1548135381,1,0
1548137342,2,0
1548139225,2,2
1548141170,2,2
1548143062,1,2
1548145254,1,2
1548147166,2,2
1548149084,5,1
1548151001,5,0
1548152912,1,2
1548154927,9,2
1548156775,2,4
1548158712,0,2
1548160606,1,2
1548162535,2,3
1548164423,1,3
1548166385,1,2
1548168265,1,1
1548170476,0,2
1548172369,2,4
1548176206,3,3
1548178100,2,2
1548180092,3,0
1548181961,3,2
1548183895,0,2
1548185789,0,2
1548187956,0,4
1548189865,3,2
1548191787,1,0
1548193704,1,6
1548195622,1,1
1548197609,0,3
1548199728,3,2
1548201794,1,4
1548205990,1,1
1548211729,0,2
1548213652,10,2
1548215536,4,1
1548217466,2,2
1548219448,2,3
1548221584,2,1
1548223498,0,1
1548225653,0,3
1548227560,0,4
1548229493,2,3
1548231394,2,0
1548233304,1,3
1548235494,1,7
1548237320,1,5
1548239678,2,2
1548241503,3,16
1548243399,2,1
1548245601,0,1
1548247475,4,3
1548249416,3,0
1548251554,2,3
1548253546,2,0
1548255415,1,0
1548257301,3,2
1548259314,0,1
1548261410,1,1
1548263310,20,2
1548265488,2,3
1548267649,2,2
1548269572,1,4
1548271473,1,0
1548273415,2,0
1548275566,4,2
1548277522,2,1
1548279651,2,2
1548281557,5,0
1548283477,4,1
1548285430,1,3
1548287584,3,2
1548289510,2,0
1548291394,1,2
1548295516,2,0
1548299357,0,5
1548301299,0,8
1548303195,3,2
1548305341,5,3
1548307501,4,1
1548309404,1,1
1548311323,2,0
1548313329,1,1
1548315159,2,0
1548317119,3,3
1548319229,7,1
1548323093,5,1
1548325242,2,0
1548327167,2,3
1548329069,2,2
1548331012,9,0
1548332922,2,0
1548334931,5,3
1548336997,4,1
1548339161,3,2
1548341102,3,2
1548343252,26,2
1548345179,2,0
1548347325,1,2
1548349302,4,3
1548351414,1,1
1548353334,2,2
1548355227,2,0
1548357171,0,2
1548359065,0,2
1548360991,5,2
1548362928,0,4
1548364856,0,2
1548366776,0,4
1548368665,2,4
1548370568,0,6
1548372529,2,1
1548374570,2,0
1548376623,3,3
1548378759,2,3
1548380697,0,2
1548384753,2,0
1548388585,2,22
1548390791,0,3
1548392726,2,4
1548394585,0,3
1548396511,2,2
1548398464,0,2
1548400384,12,2
1548402266,2,2
1548404217,1,3
1548406376,3,6
1548408277,2,2
1548410224,1,3
1548412365,1,0
1548414304,2,2
1548416223,2,3
1548418111,3,7
1548420041,2,1
1548421966,5,2
1548423872,3,8
1548425796,1,2
1548427967,2,2
1548429876,33,27
1548431815,0,1
1548433965,0,2
1548435913,1,4
1548437786,2,1
1548439982,2,4
1548441865,4,1
1548443842,2,1
1548445977,3,2
1548447878,4,0
1548449789,5,0
1548451952,2,0
1548453915,2,0
1548455821,1,6
1548457729,0,1
1548459625,3,1
1548461564,1,3
1548463469,3,2
1548465656,2,2
1548469486,4,3
1548471399,1,1
1548473339,2,0
1548475302,0,3
1548477152,2,0
1548479080,2,0
1548480983,1,0
1548482938,0,5
1548486784,0,14
1548488678,1,2
1548490601,0,2
1548492514,0,3
1548494463,0,2
1548498307,1,2
1548500196,0,4
1548502366,1,2
1548504303,2,3
1548506231,3,0
1548508116,3,6
1548510040,1,1
1548512200,2,1
1548514140,1,4
1548516057,4,32
1548517980,1,2
1548519879,3,0
1548521812,3,0
1548523702,0,3
1548525755,0,2
1548527804,3,3
1548529725,0,2
1548531642,3821,1
1548533820,3151,0
1548535709,652,2
1548537627,2,0
1548541466,1,0
