DateTime,AddedIPs,RemovedIPs
1547584618,60,13
1547586533,18,20
1547588458,21,21
1547590379,13,9
1547592292,20,21
1547594468,23,29
1547596373,17,18
1547598308,41,24
1547600207,32,24
1547602125,27,29
1547604111,25,10
1547605961,28,25
1547607953,23,18
1547609799,23,19
1547611982,24,31
1547613880,29,15
1547616068,26,26
1547617991,35,18
1547619870,24,18
1547621813,22,21
1547623723,30,19
1547626615,119,33
1547628815,14,22
1547630687,23,16
1547632612,19,22
1547634514,18,25
1547636586,22,16
1547638845,24,17
1547641005,26,18
1547642914,16,25
1547644842,17,28
1547646769,23,21
1547648662,30,33
1547650622,22,24
1547652507,23,10
1547654499,19,21
1547656377,19,18
1547658541,20,18
1547660417,20,18
1547662375,16,23
1547664768,27,20
1547666906,27,25
1547668875,28,25
1547670771,24,66
1547672932,29,20
1547674821,22,22
1547676767,34,17
1547679219,28,25
1547681064,27,20
1547683004,16,24
1547684898,18,32
1547687108,38,37
1547689271,20,32
1547691150,19,25
1547693086,18,24
1547694987,14,21
1547697185,16,23
1547699085,17,32
1547700974,21,19
1547703161,24,40
1547705097,53,21
1547707236,38,33
1547709421,40,26
1547711332,117,45
1547713247,245,89
1547715178,95,14
1547717075,111,23
1547718985,50,18
1547721206,351,20
1547723118,43,20
1547725037,18,16
1547727177,19,20
1547729078,23,13
1547731010,16,13
1547733151,22,25
1547735106,33,24
1547737016,26,18
1547738905,22,19
1547740907,23,18
1547742782,36,17
1547744741,27,16
1547746853,27,23
1547748794,25,14
1547750691,27,17
1547752860,31,29
1547754787,34,22
1547756686,30,22
1547758614,17,27
1547760528,18,22
1547762508,23,20
1547764344,15,28
1547766334,21,27
1547768209,25,27
1547770113,22,16
1547772055,24,22
1547774205,29,29
1547776228,16,22
1547778029,20,15
1547779978,19,23
1547781911,14,12
1547783783,16,13
1547785952,25,18
1547787937,16,23
1547790064,31,24
1547791961,18,49
1547793867,14,40
1547795829,19,34
1547797706,25,111
1547799681,37,255
1547801597,30,91
1547803830,29,120
1547805717,14,61
1547807577,22,390
1547809522,22,41
1547811419,16,28
1547813565,25,19
1547815481,15,24
1547817397,29,16
1547819573,23,20
1547821493,20,32
1547823392,22,25
1547825573,30,23
1547827530,20,28
1547829792,29,36
1547832073,20,26
1547833956,24,29
1547835895,35,31
1547837781,24,25
1547839953,19,36
1547841964,18,31
1547843826,23,27
1547845987,30,16
1547847865,12,24
1547849795,18,20
1547851992,16,24
1547853872,18,24
1547855812,16,17
1547857710,25,26
1547859724,22,16
1547861583,16,23
1547863470,14,15
1547865654,19,16
1547867555,24,15
1547869480,27,15
1547871658,21,24
1547873584,19,14
1547875478,28,20
1547877382,27,24
1547879303,16,12
1547881315,16,17
1547883173,19,18
1547885143,21,34
1547886980,19,28
1547889164,16,40
1547891095,15,12
1547893266,25,20
1547895159,10,22
1547897062,16,34
1547899005,13,16
1547900907,18,19
1547902917,21,23
1547904778,27,28
1547906712,42,16
1547908606,14,28
1547910768,16,25
1547912685,14,23
1547914687,26,22
1547916766,10,24
1547918822,18,24
1547920889,24,29
1547922750,16,29
1547924681,15,22
1547926587,13,19
1547928777,27,19
1547930674,17,22
1547932609,20,29
1547934773,16,16
1547936692,18,22
1547938911,16,15
1547940752,16,16
1547942745,16,21
1547944605,18,22
1547946513,16,21
1547948460,18,18
1547950352,12,16
1547952271,12,18
1547954200,14,27
1547956107,12,19
1547958054,16,20
1547959954,17,16
1547961889,11,27
1547963804,12,26
1547965705,22,17
1547967681,14,17
1547969605,15,19
1547971546,14,20
1547973407,17,22
1547975329,22,14
1547977223,34,13
1547979165,19,24
1547981077,34,11
1547983008,32,16
1547985172,28,12
1547987086,30,19
1547988986,20,18
1547991175,34,28
1547993105,97,41
1547995248,19,13
1547997177,14,13
1547999095,19,16
1548001004,15,20
1548002908,16,14
1548004858,29,18
1548006770,18,19
1548008673,19,22
1548010585,11,16
1548012753,33,17
1548014724,37,21
1548016836,29,24
1548018784,19,18
1548020672,14,16
1548022590,23,17
1548024809,20,8
1548026697,12,15
1548028970,23,21
1548031252,24,26
1548033448,23,19
1548035308,16,16
1548037238,15,17
1548039152,19,12
1548041118,11,17
1548042982,9,14
1548044925,11,13
1548046926,12,17
1548048747,11,15
1548050761,18,12
1548052582,12,20
1548054755,9,17
1548056669,22,14
1548058621,10,13
1548060777,17,20
1548062660,7,29
1548064608,13,22
1548066756,21,39
1548068740,13,31
1548070610,18,28
1548072506,18,23
1548074459,17,21
1548076490,23,24
1548078533,22,55
1548080441,17,70
1548082391,27,14
1548084307,25,17
1548086494,32,17
1548088372,37,20
1548090326,36,24
1548092205,35,23
1548094354,21,20
1548096313,13,10
1548098207,12,25
1548100124,20,33
1548102042,24,34
1548103999,21,21
1548106174,27,26
1548108084,20,22
1548109968,17,20
1548111952,18,14
1548113781,17,19
1548115981,27,14
1548117878,17,24
1548119799,16,17
1548121731,14,14
1548123890,16,23
1548125778,20,13
1548127736,18,8
1548129701,28,13
1548131578,20,10
1548133519,20,10
1548135381,16,15
1548137341,25,12
1548139224,14,15
1548141170,15,8
1548143061,20,23
1548145254,20,11
1548147166,23,16
1548149083,19,9
1548151000,18,14
1548152911,24,15
1548154927,43,18
1548156774,16,17
1548158712,38,17
1548160606,27,16
1548162535,20,19
1548164422,28,22
1548166384,28,24
1548168264,19,24
1548170476,46,32
1548172369,47,20
1548174262,30,37
1548176205,31,40
1548178100,31,27
1548180092,30,26
1548181961,31,16
1548183894,33,14
1548185788,16,23
1548187956,32,20
1548189865,21,21
1548191786,23,22
1548193703,23,21
1548195622,20,20
1548197609,26,16
1548199727,15,16
1548201792,23,21
1548204026,20,19
1548205990,33,18
1548207862,21,12
1548209808,27,13
1548211728,22,17
1548213652,23,22
1548215535,40,25
1548217466,23,25
1548219447,32,19
1548221583,16,25
1548223497,26,22
1548225652,21,16
1548227560,25,14
1548229492,23,19
1548231394,21,19
1548233304,28,23
1548235494,27,18
1548237319,24,17
1548239677,33,47
1548241502,13,25
1548243398,26,21
1548245600,27,33
1548247474,17,24
1548249415,34,19
1548251553,34,43
1548253545,29,14
1548255415,31,22
1548257301,29,40
1548259313,31,50
1548261410,29,34
1548263310,27,33
1548265487,33,33
1548267648,31,36
1548269572,29,31
1548271472,29,22
1548273414,24,20
1548275565,31,23
1548277521,26,29
1548279651,22,24
1548281556,22,20
1548283477,23,26
1548285430,18,20
1548287584,27,22
1548289510,25,18
1548291393,21,24
1548293562,24,32
1548295515,14,23
1548297418,24,25
1548299357,36,23
1548301298,24,28
1548303195,22,31
1548305341,31,30
1548307501,22,20
1548309404,19,18
1548311322,25,22
1548313329,19,26
1548315158,17,18
1548317118,23,23
1548319229,25,25
1548321161,32,24
1548323093,26,20
1548325241,24,39
1548327167,38,16
1548329068,23,23
1548331011,20,32
1548332921,23,18
1548334930,78,22
1548336997,41,31
1548339161,27,38
1548341101,36,29
1548343251,35,26
1548345178,37,27
1548347325,38,29
1548349301,36,33
1548351413,26,47
1548353334,79,25
1548355227,26,38
1548357170,30,25
1548359064,27,18
1548360991,30,30
1548362927,32,31
1548364856,31,16
1548366775,23,30
1548368665,28,16
1548370567,25,16
1548372529,18,22
1548374569,41,27
1548376623,38,22
1548378758,31,24
1548380697,39,22
1548382625,34,21
1548384752,37,31
1548386692,30,30
1548388584,28,18
1548390791,32,27
1548392726,28,26
1548394585,35,24
1548396510,28,22
1548398463,27,21
1548400383,28,14
1548402265,33,22
1548404216,35,19
1548406375,40,22
1548408277,28,32
1548410224,24,19
1548412365,34,21
1548414304,62,43
1548416223,35,10
1548418111,24,19
1548420040,31,26
1548421966,30,36
1548423872,31,90
1548425796,29,17
1548427967,30,40
1548429876,40,36
1548431815,34,37
1548433965,34,28
1548435911,39,33
1548437786,44,30
1548439982,43,80
1548441864,32,32
1548443841,35,29
1548445976,49,32
1548447878,21,22
1548449788,36,31
1548451951,33,31
1548453914,39,32
1548455820,31,25
1548457728,39,21
1548459625,24,23
1548461563,39,37
1548463468,20,34
1548465656,47,34
1548467548,42,33
1548469485,27,35
1548471398,34,27
1548473338,24,35
1548475301,38,25
1548477151,23,25
1548479079,39,31
1548480982,30,29
1548482938,25,26
1548484863,37,25
1548486783,30,26
1548488677,28,27
1548490601,28,37
1548492513,37,38
1548494462,38,27
1548496383,33,30
1548498306,14,25
1548500195,28,43
1548502365,31,59
1548504302,24,24
