DateTime,Entries,UniqueIPs
1547578954,219,219
1547580795,224,224
1547582716,227,227
1547584622,227,227
1547586536,226,226
1547588461,225,225
1547590382,226,226
1547592295,231,231
1547594471,231,231
1547596376,230,230
1547598311,229,229
1547600209,226,226
1547602128,224,224
1547604114,220,220
1547605964,226,226
1547607955,227,227
1547609801,229,229
1547611985,223,223
1547613883,223,223
1547616071,223,223
1547617994,232,232
1547619873,230,230
1547621816,232,232
1547623728,243,243
1547626618,262,262
1547628818,279,279
1547630690,278,278
1547632615,274,274
1547634517,274,274
1547636589,275,275
1547638848,278,278
1547641008,277,277
1547642916,275,275
1547644845,283,283
1547646773,283,283
1547648665,281,281
1547650625,283,283
1547652510,280,280
1547654518,283,283
1547656379,284,284
1547658544,284,284
1547660420,282,282
1547662378,276,276
1547664771,277,277
1547666909,273,273
1547668891,275,275
1547670774,277,277
1547672935,281,281
1547674824,280,280
1547676770,276,276
1547679222,275,275
1547681067,272,272
1547683007,271,271
1547684901,270,270
1547687112,269,269
1547689275,272,272
1547691153,273,273
1547693089,271,271
1547694990,272,272
1547697187,267,267
1547699087,268,268
1547700976,261,261
1547703163,259,259
1547705101,255,255
1547707251,256,256
1547709424,247,247
1547711336,244,244
1547713249,219,219
1547715180,206,206
1547717078,204,204
1547718988,201,201
1547721209,200,200
1547723122,198,198
1547725040,193,193
1547727180,197,197
1547729080,197,197
1547731013,188,188
1547733154,191,191
1547735110,188,188
1547737019,189,189
1547738908,188,188
1547740912,189,189
1547742785,191,191
1547744744,202,202
1547746856,203,203
1547748797,213,213
1547750694,214,214
1547752863,214,214
1547754790,211,211
1547756689,214,214
1547758617,203,203
1547760531,204,204
1547762513,204,204
1547764347,213,213
1547766337,215,215
1547768212,221,221
1547770117,222,222
1547772057,224,224
1547774207,227,227
1547776231,235,235
1547778034,241,241
1547779981,237,237
1547781916,235,235
1547783786,244,244
1547785955,243,243
1547787940,243,243
1547790067,250,250
1547791964,248,248
1547793870,252,252
1547795832,257,257
1547797709,249,249
1547799686,253,253
1547801603,254,254
1547803839,259,259
1547805721,260,260
1547807580,270,270
1547809535,272,272
1547811422,273,273
1547813568,276,276
1547815484,275,275
1547817400,280,280
1547819576,279,279
1547821496,284,284
1547823395,284,284
1547825576,290,290
1547827533,289,289
1547829795,273,273
1547832076,269,269
1547833959,262,262
1547835898,255,255
1547837784,255,255
1547839969,255,255
1547841967,256,256
1547843842,258,258
1547845990,261,261
1547847868,258,258
1547849798,268,268
1547851995,261,261
1547853875,261,261
1547855815,261,261
1547857713,259,259
1547859727,258,258
1547861585,259,259
1547863472,241,241
1547865657,239,239
1547867558,241,241
1547869495,243,243
1547871661,244,244
1547873596,242,242
1547875481,234,234
1547877385,233,233
1547879306,228,228
1547881317,216,216
1547883176,215,215
1547885146,221,221
1547886983,216,216
1547889167,219,219
1547891097,218,218
1547893269,210,210
1547895162,204,204
1547897065,214,214
1547899007,213,213
1547900909,216,216
1547902919,214,214
1547904780,210,210
1547906715,212,212
1547908609,212,212
1547910771,209,209
1547912688,203,203
1547914690,208,208
1547916769,208,208
1547918824,208,208
1547920892,208,208
1547922752,210,210
1547924684,209,209
1547926590,209,209
1547928779,208,208
1547930677,205,205
1547932612,207,207
1547934775,208,208
1547936695,207,207
1547938914,200,200
1547940754,200,200
1547942751,201,201
1547944608,199,199
1547946517,193,193
1547948463,189,189
1547950355,186,186
1547952274,186,186
1547954203,187,187
1547956110,182,182
1547958057,177,177
1547959956,182,182
1547961893,186,186
1547963807,190,190
1547965708,190,190
1547967684,189,189
1547969608,188,188
1547971550,184,184
1547973409,183,183
1547975332,178,178
1547977226,181,181
1547979167,184,184
1547981088,181,181
1547983010,180,180
1547985174,166,166
1547987089,164,164
1547988989,159,159
1547991177,158,158
1547993110,157,157
1547995251,154,154
1547997180,159,159
1547999097,161,161
1548001006,160,160
1548002913,158,158
1548004860,158,158
1548006773,157,157
1548008689,155,155
1548010587,154,154
1548012756,154,154
1548014728,153,153
1548016839,150,150
1548018787,150,150
1548020675,151,151
1548022593,151,151
1548024812,149,149
1548026700,150,150
1548028977,148,148
1548031255,149,149
1548033451,153,153
1548035311,154,154
1548037241,154,154
1548041121,152,152
1548042985,153,153
1548044928,151,151
1548046930,148,148
1548048750,146,146
1548050765,140,140
1548052585,141,141
1548054758,140,140
1548056672,141,141
1548058624,137,137
1548060780,138,138
1548062664,135,135
1548064613,134,134
1548066759,133,133
1548068744,132,132
1548070613,133,133
1548072509,131,131
1548074462,136,136
1548076495,139,139
1548078536,143,143
1548080444,143,143
1548082395,144,144
1548084311,145,145
1548086500,154,154
1548088375,155,155
1548090329,157,157
1548092208,159,159
1548094357,159,159
1548096316,160,160
1548098210,162,162
1548100127,167,167
1548102045,170,170
1548104008,172,172
1548106177,173,173
1548108089,173,173
1548109971,177,177
1548111955,177,177
1548113783,180,180
1548115984,183,183
1548117881,184,184
1548119802,184,184
1548121734,184,184
1548123893,192,192
1548125780,196,196
1548127738,194,194
1548129704,192,192
1548131580,185,185
1548133522,186,186
1548135384,186,186
1548137344,189,189
1548139227,187,187
1548141173,187,187
1548143064,187,187
1548145256,188,188
1548147169,194,194
1548149086,197,197
1548151003,204,204
1548152914,209,209
1548154930,213,213
1548156778,214,214
1548158715,216,216
1548160609,213,213
1548162537,214,214
1548164425,210,210
1548166387,211,211
1548168267,211,211
1548170478,212,212
1548172372,204,204
1548174265,207,207
1548176208,203,203
1548178102,202,202
1548180096,201,201
1548181964,200,200
1548183897,198,198
1548185791,200,200
1548187958,194,194
1548189868,196,196
1548191790,196,196
1548193706,193,193
1548195624,187,187
1548197611,184,184
1548199730,184,184
1548201801,180,180
1548204028,179,179
1548205992,182,182
1548207865,179,179
1548209811,176,176
1548211731,166,166
1548213654,165,165
1548215538,163,163
1548217469,166,166
1548219450,165,165
1548221586,164,164
1548223500,164,164
1548225655,163,163
1548227562,162,162
1548229495,165,165
1548231397,163,163
1548233306,158,158
1548235496,159,159
1548237324,151,151
1548239680,150,150
1548241506,149,149
1548243401,148,148
1548245603,149,149
1548247477,149,149
1548249418,147,147
1548251556,147,147
1548253548,144,144
1548255417,147,147
1548257303,146,146
1548259317,142,142
1548261412,144,144
1548263312,148,148
1548265491,150,150
1548267651,149,149
1548269574,148,148
1548271475,147,147
1548273417,144,144
1548275568,156,156
1548277527,154,154
1548279654,153,153
1548281559,159,159
1548283480,161,161
1548285432,161,161
1548287586,165,165
1548289513,163,163
1548291396,163,163
1548293565,161,161
1548295519,158,158
1548297421,158,158
1548299371,159,159
1548301301,160,160
1548303198,157,157
1548305343,162,162
1548307503,159,159
1548309407,157,157
1548311325,157,157
1548313331,159,159
1548315161,157,157
1548317122,156,156
1548319231,160,160
1548321163,157,157
1548323095,161,161
1548325244,164,164
1548327169,164,164
1548329072,162,162
1548331013,166,166
1548332924,167,167
1548334935,167,167
1548336999,167,167
1548339164,167,167
1548341104,171,171
1548343254,171,171
1548345181,172,172
1548347328,171,171
1548349305,170,170
1548351418,167,167
1548353336,169,169
1548355229,170,170
1548357173,172,172
1548359067,177,177
1548360993,178,178
1548362930,164,164
1548364859,164,164
1548366778,165,165
1548368667,163,163
1548370570,164,164
1548372531,164,164
1548374572,164,164
1548376638,168,168
1548378761,166,166
1548380699,167,167
