DateTime,Entries,UniqueIPs
1547500382,55,55
1547502295,56,56
1547504621,58,58
1547506617,59,59
1547509201,59,59
1547511166,61,61
1547513095,60,60
1547515022,59,59
1547517185,61,61
1547519122,59,59
1547520996,60,60
1547522928,59,59
1547524941,56,56
1547526756,57,57
1547528744,58,58
1547530867,59,59
1547532790,60,60
1547534940,59,59
1547536845,60,60
1547540688,58,58
1547542929,64,64
1547544771,65,65
1547546710,60,60
1547548875,59,59
1547550764,61,61
1547552712,62,62
1547554872,61,61
1547556796,63,63
1547558672,63,63
1547560609,63,63
1547562537,63,63
1547564552,61,61
1547566628,60,60
1547568826,58,58
1547570673,57,57
1547572605,58,58
1547576706,62,62
1547578960,65,65
1547580801,66,66
1547582722,66,66
1547586542,63,63
1547588466,64,64
1547590388,62,62
1547592300,62,62
1547594477,64,64
1547596382,61,61
1547600220,61,61
1547602133,60,60
1547604127,59,59
1547605969,64,64
1547607961,61,61
1547609807,61,61
1547611990,65,65
1547613889,63,63
1547616077,67,67
1547618000,67,67
1547619879,68,68
1547621822,68,68
1547623736,69,69
1547625701,70,70
1547627559,69,69
1547629498,70,70
1547631383,69,69
1547633334,71,71
1547635500,75,75
1547637642,74,74
1547639571,71,71
1547641498,71,71
1547643503,71,71
1547645573,71,71
1547647506,71,71
1547649660,73,73
1547651568,74,74
1547655393,73,73
1547657559,72,72
1547659504,74,74
1547661378,77,77
1547663559,73,73
1547665506,73,73
1547667424,71,71
1547669551,70,70
1547671487,76,76
1547673412,76,76
1547675326,78,78
1547677253,76,76
1547679227,77,77
1547681072,77,77
1547683012,80,80
1547687119,80,80
1547689280,81,81
1547691159,82,82
1547693094,79,79
1547694995,79,79
1547697194,79,79
1547699093,79,79
1547700981,78,78
1547703169,75,75
1547705106,75,75
1547707256,74,74
1547709429,76,76
1547711341,76,76
1547713255,79,79
1547715186,77,77
1547717083,73,73
1547719001,72,72
1547721214,72,72
1547723135,72,72
1547725054,72,72
1547727185,71,71
1547729086,69,69
1547731018,70,70
1547733159,69,69
1547735120,71,71
1547737024,69,69
1547738922,68,68
1547740919,69,69
1547742790,67,67
1547746877,63,63
1547748810,64,64
1547750709,65,65
1547752868,63,63
1547754795,62,62
1547756703,59,59
1547758622,58,58
1547760544,58,58
1547762519,56,56
1547764365,58,58
1547766353,59,59
1547768225,55,55
1547774213,54,54
1547776237,52,52
1547778040,54,54
1547779986,52,52
1547783791,50,50
1547785961,48,48
1547790073,49,49
1547791990,50,50
1547793884,51,51
1547795838,48,48
1547797715,48,48
1547799692,45,45
1547801625,45,45
1547803849,44,44
1547805728,47,47
1547807586,44,44
1547809568,41,41
1547811430,41,41
1547813575,42,42
1547815490,46,46
1547817406,48,48
1547819582,49,49
1547821502,47,47
1547825582,49,49
1547827541,48,48
1547832089,49,49
1547833965,48,48
1547835904,50,50
1547837789,49,49
1547839975,50,50
1547843848,49,49
1547845996,48,48
1547847874,48,48
1547852001,47,47
1547853881,45,45
1547857719,46,46
1547861591,47,47
1547863484,49,49
1547865663,48,48
1547867564,49,49
1547869500,50,50
1547871666,52,52
1547873602,52,52
1547875486,51,51
1547877391,51,51
1547879314,51,51
1547881323,52,52
1547883181,51,51
1547885151,51,51
1547886988,52,52
1547889174,53,53
1547891118,55,55
1547893273,54,54
1547895167,54,54
1547897070,53,53
1547899012,52,52
1547900927,52,52
1547902924,48,48
1547904795,45,45
1547906740,45,45
1547910776,46,46
1547912693,45,45
1547918829,46,46
1547920898,45,45
1547922757,43,43
1547924690,41,41
1547926595,42,42
1547932617,43,43
1547934780,42,42
1547936700,41,41
1547938919,41,41
1547940759,41,41
1547942757,43,43
1547944613,43,43
1547946522,43,43
1547948468,44,44
1547950360,43,43
1547952279,42,42
1547954208,47,47
1547956115,46,46
1547958063,47,47
1547959961,50,50
1547961899,51,51
1547963812,51,51
1547965713,51,51
1547967690,49,49
