DateTime,AddedIPs,RemovedIPs
1547586543,11,17
1547588467,12,8
1547590388,12,6
1547592301,20,21
1547594478,10,10
1547596382,12,7
1547598317,18,8
1547600220,16,23
1547602134,17,13
1547604128,11,14
1547605969,20,12
1547607962,15,14
1547609807,24,15
1547611991,22,11
1547613889,14,14
1547616077,11,10
1547618001,21,16
1547619879,116,17
1547621822,169,8
1547623737,17,6
1547625704,15,11
1547627559,21,11
1547629499,35,8
1547631383,14,17
1547633335,12,17
1547635501,10,15
1547637642,20,2
1547639571,15,12
1547641498,19,6
1547643503,9,16
1547645573,12,11
1547647506,10,16
1547649661,5,17
1547651569,8,15
1547653469,12,11
1547655393,17,14
1547657560,6,17
1547659505,9,22
1547661379,17,11
1547663559,11,22
1547665508,9,17
1547667425,6,16
1547669553,6,14
1547671487,16,7
1547673413,9,16
1547675327,17,8
1547677254,11,13
1547679227,12,16
1547681072,16,8
1547683012,10,10
1547684928,8,14
1547687119,12,21
1547689281,10,10
1547691159,17,15
1547693095,16,10
1547694996,12,20
1547697195,15,21
1547699093,14,14
1547700982,6,10
1547703169,9,16
1547705107,13,17
1547707256,15,209
1547709430,25,89
1547711342,8,14
1547713256,7,28
1547715186,9,24
1547717084,15,21
1547719001,24,16
1547721214,13,13
1547723135,13,11
1547725054,9,25
1547727186,12,20
1547729086,21,14
1547731019,10,11
1547733159,24,16
1547735121,17,7
1547737024,10,5
1547738922,16,14
1547740919,8,21
1547742791,3,14
1547744749,15,8
1547746878,12,14
1547748811,11,16
1547750710,7,9
1547752869,11,11
1547754795,10,7
1547756704,13,10
1547758623,16,15
1547760544,23,14
1547762519,16,14
1547764365,13,11
1547766353,6,19
1547768226,15,15
1547770127,17,13
1547772063,11,11
1547774213,18,11
1547776237,9,8
1547778040,11,16
1547779987,12,23
1547781930,14,9
1547783792,5,14
1547785961,13,17
1547787948,10,6
1547790073,11,12
1547791991,7,15
1547793885,9,15
1547795839,12,22
1547797716,16,7
1547799693,8,7
1547801626,12,10
1547803849,9,18
1547805728,11,28
1547807587,7,11
1547809569,3,10
1547811430,10,10
1547813575,13,13
1547815491,13,20
1547817407,8,11
1547819583,21,24
1547821502,18,16
1547823401,8,9
1547825583,13,18
1547827541,8,8
1547829802,15,9
1547832090,15,18
1547833966,9,11
1547835904,12,8
1547837790,16,7
1547839976,11,12
1547841992,9,9
1547843848,13,14
1547845997,17,22
1547847875,15,21
1547849804,13,17
1547852001,11,9
1547853881,8,5
1547855821,5,16
1547857719,14,18
1547859733,16,14
1547861592,8,12
1547863486,13,11
1547865663,15,16
1547867564,4,14
1547869501,12,7
1547871667,19,12
1547873602,14,10
1547875487,17,15
1547877391,11,6
1547879314,8,17
1547881324,8,7
1547883181,8,9
1547885152,6,12
1547886989,5,8
1547889175,9,14
1547891118,14,9
1547893274,18,10
1547895168,10,2
1547897070,18,6
1547899013,15,8
1547900927,16,10
1547902925,11,14
1547904796,11,10
1547906740,12,24
1547908614,7,10
1547910776,14,10
1547912693,16,17
1547914696,15,8
1547916787,14,14
1547918830,10,11
1547920898,11,9
1547922758,11,16
1547924691,17,8
1547926596,10,12
1547928785,6,8
1547930682,10,11
1547932618,14,17
1547934781,15,19
1547936700,14,9
1547938920,9,14
1547940760,8,5
1547942757,19,9
1547944613,10,13
1547946522,53,18
1547948468,12,9
1547950361,8,10
1547952280,6,19
1547954209,20,7
1547956115,9,7
1547958063,15,21
1547959962,4,13
1547961900,10,15
1547963813,9,12
1547965714,3,5
1547967691,8,11
1547969614,10,8
1547971555,13,6
1547973415,6,5
1547975337,18,8
1547977231,50,8
1547979180,12,21
1547981093,11,8
1547983016,5,20
1547985193,19,16
1547987094,10,16
1547988994,8,13
1547991183,17,13
