DateTime,AddedIPs,RemovedIPs
1547403644,2,0
1547405558,2,1
1547407509,1,5
1547409445,1,3
1547411558,1,1
1547413510,5,0
1547415414,1,3
1547417586,3,0
1547419562,3,1
1547421420,2,1
1547423323,4,1
1547425265,6,1
1547427173,0,3
1547429107,4,4
1547431330,2,0
1547433191,0,1
1547435159,1,2
1547437002,2,2
1547439198,4,1
1547441117,2,2
1547443052,3,3
1547444926,1,4
1547447095,3,1
1547449025,4,5
1547450935,1,2
1547453120,1,0
1547455235,1,1
1547459099,4,1
1547461285,3,5
1547463424,2,1
1547465333,4,2
1547467316,8,1
1547469293,3,5
1547471124,0,3
1547473022,5,4
1547474986,3,4
1547476845,4,0
1547479026,4,8
1547480941,3,3
1547482883,4,0
1547484755,1,3
1547486693,4,4
1547488635,1,3
1547490525,0,2
1547492554,1,2
1547494390,8,1
1547496306,2,2
1547498234,1,1
1547500383,1,4
1547502297,0,2
1547504622,1,3
1547506618,3,2
1547509202,9,6
1547511167,0,4
1547513096,1,2
1547515024,2,3
1547517186,1,2
1547519123,6,1
1547520997,1,1
1547522929,1,2
1547524942,0,4
1547526757,3,1
1547528745,0,2
1547530868,0,3
1547532791,1,2
1547534941,3,4
1547536846,1,2
1547538751,0,1
1547540689,0,1
1547544772,4,3
1547546711,0,2
1547548876,3,3
1547550765,0,2
1547552713,1,7
1547554873,3,5
1547556797,1,2
1547558673,2,4
1547560610,2,4
1547562538,5,3
1547564553,1,2
1547566629,7,5
1547568827,6,3
1547570674,4,3
1547572607,1,3
1547574564,3,2
1547576707,5,0
1547578961,3,1
1547580802,3,8
1547582723,5,2
1547584628,5,1
1547586543,4,1
1547590389,0,1
1547592301,0,1
1547594478,2,8
1547596383,1,3
1547598317,0,1
1547600221,2,2
1547602134,3,1
1547604128,5,0
1547605970,2,6
1547607962,2,1
1547609808,2,1
1547611991,1,0
1547613890,2,3
1547616078,5,0
1547618001,3,1
1547619880,3,1
1547621823,7,2
1547623737,0,1
1547625706,1,0
1547627560,6,0
1547629499,4,1
1547631384,2,3
1547633335,7,2
1547635501,0,1
1547637643,1,0
1547639572,0,1
1547641499,1,3
1547643504,0,2
1547645574,0,1
1547647507,0,3
1547649661,1,4
1547651569,0,2
1547653469,1,8
1547655394,0,5
1547657560,1,4
1547661379,1,3
1547663560,0,5
1547665508,2,3
1547667426,0,3
1547669553,0,6
1547671488,0,5
1547673413,2,3
1547675328,1,0
1547679228,0,2
1547683013,0,1
1547687120,1,2
1547689282,0,3
1547691160,0,7
1547693095,2,1
1547694996,0,1
1547697195,0,3
1547699094,0,1
1547700982,0,2
1547703170,0,4
1547705107,0,5
1547707257,1,5
1547709430,0,3
1547711343,1,0
1547713257,1,3
1547715187,1,6
1547717084,0,3
1547719002,1,6
1547721215,0,2
1547725055,0,1
1547727186,1,0
1547729087,0,1
1547731019,1,0
1547733160,1,0
1547735122,1,1
1547737025,1,0
1547740920,0,1
1547742791,1,1
1547746878,0,1
1547750710,1,0
1547752869,0,2
1547754796,1,0
1547760545,1,3
1547762520,2,0
1547766354,1,0
1547772064,0,1
1547776238,1,0
1547779987,0,2
1547783792,1,0
1547785962,1,0
1547791991,0,1
1547795839,1,0
1547797716,0,1
1547799693,0,1
1547801627,0,1
1547805729,1,1
1547811431,2,0
1547813576,0,1
1547817407,1,1
1547819583,1,1
1547821503,3,1
1547823401,1,1
1547829803,0,1
1547837790,0,1
1547839976,1,1
1547843849,1,0
1547847875,0,3
1547849805,1,0
1547852002,1,0
1547853882,0,1
1547857720,2,0
1547859734,1,0
1547863487,1,1
1547865664,1,0
1547867565,1,0
1547871667,30,1
1547873603,22,1
1547881324,1,1
1547885153,1,0
1547889175,1,0
1547891119,1,1
1547893274,1,0
1547897070,1,2
1547904797,0,2
1547906741,1,1
1547908615,0,3
1547916787,1,0
1547924692,3,1
1547928785,0,1
1547932618,1,0
1547934781,0,1
1547936701,1,0
1547938920,1,1
1547944613,0,3
1547946523,2,0
1547950361,0,1
1547952280,0,1
1547954210,1,1
1547958064,0,29
1547959962,0,23
1547963813,1,0
1547967691,0,1
1547971556,0,1
1547975338,1,1
1547979181,0,1
1547981094,0,1
1547983016,0,1
1547985194,4,0
1547987095,1,0
1547988995,1,0
1547991184,2,0
1547993119,0,1
1547995256,1,0
1547999104,1,0
1548001012,1,0
1548002925,2,1
1548006791,2,0
1548010593,3,1
1548012771,1,2
1548014734,2,0
1548016845,2,0
1548018794,0,1
1548020681,1,0
1548024818,0,2
1548028985,1,0
1548031262,1,0
1548033460,0,2
1548037248,1,0
1548041138,2,1
1548042992,1,0
1548044948,1,0
1548046938,1,0
1548048757,1,1
1548054765,1,0
1548058647,1,0
1548060787,1,0
1548062671,3,1
1548064620,2,0
1548066766,1,0
1548068753,1,0
1548070621,2,0
1548072516,0,5
1548076510,0,2
1548078544,0,1
1548082405,0,1
1548086507,1,2
1548088384,2,1
1548090337,1,1
1548092216,0,1
1548094364,1,1
1548096328,0,3
1548098219,2,0
1548100147,0,1
1548102052,1,3
1548104015,0,1
1548108102,1,1
1548111964,1,0
1548113790,0,1
1548115991,1,1
1548119809,1,0
1548123899,1,1
1548125786,0,1
1548127751,1,1
1548129711,0,1
1548131602,2,1
1548133528,2,1
1548135390,0,1
1548137350,1,0
1548139233,1,0
1548141178,0,1
1548145262,2,1
