DateTime,Entries,UniqueIPs
1547389500,83,83
1547391401,82,82
1547393580,84,84
1547395521,85,85
1547397656,85,85
1547399871,85,85
1547401724,84,84
1547403645,84,84
1547407509,85,85
1547409446,92,92
1547411559,90,90
1547415415,91,91
1547417587,93,93
1547419563,88,88
1547421421,91,91
1547423324,87,87
1547425265,86,86
1547427174,78,78
1547429108,74,74
1547431331,77,77
1547433191,77,77
1547435160,77,77
1547437003,75,75
1547439198,78,78
1547441118,79,79
1547449025,78,78
1547450936,77,77
1547453121,82,82
1547455236,83,83
1547457193,86,86
1547459099,87,87
1547461286,88,88
1547465333,89,89
1547469293,91,91
1547471125,92,92
1547473023,91,91
1547474987,90,90
1547479027,91,91
1547480949,91,91
1547482883,89,89
1547484755,91,91
1547486693,93,93
1547488636,92,92
1547490525,94,94
1547492554,93,93
1547494391,92,92
1547496306,81,81
1547498234,81,81
1547500384,82,82
1547502297,81,81
1547504623,82,82
1547506618,81,81
1547509203,84,84
1547511167,82,82
1547513097,82,82
1547515024,83,83
1547519123,84,84
1547520998,85,85
1547522930,83,83
1547524942,83,83
1547526757,82,82
1547528745,81,81
1547538751,80,80
1547540690,76,76
1547542931,77,77
1547544773,87,87
1547546711,83,83
1547550765,85,85
1547552714,83,83
1547554874,83,83
1547556798,82,82
1547558673,81,81
1547562538,82,82
1547564554,83,83
1547566629,83,83
1547568828,84,84
1547570674,86,86
1547572607,84,84
1547576707,84,84
1547578961,84,84
1547580803,86,86
1547582724,86,86
1547584629,85,85
1547588468,87,87
1547590389,86,86
1547592302,88,88
1547594479,90,90
1547596384,89,89
1547600221,88,88
1547604129,89,89
1547605970,90,90
1547607969,91,91
1547611992,90,90
1547613890,89,89
1547616078,98,98
1547621823,99,99
1547623738,101,101
1547627560,100,100
1547629500,97,97
1547631384,87,87
1547633336,88,88
1547635502,87,87
1547637643,87,87
1547639573,88,88
1547641499,89,89
1547645575,86,86
1547649662,85,85
1547653470,85,85
1547655394,84,84
1547657561,85,85
1547659506,83,83
1547661380,84,84
1547665509,82,82
1547667427,80,80
1547669554,79,79
1547671488,78,78
1547673414,79,79
1547675328,78,78
1547677254,79,79
1547679228,76,76
1547681073,78,78
1547687120,77,77
1547689282,79,79
1547691160,78,78
1547693096,79,79
1547694997,79,79
1547697196,80,80
1547699094,84,84
1547700983,85,85
1547703170,86,86
1547705108,85,85
1547709431,85,85
1547711343,85,85
1547713257,86,86
1547715187,88,88
1547719002,90,90
1547723136,91,91
1547729087,92,92
1547731020,90,90
1547733160,92,92
1547737025,93,93
1547738923,94,94
1547740920,95,95
1547742792,97,97
1547744751,98,98
1547748812,95,95
1547750711,93,93
1547754796,94,94
1547756705,95,95
1547758624,95,95
1547760545,96,96
1547762520,97,97
1547764366,98,98
1547768226,100,100
1547772064,101,101
1547774214,102,102
1547776238,95,95
1547778042,95,95
1547781931,94,94
1547783793,98,98
1547785962,95,95
1547787949,93,93
1547791992,94,94
1547793886,96,96
1547795840,94,94
1547797717,93,93
1547799694,92,92
1547801628,91,91
1547803850,91,91
1547805730,89,89
1547807588,91,91
1547809570,90,90
1547813576,89,89
1547815492,90,90
1547817408,94,94
1547819584,95,95
1547821503,96,96
1547823402,97,97
1547825584,99,99
1547827542,100,100
1547829803,100,100
1547832091,104,104
1547833967,107,107
1547835905,105,105
1547837791,104,104
1547839977,103,103
1547841994,101,101
1547843850,99,99
1547845998,99,99
1547849805,100,100
1547853882,99,99
1547855822,100,100
1547859734,99,99
1547861593,100,100
1547863488,99,99
1547865664,103,103
1547869502,101,101
1547871668,101,101
1547873603,101,101
1547875488,102,102
1547877392,101,101
1547881325,102,102
1547883182,107,107
1547885154,108,108
1547889176,107,107
1547891119,106,106
1547893275,105,105
1547897071,104,104
1547899014,105,105
1547900928,107,107
1547904797,107,107
1547906741,106,106
1547908615,104,104
1547910777,104,104
1547912694,104,104
1547914697,106,106
1547916788,104,104
1547918831,99,99
1547920899,99,99
1547922759,98,98
1547924692,99,99
1547926596,99,99
1547928786,100,100
