DateTime,AddedIPs,RemovedIPs
1547564555,1,4
1547566630,2,4
1547568829,10,2
1547570675,8,0
1547572608,3,2
1547574566,1,5
1547576708,1,1
1547578962,3,4
1547580804,3,1
1547582726,4,1
1547584630,4,1
1547586544,2,1
1547588469,1,2
1547590390,3,0
1547592303,2,3
1547594480,2,0
1547596385,2,0
1547598319,2,4
1547600222,1,5
1547602135,1,1
1547604130,2,3
1547605971,1,2
1547607972,1,0
1547609809,0,2
1547611992,4,3
1547613891,4,2
1547616079,1,0
1547618003,1,0
1547619881,2,2
1547623739,1,2
1547625712,1,2
1547627561,2,1
1547629501,5,2
1547631385,1,0
1547635503,1,4
1547637644,1,1
1547639573,2,2
1547641500,1,0
1547643505,0,2
1547645576,1,0
1547647509,2,2
1547649663,1,2
1547651571,0,2
1547653471,1,2
1547655395,2,11
1547657562,2,6
1547659507,0,2
1547661381,0,3
1547663561,1,0
1547665510,3,6
1547667427,0,3
1547669555,3,8
1547671489,5,2
1547673418,0,1
1547675329,2,2
1547677256,2,4
1547679229,0,3
1547681074,3,0
1547683014,2,2
1547684930,1,1
1547687121,3,1
1547689283,0,2
1547691161,1,1
1547693096,1,1
1547694998,1,0
1547697197,1,2
1547699095,3,4
1547700984,2,0
1547703171,9,0
1547705109,5,2
1547707258,2,2
1547709432,2,1
1547711344,4,0
1547713260,1,2
1547715188,4,2
1547717098,2,3
1547719003,1,1
1547723137,3,1
1547725056,2,3
1547727188,4,0
1547729088,4,1
1547731020,0,1
1547733161,2,2
1547735123,0,1
1547737026,1,1
1547738923,1,1
1547740921,5,0
1547742792,0,1
1547744752,1,2
1547746879,3,0
1547748813,2,0
1547750712,1,1
1547752870,2,1
1547754797,2,1
1547756706,1,4
1547758624,3,7
1547762521,2,4
1547764367,2,1
1547766369,1,1
1547768227,0,1
1547770129,2,3
1547772065,3,2
1547774215,1,2
1547776239,6,3
1547778042,3,0
1547779988,3,2
1547781932,5,0
1547783793,0,2
1547785963,2,4
1547787949,1,1
1547790075,13,11
1547791992,5,4
1547793886,2,2
1547795840,1,1
1547797717,2,4
1547799694,2,2
1547801630,3,3
1547803851,2,1
1547805730,1,0
1547807588,2,0
1547809572,2,3
1547811432,4,1
1547813577,2,5
1547815493,1,4
1547817409,2,0
1547819584,2,1
1547821504,3,0
1547823402,2,1
1547825584,4,1
1547827542,3,2
1547829804,1,0
1547832091,1,1
1547833967,2,2
1547835906,2,1
1547837792,6,0
1547839977,2,2
1547841994,2,1
1547843851,2,3
1547845998,2,3
1547847876,3,2
1547849806,0,1
1547852016,2,2
1547853883,1,1
1547855822,0,3
