DateTime,AddedIPs,RemovedIPs
1548085951,6,7
1548086673,5,1
1548087647,13,6
1548088352,6,8
1548089076,3,1
1548089770,10,9
1548090762,8,6
1548091456,1,3
1548092184,4,6
1548093158,8,2
1548093874,4,4
1548094842,6,6
1548095554,6,6
1548096295,7,10
1548096990,9,7
1548097721,6,4
1548098679,13,11
1548099389,9,0
1548100102,2,4
1548101331,7,17
1548102013,6,0
1548102737,1,6
1548103457,11,6
1548104180,8,10
1548105145,5,4
1548105873,5,11
1548106604,6,5
1548107286,2,0
1548108027,2,5
1548108991,4,11
1548109690,6,0
1548110415,7,4
1548111131,2,11
1548111868,4,8
1548112568,7,5
1548113289,5,5
1548114008,3,6
1548114743,7,0
1548115490,4,4
1548116440,5,9
1548117137,2,11
1548117860,6,1
1548118575,6,8
1548209325,367,1201
1548210331,60,0
1548210990,14,0
1548211717,13,0
1548212436,19,0
1548213163,27,0
1548213852,13,0
1548214569,13,0
1548215350,9,0
1548216039,14,0
1548216762,9,0
1548217455,12,0
1548218199,13,0
1548219140,13,0
1548219882,3,0
1548220594,8,0
1548221571,12,0
1548222521,6,0
1548223468,9,0
1548224171,12,0
1548225142,8,0
1548226117,11,0
1548227079,8,0
1548228049,9,0
1548228983,13,0
1548229935,16,0
1548230923,10,0
1548231877,18,0
1548232838,9,0
1548233551,1,0
1548234522,14,0
1548235481,8,0
1548236447,15,0
1548237890,15,0
1548238567,5,0
1548239639,12,0
1548240289,4,0
1548240968,6,0
1548241940,14,0
1548242916,8,0
1548243878,15,0
1548244593,2,0
1548245560,11,0
1548246275,7,0
1548246989,3,0
1548247957,7,0
1548248673,6,0
1548249397,8,0
1548250362,8,0
1548251079,8,0
1548251792,5,0
1548252764,19,0
1548253499,2,0
1548254444,3,0
1548255395,7,0
1548256113,6,0
1548256836,6,0
1548257558,11,0
1548258275,7,0
1548258967,5,0
1548259762,13,0
1548260407,7,0
1548261386,5,0
1548262353,9,0
1548263072,6,0
1548264046,15,0
1548264990,12,0
1548265946,9,0
1548266651,3,0
1548267626,12,0
1548268333,9,0
1548269057,4,0
1548269773,10,0
1548270738,13,0
1548271450,5,0
1548272169,8,0
1548273137,3,0
1548273855,6,0
1548274818,8,0
1548275541,5,0
1548276498,16,0
1548277474,8,0
1548278166,3,0
1548278891,9,0
1548279617,5,0
1548280369,5,0
1548281082,6,0
1548281802,8,0
1548282489,4,0
1548283208,6,0
1548283932,3,0
1548284655,5,0
1548285406,5,0
1548286340,4,0
1548287049,6,0
1548288072,3,0
1548288742,6,0
1548289476,6,0
1548290171,6,0
1548290947,8,0
1548291642,8,0
1548292338,7,0
1548293079,5,0
1548293791,7,0
1548294529,3,0
1548295253,7,0
1548295958,9,13
1548296694,9,0
1548297386,4,12
1548298348,15,13
1548299324,13,14
1548300258,6,16
1548300972,13,9
1548301693,10,0
1548302421,10,2
1548303163,9,14
1548303880,2,6
1548304844,13,8
1548305777,11,8
1548306737,8,8
1548307459,1,4
1548308419,3,2
1548309127,4,4
1548309866,5,0
1548310843,10,12
1548311531,3,0
1548312268,6,4
1548313224,4,6
1548314206,6,6
1548315138,2,7
1548316103,5,3
1548317075,3,3
1548317792,4,9
1548318782,7,7
1548319470,6,5
1548320446,5,7
1548321135,7,6
1548321854,1,0
1548322818,3,6
1548323530,3,6
1548324264,5,0
1548325221,8,9
1548325927,7,0
1548326759,1,9
1548327369,8,13
1548328346,7,3
1548329051,5,0
1548329766,7,6
1548330737,3,3
1548331453,2,4
1548332206,3,6
1548332890,6,7
1548333611,4,7
1548334330,4,0
1548335054,2,4
1548336034,12,19
1548336980,6,7
1548337714,3,3
1548338680,3,6
1548339376,10,7
1548340361,1,5
1548341071,6,4
1548341791,5,0
1548342761,6,15
1548343451,4,3
1548344436,4,2
1548345159,6,2
1548345879,3,10
1548346845,6,7
1548347797,7,7
1548348516,3,0
1548349238,3,3
1548350198,5,9
1548350888,1,8
1548351869,6,8
1548352832,12,4
1548353804,9,12
1548354488,8,5
1548355211,6,7
1548355929,10,8
1548356652,3,2
1548357374,5,9
1548358089,5,4
1548358813,4,8
1548359561,3,5
1548360253,5,0
1548360974,3,0
1548361938,7,3
1548362649,5,3
1548363380,4,7
1548364112,1,3
1548364832,7,6
1548365801,4,6
1548366757,12,5
1548367473,3,7
1548368197,5,9
1548368912,6,10
1548369637,2,4
1548370912,7,4
1548371799,3,6
1548372507,2,6
1548373248,1,2
1548373971,3,11
1548374909,3,5
1548375880,6,13
1548376601,6,7
1548377560,8,6
1548378271,4,2
1548378996,10,6
1548379712,6,6
1548380674,3,3
1548381643,10,5
1548382602,4,16
1548383570,18,10
1548384274,10,11
1548384987,12,16
1548385960,10,9
1548386671,10,8
1548387393,7,10
1548388111,1,10
1548388829,10,6
1548389532,6,0
1548390254,2,8
1548391221,7,5
1548391934,3,8
1548392678,8,11
1548393395,7,10
1548394111,4,4
1548394828,1,2
1548395533,5,6
1548396273,8,2
1548396997,2,0
1548397710,3,3
1548398444,5,7
1548399392,6,1
1548400361,11,4
1548401073,11,11
1548401789,6,6
1548402515,7,6
1548403238,6,0
1548404182,5,8
1548405138,1,2
1548405849,4,8
1548406827,6,6
1548407530,2,6
1548408255,3,10
1548408968,2,0
1548409694,5,3
1548410417,8,6
1548411178,3,7
1548411872,5,2
1548412843,3,3
1548413550,3,4
1548414280,3,9
1548415244,3,1
1548416200,9,10
1548416909,2,0
1548417637,8,2
1548418354,5,3
1548419049,2,4
1548419770,5,4
1548420742,6,3
1548421454,3,0
1548422444,10,16
1548423383,7,7
1548424113,3,0
1548424847,5,2
1548425532,5,1
1548426281,3,4
1548426969,4,5
1548427937,2,6
1548428657,1,7
1548429642,4,2
1548430356,3,3
1548431075,7,3
1548431794,6,2
1548432804,9,7
1548433451,7,4
1548434420,5,4
1548435156,2,6
1548435882,5,8
1548436854,8,6
1548437533,9,6
1548438254,8,0
1548438975,4,6
1548439963,5,7
1548440654,4,5
1548441368,4,6
1548442121,6,2
1548442818,2,4
1548443804,7,13
1548444767,5,3
1548445451,3,1
1548446171,6,5
1548447150,6,7
1548447856,13,6
1548448845,6,8
1548449528,1,9
1548450522,10,11
1548451462,8,10
1548452177,6,0
1548452895,7,10
1548453618,2,0
1548454349,5,9
1548455070,8,9
1548455799,3,2
1548456500,2,11
1548457221,7,0
1548457956,4,4
1548458653,0,2
1548459372,5,4
1548460089,1,3
