DateTime,AddedIPs,RemovedIPs
1548085951,47,58
1548086673,42,52
1548087647,85,42
1548088352,42,34
1548089076,42,57
1548089770,51,53
1548090762,63,62
1548091456,49,41
1548092184,58,65
1548093158,74,79
1548093874,72,51
1548094842,58,57
1548095554,41,38
1548096295,36,77
1548096990,78,70
1548097721,59,80
1548098679,95,73
1548099389,78,50
1548100102,45,42
1548101331,72,47
1548102013,38,58
1548102737,38,36
1548103457,52,38
1548104180,48,68
1548105145,51,66
1548105873,51,32
1548106604,53,36
1548107286,22,56
1548108027,59,30
1548108991,29,29
1548109690,26,36
1548110415,35,33
1548111131,24,57
1548111868,48,37
1548112568,45,35
1548113289,35,34
1548114008,45,38
1548114743,28,36
1548115490,36,35
1548116440,36,45
1548117137,25,23
1548117860,38,38
1548118575,45,41
1548209325,515,441
1548210331,60,44
1548210990,29,50
1548211717,34,26
1548212436,35,37
1548213163,54,54
1548213852,36,43
1548214569,43,46
1548215350,45,34
1548216039,35,28
1548216762,31,104
1548217455,93,45
1548218199,49,33
1548219140,44,159
1548219882,150,31
1548220594,27,53
1548221571,47,65
1548222521,57,28
1548223468,31,148
1548224171,153,39
1548225142,33,36
1548226117,32,51
1548227079,44,52
1548228049,47,51
1548228983,49,55
1548229935,56,32
1548230923,50,34
1548231877,55,59
1548232838,51,75
1548233551,37,55
1548234522,55,35
1548235481,50,39
1548236447,51,52
1548237890,49,81
1548238567,52,63
1548239639,87,40
1548240289,44,37
1548240968,35,35
1548241940,52,50
1548242916,35,52
1548243878,53,50
1548244593,34,59
1548245560,69,45
1548246275,57,43
1548246989,41,57
1548247957,56,41
1548248673,45,36
1548249397,47,47
1548250362,46,44
1548251079,37,33
1548251792,43,47
1548252764,56,36
1548253499,26,71
1548254444,62,39
1548255395,54,89
1548256113,93,44
1548256836,41,46
1548257558,48,58
1548258275,59,29
1548258967,41,39
1548259762,47,43
1548260407,39,28
1548261386,35,45
1548262353,44,46
1548263072,36,28
1548264046,40,52
1548264990,47,110
1548265946,115,47
1548266651,35,97
1548267626,112,73
1548268333,38,44
1548269057,36,42
1548269773,37,56
1548270738,79,35
1548271450,47,82
1548272169,70,58
1548273137,62,61
1548273855,57,51
1548274818,52,41
1548275541,38,37
1548276498,50,41
1548277474,46,50
1548278166,40,48
1548278891,68,58
1548279617,43,48
1548280369,38,158
1548281082,154,33
1548281802,39,111
1548282489,92,32
1548283208,44,108
1548283932,90,62
1548284655,63,109
1548285406,115,39
1548286340,53,89
1548287049,84,56
1548288072,56,63
1548288742,43,48
1548289476,41,27
1548290171,31,84
1548290947,86,27
1548291642,31,95
1548292338,80,44
1548293079,48,40
1548293791,51,49
1548294529,41,24
1548295253,32,124
1548295958,128,112
1548296694,100,42
1548297386,31,47
1548298348,63,50
1548299324,52,60
1548300258,49,93
1548300972,90,59
1548301693,60,125
1548302421,127,27
1548303163,34,133
1548303880,115,43
1548304844,64,78
1548305777,90,40
1548306737,31,45
1548307459,39,33
1548308419,28,32
1548309127,32,63
1548309866,66,33
1548310843,42,43
1548311531,29,36
1548312268,52,34
1548313224,32,118
1548314206,130,48
1548315138,39,43
1548316103,42,170
1548317075,154,41
1548317792,37,34
1548318782,36,149
1548319470,158,31
1548320446,29,39
1548321135,34,38
1548321854,30,53
1548322818,54,165
1548323530,167,29
1548324264,38,34
1548325221,53,39
1548325927,33,40
1548326759,31,39
1548327369,41,40
1548328346,51,58
1548329051,33,29
1548329766,38,36
1548330737,49,57
1548331453,34,106
1548332206,93,64
1548332890,71,52
1548333611,60,35
1548334330,49,49
1548335054,44,43
1548336034,61,66
1548336980,58,33
1548337714,33,27
1548338680,24,30
1548339376,44,32
1548340361,33,40
1548341071,31,93
1548341791,111,42
1548342761,38,42
1548343451,35,35
1548344436,38,36
1548345159,42,167
1548345879,175,34
1548346845,46,65
1548347797,56,41
1548348516,40,42
1548349238,49,48
1548350198,49,53
1548350888,37,51
1548351869,68,43
1548352832,61,180
1548353804,185,45
1548354488,40,173
1548355211,177,42
1548355929,32,172
1548356652,169,27
1548357374,34,52
1548358089,43,25
1548358813,30,54
1548359561,46,34
1548360253,49,33
1548360974,21,38
1548361938,39,46
1548362649,50,39
1548363380,32,48
1548364112,36,37
1548364832,34,32
1548365801,37,53
1548366757,45,49
1548367473,31,39
1548368197,48,36
1548368912,32,63
1548369637,48,20
1548370912,32,48
1548371799,30,30
1548372507,25,26
1548373248,29,34
1548373971,31,35
1548374909,36,39
1548375880,45,43
1548376601,44,39
1548377560,33,27
1548378271,30,28
1548378996,38,38
1548379712,39,176
1548380674,179,33
1548381643,39,49
1548382602,22,40
1548383570,59,37
1548384274,27,46
1548384987,50,43
1548385960,45,65
1548386671,50,33
1548387393,49,47
1548388111,32,34
1548388829,43,51
1548389532,39,32
1548390254,28,29
1548391221,40,49
1548391934,39,32
1548392678,43,35
1548393395,33,51
1548394111,32,42
1548394828,41,38
1548395533,41,35
1548396273,44,32
1548396997,25,32
1548397710,33,31
1548398444,38,38
1548399392,44,182
1548400361,189,49
1548401073,51,56
1548401789,47,31
1548402515,45,48
1548403238,38,37
1548404182,41,35
1548405138,30,35
1548405849,39,43
1548406827,54,34
1548407530,32,174
1548408255,181,34
1548408968,21,253
1548409694,232,57
1548410417,83,183
1548411178,186,29
1548411872,48,183
1548412843,188,39
1548413550,32,43
1548414280,33,26
1548415244,45,45
1548416200,43,39
1548416909,28,45
1548417637,59,30
1548418354,28,26
1548419049,27,25
1548419770,34,34
1548420742,39,31
1548421454,30,23
1548422444,37,34
1548423383,46,61
1548424113,25,40
1548424847,74,40
1548425532,31,65
1548426281,22,28
1548426969,43,31
1548427937,52,40
1548428657,43,72
