DateTime,AddedIPs,RemovedIPs
1547911705,3,0
1547912566,5,7
1547914482,10,6
1547915768,4,3
1547916936,1,0
1547918146,6,4
1547919747,11,11
1547921441,7,6
1547922507,6,0
1547924203,8,3
1547925279,3,10
1547927005,6,8
1547927805,7,0
1547928947,3,1
1547930483,5,5
1547931386,2,0
1547932473,4,5
1547933322,2,0
1547934939,1,4
1547936147,2,0
1547937291,0,1
1547937746,1,2
1547939448,4,1
1547940728,4,3
1547942206,2,1
1547943338,2,0
1547944965,5,3
1547945787,3,0
1547946883,4,2
1547948569,2,3
1547949388,2,1
1547951314,1,0
1547952156,2,0
1547954142,1,4
1547954918,2,0
1547956589,8,4
1547957682,6,0
1547959264,2,4
1547961044,4,2
1547962232,2,4
1547962950,1,1
1547964340,2,1
1547966070,4,3
1547968237,5,2
1547970147,2,13
1547971537,4,7
1547972914,1,0
1547973750,2,10
1547975443,3,1
1547977536,9,4
1547978742,2,2
1547980416,3,5
1547981735,2,0
1547982880,1,4
1547983722,3,0
1547984560,3,3
1547986477,3,6
1547987319,2,1
1547988943,4,5
1547990065,3,2
1547991358,3,4
1547992527,2,0
1547993746,4,4
1547995240,2,3
1547996541,9,5
1547998954,0,9
1548000095,5,4
1548001246,3,0
1548001718,1,0
1548004243,2,9
1548005443,7,3
1548006155,4,4
1548006985,5,0
1548008086,2,6
1548009637,2,6
1548011439,3,4
1548011683,1,0
1548013278,2,6
1548014184,3,0
1548015345,0,6
1548016120,4,0
1548017390,5,3
1548018634,5,0
1548019713,2,0
1548020546,2,2
1548021401,1,0
1548023316,6,8
1548025028,4,6
1548026147,3,1
1548026923,3,1
1548028527,4,12
1548029674,4,1
1548030943,5,2
1548033277,2,1
1548034887,2,2
1548036361,3,3
1548037810,2,1
1548039406,3,0
1548040547,1,3
1548041751,4,5
1548043141,2,4
1548044068,2,0
1548044917,2,0
1548046166,5,3
1548047670,0,3
1548049369,4,0
1548050188,1,0
1548051267,4,2
1548052535,3,2
1548054658,5,5
1548055709,1,0
1548057056,4,5
1548058488,2,3
1548059313,1,0
1548061849,6,7
1548063784,8,1
1548065449,5,5
1548067359,7,5
1548069266,4,1
1548070543,4,2
1548071811,4,0
1548073719,6,2
1548075800,9,14
1548076908,2,0
1548078135,2,4
1548079571,2,3
1548080915,4,0
1548081767,3,9
1548083685,10,5
1548084519,4,0
1548085359,1,7
1548086753,3,4
1548088055,4,0
1548089426,1,7
1548090872,4,11
1548092547,4,7
1548094467,2,4
1548095307,3,0
1548096155,4,5
1548097840,4,1
1548098909,1,0
1548100228,2,4
1548101446,3,4
1548102736,3,2
1548104237,6,4
1548105644,4,2
1548106948,10,4
1548108349,3,5
1548109528,2,0
1548111337,2,3
1548112545,2,0
1548114525,5,4
1548115838,1,5
1548117071,1,3
1548118589,3,0
1548119741,1,5
1548120508,3,0
1548122200,2,1
1548123344,1,2
1548124966,1,7
1548125789,4,0
1548126944,0,5
1548129394,2,6
1548130552,1,4
1548131312,1,0
1548132159,1,4
1548134077,4,2
1548135724,2,3
1548137684,5,6
1548140216,5,7
1548141340,3,1
1548142786,3,2
1548144951,8,5
1548148471,17,10
1548149967,9,3
1548151544,7,2
1548152789,4,0
1548154599,10,6
1548155748,8,2
1548156525,5,0
1548157364,2,10
1548158189,1,0
1548159282,3,3
1548160108,5,0
1548160967,1,3
1548162640,7,5
1548163728,7,0
1548164901,10,3
1548166467,10,4
1548167330,8,0
1548168157,4,1
1548168999,6,0
1548170144,2,3
1548171750,6,3
1548173151,8,4
1548174344,3,1
1548175356,4,4
1548177041,4,7
1548178550,2,6
1548179680,2,3
1548180948,0,3
1548181714,5,0
1548183412,4,5
1548184469,3,1
1548185317,4,0
1548186145,479,10
1548188070,180,211
1548188905,4,56
1548189755,1,84
1548191357,11,58
1548193347,10,85
1548194186,9,24
1548195265,7,24
1548196508,12,21
1548197742,6,28
1548198879,9,9
1548200557,10,30
1548201980,15,11
1548203500,6,13
1548204635,1,2
1548205849,7,8
1548206909,8,7
