DateTime,Entries,UniqueIPs
1547911705,8711,8711
1547912566,8709,8709
1547914482,8713,8713
1547915768,8714,8714
1547916936,8715,8715
1547918146,8717,8717
1547919747,8717,8717
1547921441,8718,8718
1547922507,8724,8724
1547924203,8729,8729
1547925279,8722,8722
1547927005,8720,8720
1547927805,8727,8727
1547928947,8729,8729
1547930483,8729,8729
1547931386,8731,8731
1547932473,8730,8730
1547933322,8732,8732
1547934939,8729,8729
1547936147,8731,8731
1547937291,8730,8730
1547937746,8729,8729
1547939448,8732,8732
1547940728,8733,8733
1547942206,8734,8734
1547943338,8736,8736
1547944965,8738,8738
1547945787,8741,8741
1547946883,8743,8743
1547948569,8742,8742
1547949388,8743,8743
1547951314,8744,8744
1547952156,8746,8746
1547954142,8743,8743
1547954918,8745,8745
1547956589,8749,8749
1547957682,8755,8755
1547959264,8753,8753
1547961044,8755,8755
1547962232,8753,8753
1547962950,8753,8753
1547964340,8754,8754
1547966070,8755,8755
1547968237,8758,8758
1547970147,8747,8747
1547971537,8744,8744
1547972914,8745,8745
1547973750,8737,8737
1547975443,8739,8739
1547977536,8744,8744
1547978742,8744,8744
1547980416,8742,8742
1547981735,8744,8744
1547982880,8741,8741
1547983722,8744,8744
1547984560,8744,8744
1547986477,8741,8741
1547987319,8742,8742
1547988943,8741,8741
1547990065,8742,8742
1547991358,8741,8741
1547992527,8743,8743
1547993746,8743,8743
1547995240,8742,8742
1547996541,8746,8746
1547998954,8737,8737
1548000095,8738,8738
1548001246,8741,8741
1548001718,8742,8742
1548004243,8735,8735
1548005443,8739,8739
1548006155,8739,8739
1548006985,8744,8744
1548008086,8740,8740
1548009637,8736,8736
1548011439,8735,8735
1548011683,8736,8736
1548013278,8732,8732
1548014184,8735,8735
1548015345,8729,8729
1548016120,8733,8733
1548017390,8735,8735
1548018634,8740,8740
1548019713,8742,8742
1548020546,8742,8742
1548021401,8743,8743
1548023316,8741,8741
1548025028,8739,8739
1548026147,8741,8741
1548026923,8743,8743
1548028527,8735,8735
1548029674,8738,8738
1548030943,8741,8741
1548033277,8742,8742
1548034887,8742,8742
1548036361,8742,8742
1548037810,8743,8743
1548039406,8746,8746
1548040547,8744,8744
1548041751,8743,8743
1548043141,8741,8741
1548044068,8743,8743
1548044917,8745,8745
1548046166,8747,8747
1548047670,8744,8744
1548049369,8748,8748
1548050188,8749,8749
1548051267,8751,8751
1548052535,8752,8752
1548054658,8752,8752
1548055709,8753,8753
1548057056,8752,8752
1548058488,8751,8751
1548059313,8752,8752
1548061849,8751,8751
1548063784,8758,8758
1548065449,8758,8758
1548067359,8760,8760
1548069266,8763,8763
1548070543,8765,8765
1548071811,8769,8769
1548073719,8773,8773
1548075800,8768,8768
1548076908,8770,8770
1548078135,8768,8768
1548079571,8767,8767
1548080915,8771,8771
1548081767,8765,8765
1548083685,8770,8770
1548084519,8774,8774
1548085359,8768,8768
1548086753,8767,8767
1548088055,8771,8771
1548089426,8765,8765
1548090872,8758,8758
1548092547,8755,8755
1548094467,8753,8753
1548095307,8756,8756
1548096155,8755,8755
1548097840,8758,8758
1548098909,8759,8759
1548100228,8757,8757
1548101446,8756,8756
1548102736,8757,8757
1548104237,8759,8759
1548105644,8761,8761
1548106948,8767,8767
1548108349,8765,8765
1548109528,8767,8767
1548111337,8766,8766
1548112545,8768,8768
1548114525,8769,8769
1548115838,8765,8765
1548117071,8763,8763
1548118589,8766,8766
1548119741,8762,8762
1548120508,8765,8765
1548122200,8766,8766
1548123344,8765,8765
1548124966,8759,8759
1548125789,8763,8763
1548126944,8758,8758
1548129394,8754,8754
1548130552,8751,8751
1548131312,8752,8752
1548132159,8749,8749
1548134077,8751,8751
1548135724,8750,8750
1548137684,8749,8749
1548140216,8747,8747
1548141340,8749,8749
1548142786,8750,8750
1548144951,8753,8753
1548148471,8760,8760
1548149967,8766,8766
1548151544,8771,8771
1548152789,8775,8775
1548154599,8779,8779
1548155748,8785,8785
1548156525,8790,8790
1548157364,8782,8782
1548158189,8783,8783
1548159282,8783,8783
1548160108,8788,8788
1548160967,8786,8786
1548162640,8788,8788
1548163728,8795,8795
1548164901,8802,8802
1548166467,8808,8808
1548167330,8816,8816
1548168157,8819,8819
1548168999,8825,8825
1548170144,8824,8824
1548171750,8827,8827
1548173151,8831,8831
1548174344,8833,8833
1548175356,8833,8833
1548177041,8830,8830
1548178550,8826,8826
1548179680,8825,8825
1548180948,8822,8822
1548181714,8827,8827
1548183412,8826,8826
1548184469,8828,8828
1548185317,8832,8832
1548186145,9301,9301
1548188070,9270,9270
1548188905,9218,9218
1548189755,9135,9135
1548191357,9088,9088
1548193347,9013,9013
1548194186,8998,8998
1548195265,8981,8981
1548196508,8972,8972
1548197742,8950,8950
1548198879,8950,8950
1548200557,8930,8930
1548201980,8934,8934
1548203500,8927,8927
1548204635,8926,8926
1548205849,8925,8925
1548206909,8926,8926
1548208586,8925,8925
1548209702,8924,8924
1548210506,8926,8926
1548211833,8921,8921
1548213049,8923,8923
1548214846,8924,8924
1548215790,8923,8923
1548216883,8913,8913
1548218557,8915,8915
1548219398,8916,8916
1548220555,8916,8916
1548222151,8912,8912
1548223000,8911,8911
1548224142,8909,8909
1548225345,8913,8913
1548226592,8919,8919
1548227750,8922,8922
1548228514,8926,8926
1548230188,8926,8926
1548231292,8919,8919
1548232109,8935,8935
1548232964,8933,8933
1548233811,8928,8928
1548234877,8930,8930
1548235721,8933,8933
1548236565,8932,8932
1548237403,8933,8933
1548238547,8929,8929
1548240166,8923,8923
1548242115,8928,8928
1548243762,8927,8927
1548244608,8929,8929
1548246532,8929,8929
1548247352,8926,8926
1548249270,8935,8935
1548250548,8931,8931
1548251753,8939,8939
1548252943,8938,8938
1548253709,8937,8937
1548254553,8929,8929
1548255985,8934,8934
1548257331,8928,8928
1548258166,8925,8925
1548260082,8925,8925
1548260923,8928,8928
1548261746,8925,8925
1548262599,8926,8926
1548263745,8934,8934
1548264928,8934,8934
1548265362,8932,8932
1548266753,8932,8932
1548268115,8947,8947
1548268947,8947,8947
1548270889,8942,8942
1548271721,8950,8950
1548273328,8948,8948
1548274465,8938,8938
1548275307,8943,8943
1548278084,8936,8936
1548279489,8924,8924
1548280599,8924,8924
1548281688,8928,8928
1548282507,8929,8929
1548283346,8941,8941
1548284187,8951,8951
1548285340,8959,8959
1548286890,8963,8963
1548288345,8959,8959
1548290126,8962,8962
1548290568,8962,8962
1548292093,8973,8973
1548293486,8967,8967
1548296068,8979,8979
1548297458,8978,8978
1548299440,8976,8976
1548300517,8977,8977
1548302141,8970,8970
1548303338,8976,8976
1548304901,8973,8973
1548306871,8979,8979
1548308458,8986,8986
1548309412,8991,8991
1548310549,8991,8991
1548311744,8984,8984
1548313013,8987,8987
1548314068,8980,8980
1548315433,8978,8978
1548316533,8988,8988
