DateTime,AddedIPs,RemovedIPs
1547932448,57,126
1547933295,78,0
1547934907,109,186
1547936108,55,79
1547937273,54,74
1547937727,34,49
1547939407,85,53
1547940708,45,175
1547942167,59,33
1547943309,55,93
1547944936,142,181
1547945768,44,0
1547946847,78,112
1547947687,46,1
1547948549,47,159
1547949368,51,0
1547950514,93,79
1547951288,48,0
1547952129,93,133
1547952967,42,0
1547954109,46,101
1547954888,29,0
1547956568,132,171
1547957648,56,121
1547958757,41,136
1547961008,108,125
1547962104,50,0
1547962928,25,182
1547964310,59,93
1547966040,94,115
1547968208,99,148
1547968449,7,0
1547970127,86,202
1547971509,55,158
1547972887,66,0
1547973728,106,211
1547975407,94,126
1547977509,147,187
1547978707,79,89
1547980375,108,146
1547981707,111,0
1547982848,78,183
1547983686,103,1
1547984535,57,149
1547986446,141,103
1547987287,88,1
1547988916,98,238
1547990047,117,99
1547991336,121,152
1547992507,88,1
1547993711,93,188
1547995210,202,133
1547996522,105,131
1547997247,45,0
1547998927,93,153
1548000057,69,350
1548001215,70,1
1548001687,30,0
1548004207,140,291
1548005419,78,219
1548006128,94,75
1548006966,79,0
1548008047,104,128
1548009619,118,159
1548011408,168,190
1548011647,13,0
1548013246,123,166
1548014167,98,0
1548015318,75,103
1548016095,61,0
1548017364,68,128
1548018608,186,100
1548019687,118,0
1548020527,61,143
1548021374,56,0
1548023287,119,124
1548025007,115,142
1548026109,56,64
1548026897,43,0
1548029646,141,303
1548030911,65,138
1548033247,132,126
1548034851,57,208
1548036325,71,78
1548037513,65,0
1548037696,9,0
1548039367,86,290
1548040510,67,127
1548041720,75,148
1548043068,73,0
1548044047,76,119
1548044897,53,0
1548046127,61,142
1548047649,106,65
1548049328,103,140
1548050167,58,0
1548051246,69,72
1548052509,73,98
1548054609,108,165
1548055688,50,1
1548057011,64,183
1548057369,39,0
1548058447,96,133
1548059289,53,2
1548061807,137,322
1548063737,144,177
1548065412,140,126
1548067332,149,146
1548069246,113,72
1548070512,92,135
1548071768,94,50
1548073688,140,119
1548075593,153,242
1548076820,85,4
1548078101,107,114
1548079526,96,70
1548080888,137,0
1548081731,63,119
1548083656,173,98
1548084487,86,1
1548085329,61,156
1548086716,64,66
1548088020,65,0
1548088088,2,0
1548089407,75,85
1548090847,109,96
1548091687,65,1
1548092528,76,169
1548094447,137,83
1548095287,64,0
1548096128,65,124
1548097809,166,78
1548098888,63,0
1548100207,143,137
1548101418,132,104
1548102708,126,148
1548104219,151,28
1548105617,92,100
1548106928,83,142
1548108309,106,86
1548109507,81,0
1548111308,142,100
1548112513,66,65
1548114504,124,172
1548115808,88,98
1548117048,65,108
1548118568,85,0
1548119709,83,146
1548120488,34,0
1548122168,94,216
1548123309,45,81
1548124929,105,146
1548125768,72,0
1548126909,131,133
1548127689,79,0
1548129369,121,84
1548130509,64,124
1548131288,67,2
1548132130,71,115
1548132968,44,0
1548134048,65,71
1548135675,129,162
1548136789,96,79
1548137657,35,9
1548138488,48,0
1548140172,94,114
1548141309,79,116
1548142747,117,88
1548144909,223,166
1548145688,281,4
1548148449,852,271
1548149943,619,147
1548151508,748,179
1548152746,514,3
1548154568,763,285
1548155720,403,169
1548156488,377,2
1548157328,354,254
1548158168,321,3
1548159248,481,109
1548160088,326,0
1548160928,353,147
1548162608,668,149
1548163695,409,1
1548164872,512,239
