DateTime,AddedIPs,RemovedIPs
1547922512,56,2
1547924208,47,59
1547925284,28,49
1547927010,23,80
1547927811,22,2
1547928952,35,20
1547930489,58,85
1547931390,19,1
1547932478,13,79
1547933327,45,2
1547934944,38,92
1547936157,7,37
1547937299,14,17
1547937752,18,12
1547939453,22,13
1547940735,11,116
1547942212,6,16
1547943345,10,47
1547944970,78,98
1547945793,3,3
1547946889,13,55
1547947713,14,1
1547948574,8,82
1547949394,23,2
1547950552,56,40
1547951320,19,1
1547952161,38,44
1547953001,22,1
1547954147,15,47
1547954923,5,1
1547956595,72,85
1547957687,13,75
1547959280,17,85
1547961050,26,27
1547962239,15,52
1547962955,3,33
1547964345,10,36
1547966075,38,33
1547968243,10,75
1547968489,0,1
1547970152,26,80
1547971543,6,92
1547972920,10,0
1547973755,64,68
1547975449,28,48
1547977542,51,82
1547978749,22,23
1547980425,31,92
1547981741,46,1
1547982884,27,86
1547983727,51,2
1547984564,14,37
1547986482,42,45
1547987324,53,0
1547988948,13,115
1547990070,28,34
1547991369,30,79
1547992532,29,3
1547993751,15,91
1547995244,69,45
1547996555,8,46
1547997271,9,1
1547998960,17,28
1548000101,14,111
1548001251,40,1
1548001723,15,1
1548004252,17,102
1548005449,15,124
1548006160,6,46
1548006990,2,4
1548008091,5,56
1548009642,27,81
1548011445,47,75
1548011688,4,0
1548013282,37,63
1548014189,43,1
1548015350,20,49
1548016125,17,3
1548017396,12,34
1548018640,92,57
1548019717,25,2
1548020551,10,58
1548021406,10,1
1548023321,28,39
1548025033,20,27
1548026153,9,10
1548026928,7,0
1548028532,11,98
1548029680,17,20
1548030954,9,65
1548033282,47,32
1548034893,9,119
1548036372,16,14
1548037816,22,158
1548039412,11,2
1548040553,10,69
1548041758,23,79
1548043147,12,53
1548044074,32,1
1548044923,21,0
1548046178,24,65
1548047676,40,9
1548049377,51,66
1548050194,24,0
1548051272,24,12
1548052542,12,18
1548054665,26,75
1548055715,9,1
1548057063,17,71
1548057400,29,0
1548058495,55,71
1548059319,20,0
1548061855,20,184
1548063790,59,107
1548065455,34,50
1548067365,42,43
1548069272,33,20
1548070548,34,39
1548071818,25,12
1548073725,39,39
1548075809,64,79
1548076915,34,3
1548078144,39,14
1548079580,40,13
1548080920,71,4
1548081774,11,12
1548083691,39,44
1548084525,40,1
1548085368,8,46
1548086760,15,18
1548088063,8,1
1548089431,15,20
1548090877,24,28
1548091712,20,1
1548092552,27,61
1548094473,27,33
1548095313,9,2
1548096159,16,32
1548097845,93,48
1548098914,29,2
1548100234,71,65
1548101451,45,32
1548102744,51,68
1548104243,49,7
1548105650,25,43
1548106953,11,26
1548108354,43,23
1548109534,48,1
1548111343,90,15
1548112550,16,4
1548114531,28,89
1548115843,34,6
1548117078,15,21
1548118594,16,2
1548119747,27,44
1548120513,4,2
1548122206,25,109
1548123351,15,29
1548124974,48,27
1548125795,34,1
1548126950,64,75
1548127728,28,1
1548129401,48,10
1548130559,28,37
1548131320,23,1
1548132166,24,23
1548132996,14,0
1548134083,29,8
1548135730,61,41
1548137689,59,7
1548138522,17,2
1548140223,36,19
1548141346,27,18
1548142796,32,11
1548144956,41,55
1548145715,93,1
1548148477,99,67
1548149979,35,19
1548151552,72,51
1548152800,30,1
1548154605,34,62
1548155755,42,43
1548156531,39,1
1548157370,33,67
1548158196,25,2
1548159287,45,13
1548160113,17,5
1548160973,34,45
1548162646,62,89
1548163734,27,3
1548164913,42,82
1548166473,22,7
1548167335,5,2
1548168163,7,31
1548169005,14,0
1548170150,6,13
1548171756,12,83
1548173162,19,15
1548174350,105,5
1548175361,11,27
1548177047,12,9
1548178555,12,16
1548179685,12,14
1548180954,37,22
1548181719,28,1
1548183417,31,36
1548184474,25,45
1548185323,10,2
1548186150,18,30
1548188074,57,84
1548188910,38,2
1548189761,36,58
1548191368,55,6
1548193352,27,22
1548194192,17,1
1548195271,16,24
1548196514,6,10
1548197747,59,5
1548198889,37,7
1548200563,21,42
1548201986,12,40
1548203510,18,8
1548204641,75,5
1548205855,13,10
1548206914,24,0
1548208592,7,32
1548209709,27,7
1548210511,5,2
1548211840,11,32
1548213055,19,10
1548214852,15,49
1548215798,24,2
1548216889,6,32
1548218563,61,30
1548219404,10,3
1548220561,20,51
1548222157,26,36
1548223005,12,0
1548224148,13,5
1548225351,27,18
1548226598,28,4
1548227756,10,89
1548228519,8,2
1548230194,15,57
1548231298,20,5
1548232115,21,2
1548232971,19,47
1548233816,14,3
1548234883,8,55
1548235727,5,3
1548236571,22,41
1548237410,62,2
1548238553,21,32
1548240173,94,38
1548242129,35,27
1548243769,49,37
1548244614,32,0
1548246537,19,47
1548247358,9,47
1548249276,34,41
1548250555,15,80
1548252951,114,46
1548253716,8,2
1548254558,8,64
1548256003,25,12
1548257337,17,4
1548258173,8,11
1548260087,34,32
1548260929,3,1
1548261751,2,32
1548262605,25,1
1548263758,42,33
1548264934,6,17
1548265367,2,5
1548266759,7,85
1548268120,66,0
1548268953,15,43
1548270895,42,102
1548271727,33,3
1548273334,16,75
1548274470,5,41
1548275313,8,1
1548278089,71,52
1548279499,24,70
1548280604,53,1
1548281694,47,71
1548282512,18,3
1548283351,19,27
1548284192,43,3
1548285348,25,22
1548286895,32,21
1548288350,6,15
1548290131,17,21
1548290574,9,2
1548292106,16,28
1548293493,15,25
1548296073,31,61
1548297466,22,125
1548299445,30,44
1548300523,30,5
1548302147,46,50
1548303347,20,25
1548304908,20,73
1548306878,16,62
1548308465,39,26
1548309419,11,2
1548310555,12,33
1548311750,13,50
1548313024,75,10
1548314074,9,30
1548315452,44,89
1548317689,22,81
1548319354,15,58
1548320673,54,99
1548321778,17,3
1548322129,4,2
1548323324,21,36
1548324654,31,29
1548325734,29,3
1548328477,47,133
1548329314,25,4
1548330160,31,110
1548331549,35,45
1548332736,31,3
1548333772,12,74
1548335454,27,22
1548336637,44,25
1548338152,102,6
1548339349,50,19
1548340475,29,9
1548341816,25,2
1548342895,29,13
1548344155,11,84
1548346480,34,23
1548347737,16,18
1548348162,7,9
1548349852,34,16
1548351237,48,68
1548352439,18,17
1548354528,40,21
1548356835,17,84
1548357936,21,1
1548358966,37,78
1548360886,28,64
1548362140,27,16
1548364471,69,32
1548365741,21,21
1548366161,2,3
1548368070,58,84
1548369765,22,30
1548371692,53,16
1548372512,14,1
1548375307,20,87
1548376900,88,23
1548377794,14,0
1548378949,19,10
1548380191,27,27
1548381411,23,3
1548382543,27,10
1548384115,19,24
1548386075,12,34
1548387588,43,56
1548388597,12,14
1548389683,23,17
1548391374,21,37
1548393274,115,19
1548394963,61,42
1548395791,4,2
1548396952,27,21
1548398559,31,21
1548400494,24,22
1548402101,18,82
1548403011,10,0
1548404085,27,16
1548405757,47,23
1548407685,39,85
1548409376,34,49
1548410195,14,0
1548411352,9,29
1548412970,9,44
1548414651,36,66
1548416552,141,13
1548418494,29,35
1548420100,25,28
