DateTime,Entries,UniqueIPs
1547922512,5772,5772
1547924208,5760,5760
1547925284,5739,5739
1547927010,5682,5682
1547927811,5702,5702
1547928952,5717,5717
1547930489,5690,5690
1547931390,5708,5708
1547932478,5642,5642
1547933327,5685,5685
1547934944,5631,5631
1547936157,5601,5601
1547937299,5598,5598
1547937752,5604,5604
1547939453,5613,5613
1547940735,5508,5508
1547942212,5498,5498
1547943345,5461,5461
1547944970,5441,5441
1547945793,5441,5441
1547946889,5399,5399
1547947713,5412,5412
1547948574,5338,5338
1547949394,5359,5359
1547950552,5375,5375
1547951320,5393,5393
1547952161,5387,5387
1547953001,5408,5408
1547954147,5376,5376
1547954923,5380,5380
1547956595,5367,5367
1547957687,5305,5305
1547959280,5237,5237
1547961050,5236,5236
1547962239,5199,5199
1547962955,5169,5169
1547964345,5143,5143
1547966075,5148,5148
1547968243,5083,5083
1547968489,5082,5082
1547970152,5028,5028
1547971543,4942,4942
1547972920,4952,4952
1547973755,4948,4948
1547975449,4928,4928
1547977542,4897,4897
1547978749,4896,4896
1547980425,4835,4835
1547981741,4880,4880
1547982884,4821,4821
1547983727,4870,4870
1547984564,4847,4847
1547986482,4844,4844
1547987324,4897,4897
1547988948,4795,4795
1547990070,4789,4789
1547991369,4740,4740
1547992532,4766,4766
1547993751,4690,4690
1547995244,4714,4714
1547996555,4676,4676
1547997271,4684,4684
1547998960,4673,4673
1548000101,4576,4576
1548001251,4615,4615
1548001723,4629,4629
1548004252,4544,4544
1548005449,4435,4435
1548006160,4395,4395
1548006990,4393,4393
1548008091,4342,4342
1548009642,4288,4288
1548011445,4260,4260
1548011688,4264,4264
1548013282,4238,4238
1548014189,4280,4280
1548015350,4251,4251
1548016125,4265,4265
1548017396,4243,4243
1548018640,4278,4278
1548019717,4301,4301
1548020551,4253,4253
1548021406,4262,4262
1548023321,4251,4251
1548025033,4244,4244
1548026153,4243,4243
1548026928,4250,4250
1548028532,4163,4163
1548029680,4160,4160
1548030954,4104,4104
1548033282,4119,4119
1548034893,4009,4009
1548036372,4011,4011
1548037816,3875,3875
1548039412,3884,3884
1548040553,3825,3825
1548041758,3769,3769
1548043147,3728,3728
1548044074,3759,3759
1548044923,3780,3780
1548046178,3739,3739
1548047676,3770,3770
1548049377,3755,3755
1548050194,3779,3779
1548051272,3791,3791
1548052542,3785,3785
1548054665,3736,3736
1548055715,3744,3744
1548057063,3690,3690
1548057400,3719,3719
1548058495,3703,3703
1548059319,3723,3723
1548061855,3559,3559
1548063790,3511,3511
1548065455,3495,3495
1548067365,3494,3494
1548069272,3507,3507
1548070548,3502,3502
1548071818,3515,3515
1548073725,3515,3515
1548075809,3500,3500
1548076915,3531,3531
1548078144,3556,3556
1548079580,3583,3583
1548080920,3650,3650
1548081774,3649,3649
1548083691,3644,3644
1548084525,3683,3683
1548085368,3645,3645
1548086760,3642,3642
1548088063,3649,3649
1548089431,3644,3644
1548090877,3640,3640
1548091712,3659,3659
1548092552,3625,3625
1548094473,3619,3619
1548095313,3626,3626
1548096159,3610,3610
1548097845,3655,3655
1548098914,3682,3682
1548100234,3688,3688
1548101451,3701,3701
1548102744,3684,3684
1548104243,3726,3726
1548105650,3708,3708
1548106953,3693,3693
1548108354,3713,3713
1548109534,3760,3760
1548111343,3835,3835
1548112550,3847,3847
1548114531,3786,3786
1548115843,3814,3814
1548117078,3808,3808
1548118594,3822,3822
1548119747,3805,3805
1548120513,3807,3807
1548122206,3723,3723
1548123351,3709,3709
1548124974,3730,3730
1548125795,3763,3763
1548126950,3752,3752
1548127728,3779,3779
1548129401,3817,3817
1548130559,3808,3808
1548131320,3830,3830
1548132166,3831,3831
1548132996,3845,3845
1548134083,3866,3866
1548135730,3886,3886
1548137689,3938,3938
1548138522,3953,3953
1548140223,3970,3970
1548141346,3979,3979
1548142796,4000,4000
1548144956,3986,3986
1548145715,4078,4078
1548148477,4110,4110
1548149979,4126,4126
1548151552,4147,4147
1548152800,4176,4176
1548154605,4148,4148
1548155755,4147,4147
1548156531,4185,4185
1548157370,4151,4151
1548158196,4174,4174
1548159287,4206,4206
1548160113,4218,4218
1548160973,4207,4207
1548162646,4180,4180
1548163734,4204,4204
1548164913,4164,4164
1548166473,4179,4179
1548167335,4182,4182
1548168163,4158,4158
1548169005,4172,4172
1548170150,4165,4165
1548171756,4094,4094
1548173162,4098,4098
1548174350,4198,4198
1548175361,4182,4182
1548177047,4185,4185
1548178555,4181,4181
1548179685,4179,4179
1548180954,4194,4194
1548181719,4221,4221
1548183417,4216,4216
1548184474,4196,4196
1548185323,4204,4204
1548186150,4192,4192
1548188074,4165,4165
1548188910,4201,4201
1548189761,4179,4179
1548191368,4228,4228
1548193352,4233,4233
1548194192,4249,4249
1548195271,4241,4241
1548196514,4237,4237
1548197747,4291,4291
1548198889,4321,4321
1548200563,4300,4300
1548201986,4272,4272
1548203510,4282,4282
1548204641,4352,4352
1548205855,4355,4355
1548206914,4379,4379
1548208592,4354,4354
1548209709,4374,4374
1548210511,4377,4377
1548211840,4356,4356
1548213055,4365,4365
1548214852,4331,4331
1548215798,4353,4353
1548216889,4327,4327
1548218563,4358,4358
1548219404,4365,4365
1548220561,4334,4334
1548222157,4324,4324
1548223005,4336,4336
1548224148,4344,4344
1548225351,4353,4353
1548226598,4377,4377
1548227756,4298,4298
1548228519,4304,4304
1548230194,4262,4262
1548231298,4277,4277
1548232115,4296,4296
1548232971,4268,4268
1548233816,4279,4279
1548234883,4232,4232
1548235727,4234,4234
1548236571,4215,4215
1548237410,4275,4275
1548238553,4264,4264
1548240173,4320,4320
1548242129,4328,4328
1548243769,4340,4340
1548244614,4372,4372
1548246537,4344,4344
1548247358,4306,4306
1548249276,4299,4299
1548250555,4234,4234
1548252951,4302,4302
1548253716,4308,4308
1548254558,4252,4252
1548256003,4265,4265
1548257337,4278,4278
1548258173,4275,4275
1548260087,4277,4277
1548260929,4279,4279
1548261751,4249,4249
1548262605,4273,4273
1548263758,4282,4282
1548264934,4271,4271
1548265367,4268,4268
1548266759,4190,4190
1548268120,4256,4256
1548268953,4228,4228
1548270895,4168,4168
1548271727,4198,4198
1548273334,4139,4139
1548274470,4103,4103
1548275313,4110,4110
1548278089,4129,4129
1548279499,4083,4083
1548280604,4135,4135
1548281694,4111,4111
1548282512,4126,4126
1548283351,4118,4118
1548284192,4158,4158
1548285348,4161,4161
1548286895,4172,4172
1548288350,4163,4163
1548290131,4159,4159
