DateTime,Entries,UniqueIPs
1547927798,22836,22836
1547928943,22858,22858
1547930476,22798,22798
1547931383,22822,22822
1547932471,22755,22755
1547933320,22820,22820
1547934932,22763,22763
1547936142,22736,22736
1547937289,22721,22721
1547937744,22721,22721
1547939445,22737,22737
1547940725,22616,22616
1547942204,22616,22616
1547943333,22564,22564
1547944963,22529,22529
1547945784,22546,22546
1547946880,22517,22517
1547947705,22547,22547
1547948566,22456,22456
1547949385,22485,22485
1547950541,22511,22511
1547951311,22537,22537
1547952153,22496,22496
1547952992,22527,22527
1547954137,22487,22487
1547954914,22501,22501
1547956586,22472,22472
1547957680,22403,22403
1547959254,22308,22308
1547961041,22310,22310
1547962225,22263,22263
1547962947,22222,22222
1547964336,22194,22194
1547966067,22199,22199
1547968234,22146,22146
1547968477,22152,22152
1547970144,22077,22077
1547971535,21991,21991
1547972912,22016,22016
1547973747,21983,21983
1547975440,21969,21969
1547977531,21945,21945
1547978734,21943,21943
1547980403,21892,21892
1547981732,21961,21961
1547982874,21867,21867
1547983716,21929,21929
1547984558,21879,21879
1547986471,21890,21890
1547987312,21964,21964
1547988941,21860,21860
1547990063,21864,21864
1547991353,21804,21804
1547992524,21847,21847
1547993742,21764,21764
1547995237,21800,21800
1547996538,21770,21770
1547997263,21796,21796
1547998952,21768,21768
1548000093,21486,21486
1548001243,21531,21531
1548001716,21559,21559
1548004238,21459,21459
1548005438,21338,21338
1548006152,21310,21310
1548006982,21326,21326
1548008080,21273,21273
1548009635,21215,21215
1548011437,21162,21162
1548011676,21168,21168
1548013275,21126,21126
1548014182,21195,21195
1548015342,21168,21168
1548016118,21204,21204
1548017388,21167,21167
1548018632,21188,21188
1548019710,21234,21234
1548020543,21143,21143
1548021399,21171,21171
1548023314,21153,21153
1548025025,21137,21137
1548026140,21130,21130
1548026921,21149,21149
1548028524,21041,21041
1548029672,21023,21023
1548030936,20953,20953
1548033274,20962,20962
1548034884,20823,20823
1548036356,20816,20816
1548037756,20861,20861
1548039397,20710,20710
1548040542,20648,20648
1548041749,20576,20576
1548043139,20532,20532
1548044066,20576,20576
1548044914,20611,20611
1548046155,20558,20558
1548047667,20583,20583
1548049365,20547,20547
1548050186,20585,20585
1548051264,20587,20587
1548052532,20582,20582
1548054648,20548,20548
1548055706,20569,20569
1548057053,20489,20489
1548057390,20521,20521
1548058480,20492,20492
1548059310,20517,20517
1548061844,20343,20343
1548063775,20299,20299
1548065441,20318,20318
1548067356,20324,20324
1548069263,20354,20354
1548070540,20333,20333
1548071808,20356,20356
1548073716,20386,20386
1548075795,20355,20355
1548076903,20409,20409
1548078137,20427,20427
1548079563,20456,20456
1548080913,20551,20551
1548081763,20544,20544
1548083683,20605,20605
1548084516,20671,20671
1548085354,20616,20616
1548086750,20620,20620
1548088044,20652,20652
1548088113,20654,20654
1548089423,20650,20650
1548090870,20671,20671
1548091704,20718,20718
1548092544,20672,20672
1548094464,20700,20700
1548095305,20735,20735
1548096153,20698,20698
1548097838,20769,20769
1548098906,20814,20814
1548100225,20821,20821
1548101444,20857,20857
1548102729,20847,20847
1548104234,20945,20945
1548105642,20920,20920
1548106945,20881,20881
1548108342,20902,20902
1548109525,20968,20968
1548111334,21026,21026
1548112540,21031,21031
1548114523,20996,20996
1548115835,21004,21004
1548117067,20966,20966
1548118586,21012,21012
1548119737,20981,20981
1548120505,20995,20995
1548122198,20899,20899
1548123339,20870,20870
1548124962,20846,20846
1548125787,20893,20893
1548126939,20904,20904
1548127719,20952,20952
1548129391,21000,21000
1548130544,20973,20973
1548131309,21015,21015
1548132154,20992,20992
1548132987,21017,21017
1548134074,21021,21021
1548135720,21000,21000
1548137682,21051,21051
1548138514,21085,21085
1548140208,21068,21068
1548141334,21049,21049
1548142781,21069,21069
1548144946,21130,21130
1548145707,21393,21393
1548148467,21980,21980
1548149962,22466,22466
1548151536,23071,23071
1548152784,23540,23540
1548154595,24098,24098
1548155746,24367,24367
1548156518,24717,24717
1548157362,24875,24875
1548158187,25166,25166
1548159279,25553,25553
1548160105,25850,25850
1548160959,26078,26078
1548162638,26590,26590
1548163725,26964,26964
1548164897,27298,27298
1548166465,27763,27763
1548167327,28049,28049
1548168154,28249,28249
1548168996,28541,28541
1548170141,28817,28817
1548171747,29249,29249
1548173143,29637,29637
1548174341,30079,30079
1548175353,30345,30345
1548177038,30764,30764
1548178547,31090,31090
1548179677,31384,31384
1548180943,31667,31667
1548181711,31860,31860
1548183410,32237,32237
1548184466,32437,32437
1548185315,32640,32640
1548186143,32808,32808
1548188068,33177,33177
1548188902,33417,33417
1548189753,33606,33606
1548191347,33983,33983
1548193344,34484,34484
1548194184,35035,35035
1548195263,35198,35198
1548196505,35631,35631
1548197735,36256,36256
1548198874,36678,36678
1548200554,36926,36926
1548201973,37063,37063
1548203490,37325,37325
1548204633,37591,37591
1548205846,37772,37772
1548206907,37937,37937
1548208583,38166,38166
1548209699,38292,38292
1548210503,38443,38443
1548211831,38543,38543
1548213046,38718,38718
1548214843,38867,38867
