DateTime,Entries,UniqueIPs
1547412055,70,70
1547417449,69,69
1547419908,71,71
1547421277,72,72
1547423013,70,70
1547425735,71,71
1547428281,72,72
1547432087,73,73
1547433950,73,73
1547435697,73,73
1547441440,74,74
1547442879,72,72
1547444583,70,70
1547448067,70,70
1547449435,71,71
1547452560,73,73
1547453701,72,72
1547456155,73,73
1547457361,75,75
1547459876,76,76
1547462492,76,76
1547465334,75,75
1547468081,75,75
1547471451,75,75
1547476140,76,76
1547477794,75,75
1547480564,74,74
1547484154,75,75
1547485003,76,76
1547486073,76,76
1547486927,76,76
1547487754,76,76
1547488604,77,77
1547489747,76,76
1547492140,75,75
1547496345,76,76
1547497533,78,78
1547498751,79,79
1547500251,79,79
1547502158,82,82
1547504153,83,83
1547505328,81,81
1547505767,82,82
1547507683,84,84
1547509375,83,83
1547510765,82,82
1547513802,84,84
1547516567,85,85
1547517958,84,84
1547519845,82,82
1547520949,83,83
1547522152,82,82
1547525171,82,82
1547527376,83,83
1547533636,83,83
1547537320,82,82
1547538998,83,83
1547540095,84,84
1547541393,85,85
1547542618,84,84
1547543769,87,87
1547546162,88,88
1547547363,87,87
1547548886,86,86
1547550453,85,85
1547553400,87,87
1547554841,86,86
1547555318,85,85
1547557016,86,86
1547558086,87,87
1547559660,91,91
1547561690,93,93
1547562534,92,92
1547564137,93,93
1547566508,92,92
1547567803,91,91
1547569720,90,90
1547572475,91,91
1547574955,92,92
1547576155,91,91
1547578601,91,91
1547579678,89,89
1547580934,90,90
1547583288,91,91
1547584968,91,91
1547586246,90,90
1547588475,89,89
1547590486,87,87
1547591733,90,90
1547593728,91,91
1547594940,92,92
1547596604,93,93
1547597757,93,93
1547599187,94,94
1547602134,95,95
1547603816,94,94
1547604943,95,95
1547606567,96,96
1547609327,95,95
1547615692,102,102
1547619296,104,104
1547621344,105,105
1547626489,103,103
1547629514,99,99
1547632602,99,99
1547637277,100,100
1547642557,100,100
1547643416,102,102
1547644564,103,103
1547645696,102,102
1547649757,103,103
1547651295,102,102
1547654196,105,105
1547655292,104,104
1547656955,102,102
1547658890,102,102
1547662474,101,101
1547663700,102,102
1547664954,103,103
1547667778,101,101
1547671370,100,100
1547673351,101,101
1547674954,101,101
1547680252,102,102
1547682640,102,102
1547683874,102,102
1547688515,104,104
1547689838,105,105
1547692539,106,106
1547694906,106,106
1547698485,107,107
1547708204,108,108
1547710887,107,107
1547715341,106,106
1547719022,108,108
1547720925,106,106
1547723777,108,108
1547725377,108,108
1547726798,106,106
1547728304,108,108
1547728971,109,109
1547730897,108,108
1547732579,109,109
1547734485,110,110
1547737071,111,111
1547739756,110,110
1547740917,107,107
1547743388,108,108
1547749721,107,107
1547753873,108,108
1547754993,109,109
1547756143,111,111
1547758121,111,111
1547761360,109,109
1547763272,106,106
1547764895,104,104
1547766874,105,105
1547768574,103,103
1547770495,104,104
1547772154,105,105
1547775651,104,104
1547777691,105,105
1547779380,106,106
1547780700,107,107
1547783798,108,108
1547785735,107,107
1547788487,106,106
1547792092,105,105
1547800907,106,106
1547804570,105,105
1547806556,104,104
1547808994,105,105
1547810150,104,104
1547811318,103,103
1547813755,103,103
1547815381,106,106
1547819006,105,105
1547820953,106,106
1547822155,107,107
1547823435,107,107
1547824498,106,106
1547825333,107,107
1547829451,106,106
1547832969,105,105
1547834134,107,107
1547835282,107,107
1547840561,106,106
1547845009,104,104
1547846070,105,105
1547847341,106,106
1547849750,107,107
1547853288,105,105
1547855515,104,104
1547856663,106,106
1547858498,105,105
1547860557,106,106
1547861747,105,105
1547862153,106,106
1547864079,104,104
1547865343,101,101
1547866615,102,102
1547869269,103,103
1547870391,104,104
1547872559,106,106
1547872959,107,107
1547876577,108,108
1547878491,108,108
1547880088,109,109
1547882091,109,109
1547885687,108,108
1547887440,108,108
1547889055,108,108
1547892398,107,107
1547893723,108,108
1547896472,107,107
1547898074,108,108
1547900332,109,109
1547901680,106,106
1547912572,105,105
1547915796,106,106
1547924210,106,106
1547925286,105,105
1547927044,104,104
1547928956,104,104
1547931392,105,105
1547934946,105,105
1547937306,106,106
1547937754,105,105
1547940749,105,105
1547946890,104,104
1547948576,104,104
1547949396,105,105
1547953002,106,106
1547954150,105,105
1547956597,107,107
1547959296,106,106
1547961053,108,108
1547962248,109,109
1547966095,110,110
1547970154,110,110
1547977545,110,110
1547978751,109,109
1547984566,108,108
1547988950,108,108
1547990072,109,109
1547991369,108,108
1547995246,109,109
1547996570,109,109
1547997273,109,109
1547998962,108,108
1548004255,107,107
1548009645,108,108
1548011447,110,110
1548017397,108,108
1548020553,109,109
1548023322,110,110
1548025035,111,111
1548026156,110,110
1548030955,109,109
1548033284,108,108
1548034895,106,106
1548036381,107,107
1548037818,108,108
1548039414,109,109
1548040555,108,108
1548043148,106,106
1548044076,107,107
1548046185,105,105
1548049383,104,104
1548057066,98,98
1548061857,97,97
1548063803,97,97
1548067370,95,95
1548069274,96,96
1548070549,98,98
1548073728,100,100
1548075817,98,98
1548078146,97,97
1548079586,98,98
1548081775,97,97
1548083693,98,98
1548085371,97,97
1548086763,98,98
1548090879,97,97
1548092554,104,104
1548094474,107,107
1548095314,108,108
1548096161,109,109
1548097847,109,109
1548101453,109,109
1548104245,116,116
1548105652,116,116
1548106955,114,114
1548108356,112,112
1548109536,113,113
1548111345,114,114
1548112552,115,115
1548118596,116,116
1548119755,114,114
1548122207,116,116
1548123353,115,115
1548124980,116,116
1548125797,117,117
1548127729,118,118
1548129403,117,117
1548130562,122,122
1548131322,124,124
1548132173,123,123
1548132998,124,124
1548140225,125,125
1548141359,124,124
1548148479,126,126
1548149982,127,127
1548151556,129,129
1548157372,129,129
1548158198,128,128
1548162649,127,127
1548163736,128,128
1548164920,127,127
1548166475,128,128
1548168165,127,127
1548170153,126,126
1548171758,125,125
1548173164,126,126
1548181721,125,125
1548183419,126,126
1548186152,123,123
1548188076,126,126
1548189762,127,127
1548191370,126,126
1548193354,126,126
1548195273,125,125
1548197749,125,125
1548198892,125,125
1548200565,127,127
1548201988,128,128
1548208594,126,126
1548209730,127,127
1548210513,128,128
1548211842,127,127
1548213057,127,127
1548225353,126,126
1548227758,126,126
1548228521,127,127
1548230196,125,125
1548232973,124,124
1548240175,123,123
1548243771,122,122
1548244617,123,123
1548246539,125,125
1548249278,125,125
1548250557,125,125
1548252954,126,126
1548254559,126,126
1548260089,128,128
1548260931,129,129
1548263761,130,130
1548264936,128,128
1548268122,129,129
1548268955,128,128
1548270897,129,129
1548271729,130,130
1548273336,129,129
1548274472,131,131
1548278090,132,132
1548279503,134,134
1548280606,136,136
1548281696,135,135
1548283353,133,133
1548284194,134,134
1548285350,133,133
1548288352,132,132
1548292108,132,132
1548293500,130,130
1548296076,129,129
1548297468,132,132
1548299447,135,135
1548300525,138,138
1548303348,137,137
1548304910,139,139
1548306879,140,140
1548308467,141,141
1548309421,142,142
1548310557,141,141
1548311752,140,140
1548313027,141,141
1548317692,142,142
1548319356,140,140
1548320685,139,139
1548321780,140,140
1548324656,141,141
1548325736,140,140
1548328479,140,140
1548331552,141,141
1548332739,142,142
1548333774,141,141
1548336642,144,144
1548338154,148,148
1548342897,148,148
1548346481,148,148
1548348164,148,148
1548351242,149,149
1548356849,149,149
1548358207,148,148
1548358967,149,149
1548360888,148,148
1548362142,149,149
1548365743,149,149
1548366163,148,148
1548368072,148,148
1548369767,149,149
1548371694,150,150
1548372513,152,152
1548375319,153,153
1548380192,151,151
1548382545,152,152
1548384117,152,152
1548386077,153,153
1548388599,154,154
1548391376,155,155
1548393276,156,156
1548394965,157,157
1548396955,158,158
1548398561,156,156
1548402103,155,155
1548407687,155,155
1548409378,155,155
1548411354,156,156
1548414653,157,157
1548416553,154,154
1548418496,153,153
1548420102,150,150
1548420999,151,151
1548423710,149,149
1548424598,150,150
1548429360,149,149
1548430973,148,148
1548433720,151,151
1548435202,152,152
1548436558,151,151
1548437736,149,149
1548439548,147,147
1548440747,148,148
1548442590,143,143
1548443670,144,144
1548445849,143,143
1548447308,140,140
1548448121,141,141
1548449769,137,137
1548450949,135,135
1548452132,136,136
1548453345,136,136
1548454471,135,135
1548455732,137,137
1548456950,139,139
1548461674,138,138
1548463354,137,137
1548465059,135,135
1548467625,132,132
1548470554,127,127
1548474155,125,125
1548479693,126,126
1548482517,125,125
1548484966,123,123
1548488563,124,124
1548492638,123,123
1548498683,122,122
1548501286,120,120
1548502498,119,119
1548503802,120,120
1548505722,120,120
1548507409,119,119
1548515447,118,118
1548517353,117,117
1548519344,118,118
1548520535,119,119
1548521771,118,118
1548524552,120,120
1548526471,122,122
1548528552,123,123
1548531766,123,123
1548532957,122,122
1548534512,124,124
1548538979,122,122
1548541712,121,121
1548543383,117,117
1548544550,116,116
1548546344,115,115
1548548089,116,116
1548551454,115,115
1548552514,116,116
1548553907,115,115
1548556968,116,116
1548558881,115,115
1548560573,116,116
1548562560,115,115
1548564191,114,114
1548565862,117,117
1548567056,118,118
1548568547,120,120
