DateTime,AddedIPs,RemovedIPs
1547926993,34,42
1547927787,12,1
1547928932,16,23
1547930463,26,37
1547931378,24,2
1547932462,21,22
1547933309,13,1
1547934920,28,51
1547936122,23,19
1547937283,21,27
1547937738,8,19
1547939428,31,20
1547940719,23,31
1547942184,27,5
1547943325,31,20
1547944957,31,41
1547945779,19,2
1547946865,26,33
1547947699,16,4
1547948560,19,33
1547949380,19,0
1547950530,20,29
1547951301,22,3
1547952141,50,41
1547952982,10,3
1547954126,15,25
1547954903,9,2
1547956580,26,36
1547957663,23,23
1547958769,21,35
1547961029,38,38
1547962217,17,31
1547962940,10,8
1547964325,22,29
1547966056,23,53
1547968224,31,34
1547968461,2,1
1547970138,28,61
1547971524,19,37
1547972901,32,0
1547973741,20,79
1547975429,24,43
1547977523,41,60
1547978723,28,30
1547980388,36,22
1547981721,33,0
1547982860,33,39
1547983704,39,2
1547984553,22,59
1547986458,62,33
1547987300,8,1
1547988930,36,69
1547990058,54,40
1547991348,67,39
1547992518,44,2
1547993726,44,55
1547995223,78,42
1547996533,51,51
1547997258,20,3
1547998941,52,61
1548000083,29,23
1548001234,20,1
1548001706,5,5
1548004228,58,96
1548005432,27,47
1548006143,56,9
1548006977,58,1
1548008060,67,33
1548009630,57,35
1548011427,85,52
1548011661,6,1
1548013265,54,48
1548014177,25,2
1548015332,19,24
1548016109,21,3
1548017378,31,55
1548018627,76,18
1548019700,73,5
1548020538,52,41
1548021388,28,2
1548023304,48,34
1548025019,49,59
1548026126,23,29
1548026909,19,1
1548028518,42,61
1548029662,23,33
1548030930,26,25
1548033264,55,50
1548034870,32,39
1548036345,20,24
1548037720,26,5
1548039386,32,91
1548040530,31,27
1548041742,20,22
1548043082,29,1
1548044060,20,28
1548044909,12,2
1548046139,17,37
1548047661,36,25
1548049349,24,32
1548050180,13,0
1548051257,18,31
1548052524,21,42
1548054632,28,51
1548055700,20,1
1548057035,25,49
1548057384,8,0
1548058463,22,30
1548059303,23,1
1548061825,56,67
1548063760,37,34
1548065427,36,40
1548067347,31,42
1548069257,33,26
1548070526,27,49
1548071791,27,13
1548073704,34,50
1548075606,39,72
1548076856,22,4
1548078125,33,56
1548079546,28,30
1548080903,33,1
1548081752,18,55
1548083672,34,29
1548084504,15,2
1548085345,23,51
1548086732,17,20
1548088031,27,1
1548089418,28,28
1548090860,29,30
1548091699,20,2
1548092539,10,54
1548094458,40,20
1548095300,26,2
1548096143,21,32
1548097824,30,18
1548098901,17,0
1548100219,32,31
1548101433,33,36
1548102719,21,32
1548104228,27,12
1548105637,41,26
1548106940,27,48
1548108329,26,20
1548109519,12,2
1548111323,26,37
1548112530,21,22
1548114517,37,51
1548115823,26,37
1548117060,26,32
1548118580,30,1
1548119725,19,46
1548120500,13,0
1548122183,28,63
1548123326,18,24
1548124952,32,33
1548125781,13,1
1548126927,19,25
1548127708,24,3
1548129383,23,36
1548130526,15,47
1548131302,16,2
1548132145,19,30
1548132981,17,1
1548134064,18,29
1548135704,24,34
1548137673,25,30
