DateTime,AddedIPs,RemovedIPs
1547415385,29,22
1547421401,23,86
1547423298,15,27
1547425245,29,22
1547427140,21,0
1547431228,28,57
1547433146,34,21
1547435058,23,29
1547436968,28,27
1547439177,20,18
1547441098,14,21
1547443006,21,31
1547447077,33,61
1547448994,22,26
1547450917,25,27
1547453079,22,0
1547455216,24,27
1547457161,11,27
1547459074,18,12
1547461241,7,0
1547465289,7,18
1547467216,12,10
1547469160,20,28
1547472979,16,60
1547474918,15,36
1547478997,18,32
1547480907,34,27
1547486658,22,69
1547488609,27,27
1547490492,33,20
1547492455,6,31
1547494356,4,37
1547496253,14,0
1547498190,6,28
1547500359,13,32
1547502259,28,39
1547504436,22,0
1547508281,22,18
1547512354,9,55
1547514253,5,25
1547518362,19,26
1547520248,23,25
1547522169,18,37
1547524091,10,24
1547526260,30,23
1547528187,15,20
1547530360,14,37
1547532257,18,0
1547534439,22,44
1547536361,25,34
1547538252,32,37
1547540167,22,20
1547542186,28,29
1547544278,32,10
1547546170,16,22
1547548357,10,9
1547552433,19,10
1547554331,11,12
1547556256,35,15
1547560113,38,17
1547563947,23,20
1547565898,35,21
1547567789,8,30
1547569938,19,0
1547572103,9,0
1547574013,8,24
1547576182,14,28
1547580261,25,40
1547582195,15,7
1547584338,11,17
1547588420,15,24
1547590361,15,31
1547592254,16,19
1547594446,17,0
1547596335,12,21
1547598279,30,0
1547600190,14,10
1547602093,24,5
1547604073,14,0
1547605942,10,16
1547607858,12,23
1547609771,11,21
1547611961,14,12
1547613854,29,33
1547617965,10,27
1547619853,36,17
1547623693,23,46
1547625636,18,34
1547627549,24,24
1547631374,12,60
1547633316,18,15
1547635476,9,11
1547637625,8,0
1547641481,8,26
1547643393,17,30
1547645561,35,0
1547647484,21,41
1547649639,28,0
1547651559,39,17
1547653455,26,37
1547655383,22,7
1547659477,37,31
1547661370,11,9
1547663550,13,11
1547665457,14,0
1547667406,16,25
1547669540,15,13
1547671471,21,15
1547675317,14,10
1547677236,16,15
1547681564,14,31
1547683483,12,12
1547685370,3,28
1547687544,17,16
1547689698,21,24
1547691612,26,12
1547693533,8,9
1547695469,24,14
1547699536,25,26
1547701463,16,32
1547703397,19,0
1547707474,31,47
1547709402,22,0
1547711294,31,24
1547713223,40,14
1547715159,23,22
1547717051,32,0
1547718969,18,16
1547721173,7,18
1547724991,17,18
1547727158,30,0
1547729050,36,8
1547730982,35,18
1547733134,21,33
1547736988,28,46
1547738888,38,31
1547740817,18,29
1547744656,24,23
1547746837,10,38
1547748760,29,10
1547750656,24,13
1547752838,36,14
1547754758,20,11
1547756673,30,15
1547758565,18,17
1547762421,19,21
1547764329,12,15
1547766276,15,0
1547768191,14,13
1547772032,10,19
1547774191,17,14
1547776096,28,0
1547779958,17,56
1547783769,30,22
1547785938,27,18
1547787883,30,16
1547791940,28,20
1547793849,37,0
1547795793,21,20
1547799643,3,100
1547801559,8,24
1547803811,11,30
1547805627,22,21
1547807542,3,0
1547809481,10,5
1547811389,38,0
1547813543,44,19
1547815453,53,68
1547817375,30,0
1547819559,27,61
1547821479,33,0
1547823368,15,0
1547825560,6,67
1547827479,10,20
1547829619,27,0
1547831542,14,19
1547833475,33,7
1547837311,33,50
1547841133,25,35
1547843079,25,50
1547844971,20,13
1547847140,21,0
1547849058,10,20
1547850975,14,9
1547853178,17,12
1547856973,31,17
1547861073,22,22
1547862967,35,29
1547865161,25,0
1547867077,20,22
1547868971,27,0
1547871152,28,28
1547875003,30,59
1547878823,33,31
1547880759,26,34
1547882699,39,23
1547884835,27,0
1547890912,24,25
1547892761,13,15
1547894675,8,2
1547896577,10,8
1547898495,21,37
1547902338,20,98
1547904251,39,38
1547906193,33,28
1547908342,28,32
1547910279,14,10
1547912199,35,11
1547914646,37,7
1547916752,23,25
1547918652,35,15
1547920836,24,35
1547922736,13,0
1547926572,24,31
1547928759,21,19
1547930652,25,23
1547932595,33,17
1547934758,17,21
1547936650,29,9
1547938850,21,16
1547940737,26,16
1547942685,30,0
1547946497,19,26
1547948443,18,19
1547950337,22,31
1547952255,29,27
1547954172,25,19
1547956090,25,27
1547958032,25,33
1547959938,28,0
1547961852,34,25
1547963789,17,0
1547965690,33,28
1547967625,16,27
1547970495,35,33
1547972423,26,28
1547974328,24,0
1547976280,21,0
1547978168,23,24
1547980093,5,15
1547982101,5,9
1547983948,9,11
1547985873,11,20
1547987769,19,0
1547989689,19,17
1547991639,25,35
1547993535,33,37
1547995721,23,26
1547999562,16,49
1548003375,26,64
1548005560,23,34
1548007475,20,22
1548009367,15,10
1548011560,29,0
1548013447,8,22
1548015639,6,17
1548017534,11,23
1548019447,9,33
1548021370,13,17
1548023543,25,31
1548025453,22,24
1548027390,15,28
1548029341,19,26
1548031232,16,0
1548033426,13,21
1548039131,27,73
1548041088,20,23
1548044905,25,58
1548046824,8,31
1548048732,14,33
1548050674,16,22
1548052568,27,32
1548054740,16,19
1548056655,34,0
1548058597,11,32
1548060755,17,45
1548062647,23,0
1548064585,14,51
