DateTime,Entries,UniqueIPs
1547415385,18320,18702
1547421401,18300,18683
1547423298,18302,18685
1547425245,18304,18688
1547427140,18306,18689
1547431228,18294,18677
1547433146,18295,18678
1547435058,18294,18677
1547436968,18293,18676
1547439177,18299,18682
1547441098,18293,18675
1547443006,18293,18676
1547447077,18300,18683
1547448994,18308,18691
1547450917,18308,18690
1547453079,18303,18685
1547455216,18311,18692
1547457161,18303,18685
1547459074,18299,18678
1547461241,18294,18672
1547465289,18269,18647
1547467216,18259,18637
1547469160,18259,18637
1547472979,18232,18608
1547474918,18223,18600
1547478997,18210,18587
1547480907,18211,18588
1547486658,18182,18559
1547488609,18182,18559
1547490492,18181,18558
1547492455,18171,18545
1547494356,18165,18539
1547496253,18148,18522
1547498190,18138,18512
1547500359,18132,18505
1547502259,18124,18496
1547504436,18132,18504
1547508281,18121,18493
1547512354,18093,18463
1547514253,18078,18446
1547518362,18060,18427
1547520248,18055,18421
1547522169,18049,18416
1547524091,18043,18410
1547526260,18040,18407
1547528187,18031,18399
1547530360,18036,18404
1547532257,18031,18399
1547534439,18016,18385
1547536361,18023,18390
1547538252,18042,18409
1547540167,18038,18405
1547542186,18021,18388
1547544278,18017,18385
1547546170,18009,18377
1547548357,18003,18371
1547552433,17980,18347
1547554331,17966,18333
1547556256,17973,18340
1547560113,17986,18354
1547563947,17964,18333
1547565898,17962,18333
1547567789,17951,18322
1547569938,17938,18309
1547572103,17920,18291
1547574013,17910,18281
1547576182,17903,18274
1547580261,17887,18259
1547582195,17887,18259
1547584338,17875,18246
1547588420,17835,18204
1547590361,17834,18203
1547592254,17839,18208
1547594446,17827,18196
1547596335,17834,18203
1547598279,17819,18186
1547600190,17826,18193
1547602093,17820,18187
1547604073,17813,18179
1547605942,17805,18171
1547607858,17807,18173
1547609771,17798,18163
1547611961,17774,18138
1547613854,17777,18141
1547617965,17751,18115
1547619853,17757,18121
1547623693,17750,18114
1547625636,17744,18108
1547627549,17737,18102
1547631374,17709,18074
1547633316,17705,18069
1547635476,17697,18061
1547637625,17688,18053
1547641481,17656,18021
1547643393,17644,18008
1547645561,17647,18011
1547647484,17649,18013
1547649639,17641,18004
1547651559,17662,18025
1547653455,17657,18021
1547655383,17654,18019
1547659477,17652,18016
1547661370,17637,17999
1547663550,17621,17983
1547665457,17607,17968
1547667406,17593,17955
1547669540,17595,17957
1547671471,17584,17946
1547675317,17563,17925
1547677236,17559,17920
1547681564,17543,17903
1547683483,17541,17901
1547685370,17533,17893
1547687544,17530,17890
1547689698,17534,17894
1547691612,17529,17889
1547693533,17513,17873
1547695469,17510,17870
1547699536,17493,17852
1547701463,17489,17848
1547703397,17485,17844
1547707474,17455,17814
1547709402,17435,17793
1547711294,17451,17809
1547713223,17455,17813
1547715159,17447,17805
1547717051,17463,17821
1547718969,17461,17819
1547721173,17432,17789
1547724991,17441,17800
1547727158,17451,17810
1547729050,17450,17809
1547730982,17460,17819
1547733134,17450,17808
1547736988,17440,17798
1547738888,17457,17815
1547740817,17460,17818
1547744656,17446,17805
1547746837,17429,17788
1547748760,17433,17792
1547750656,17445,17805
1547752838,17449,17810
1547754758,17447,17808
1547756673,17447,17807
1547758565,17452,17812
1547762421,17440,17800
1547764329,17439,17798
1547766276,17427,17786
1547768191,17421,17779
1547772032,17418,17777
1547774191,17413,17772
1547776096,17414,17774
1547779958,17405,17765
1547783769,17397,17758
1547785938,17401,17762
