DateTime,AddedIPs,RemovedIPs
1548043515,43,0
1548044717,25,0
1548045615,2,0
1548046515,3,0
1548047716,18,0
1548048316,92,0
1548048617,16,0
1548050115,6,0
1548051015,1,0
1548052515,1,0
1548053715,17,0
1548054615,5,0
1548055215,2,0
1548056416,3,0
1548057017,2,0
1548057915,2,0
1548059716,39,0
1548060616,10,0
1548061815,3,0
1548062716,2,0
1548063617,2,0
1548064515,3,0
1548065115,1,0
1548066616,1,0
1548067215,29,0
1548069015,2,0
1548069616,12,0
1548070816,11,0
1548071715,3,0
1548072317,2,0
1548072616,1,0
1548073815,1,0
1548074415,3,0
1548074716,0,1
1548075315,49,1
1548076215,2,0
1548077416,1,0
1548078915,5,0
1548081616,28,4
1548082516,7,0
1548083415,4,0
1548085214,2,0
1548087015,3,0
1548087615,1,0
1548088515,38,0
1548089415,3,0
1548090314,2,0
1548092416,2,0
1548093315,2,0
1548093914,3,0
1548095117,3,0
1548096015,157,1
1548096615,5,0
1548099018,2,0
1548099616,1,0
1548100815,2,0
1548101715,6,0
1548102015,3,0
1548102618,29,0
1548103215,5,0
1548103816,1,0
1548105917,2,0
1548109215,1,0
1548110115,5,0
1548111315,6,0
1548113116,1,0
1548114016,70,0
1548114616,5,0
1548115815,2,0
1548117615,1,0
1548118216,33,0
1548119416,3,0
1548121816,1,0
1548122715,79,0
1548124816,18,0
1548125715,1,0
1548127515,2,0
1548128418,1,0
1548130215,4,0
1548130815,6,0
1548132016,17,0
1548132915,4,0
1548134415,11,0
1548134716,74,1
1548135016,13,0
1548135315,28,0
1548135616,25,0
1548136515,1,0
1548137716,1,0
1548139216,1,0
1548140114,68,0
1548140716,1,0
1548141918,2,0
1548143715,1,0
1548144615,3,0
1548145516,1,0
1548146415,19,0
1548147017,1,0
1548149415,3,0
1548150016,1,0
1548150616,0,1
1548150915,2,0
1548151515,4,0
1548152415,1,0
1548153616,18,0
1548154217,1,0
1548155116,2,0
1548158115,2,0
1548159016,3,0
1548159916,1,0
1548161416,19,0
1548162916,3,0
1548164416,1,0
1548165016,2,0
1548166215,1,0
1548168016,1,0
1548168922,25,0
1548169515,84,0
1548169816,29,0
1548170415,19,0
1548171315,17,0
1548172216,23,0
1548173116,2,0
1548173416,0,5
1548174017,2,1
1548175217,3,0
1548175816,6,0
1548177916,1,0
1548178816,4,0
1548182115,32,0
1548183016,1,0
1548184216,15,0
1548186016,1,0
1548186915,10,0
1548187815,9,0
1548189315,37,0
1548189616,39,0
1548190515,24,0
1548190818,1,0
1548191415,6,0
1548192315,3,0
1548195016,1,0
1548196817,72,0
1548198616,1,0
1548200115,2,0
1548201316,4,0
1548201915,40,0
1548203116,2,0
1548204015,54,0
1548204615,32,0
1548206717,40,0
1548207615,3,0
1548209715,2,0
1548211215,27,0
1548212115,9,0
1548212717,3,0
1548214216,330,0
1548214515,4,0
1548215715,2,0
1548216615,1,0
1548217817,1,0
1548218416,54,0
1548219314,6,0
1548220215,4,0
1548220816,30,0
1548221416,94,0
1548222015,34,0
1548225015,7,0
1548225616,17,0
1548226515,9,0
1548227415,4,0
1548228015,6,0
1548229515,76,0
1548230115,6,0
1548232217,1,0
1548232815,28,0
1548233715,8,0
1548234315,4,0
1548235816,3,0
1548236415,2,0
1548237316,2,0
1548239416,1,0
1548240015,38,0
1548240915,3,0
1548241816,2,0
1548242416,10,0
1548243616,1,0
1548244515,9,0
1548245415,2,0
1548247216,1,0
1548248115,35,0
1548250216,4,0
1548250816,3,0
1548252615,1,0
1548254416,32,0
1548254717,97,0
1548255315,13,0
1548256515,266,6
1548258017,34,0
1548258915,6,0
1548259217,1,0
1548259515,1,0
1548260717,30,0
1548261315,36,0
1548262516,1,0
1548263417,3,0
1548264017,11,0
1548265217,19,0
1548265815,1,0
1548267015,3,0
1548268817,43,0
1548269416,2,0
1548270616,2,0
1548271818,5,0
1548272116,5,0
1548273316,11,0
1548274216,1,0
1548275417,1,0
1548276017,3,0
1548276915,3,0
1548278716,143,0
1548279017,86,0
1548281417,30,0
1548282016,2,0
1548283216,3,0
1548283818,1,0
1548284717,817,0
1548285316,1,0
1548285916,1,0
1548286816,6,0
1548288017,1,0
1548289517,1,0
1548290416,3,0
1548291016,1,0
1548292816,1,0
1548293715,1,0
1548294618,1,0
1548297617,3,0
1548298817,107,0
1548299715,6,0
1548300315,2,0
1548301215,3,0
1548302115,2,0
1548303016,3,0
1548304216,3,0
1548304816,44,0
1548305715,3,0
1548306616,4,0
1548307516,67,0
1548307818,25,0
1548308416,10,0
1548309016,2,0
1548310218,2,0
1548311715,31,0
1548313217,4,0
1548314116,41,0
1548315016,2,0
1548315615,5,0
1548316516,3,0
1548317115,1,0
1548317716,0,1
1548318616,1,0
1548319216,29,0
1548319817,2,0
1548321016,1,0
1548322817,5,0
1548323419,2,0
1548326716,28,0
1548327315,3,0
1548328217,4,0
1548328819,1,0
1548329717,2,0
1548330916,2,0
1548331816,1,0
1548333618,1,0
1548335416,1,0
1548336019,0,7
1548336316,2,0
1548336916,1,0
1548338116,2,0
1548340816,59,0
1548341717,3,0
1548342017,95,0
1548342615,4,0
1548343816,2,0
1548344416,2,0
1548345615,2,0
1548346217,1,0
1548347116,2,0
1548347715,530,0
1548349216,1,0
1548350115,14,0
1548350716,0,1
1548351316,1,0
1548352816,2,0
1548353115,1,0
1548354316,1,0
1548354916,5,0
1548355216,172,0
1548357616,2,0
1548359418,6,0
1548360616,2,0
1548363316,1,0
1548363918,2,0
1548364816,4,0
1548366017,1,0
1548367217,62,0
1548367815,3,0
1548368716,2,0
1548370516,2,0
1548372315,1,0
1548372916,4,0
1548373816,2,0
1548374715,2,0
1548375917,1,0
1548376817,42,0
1548377715,2,0
1548379517,1,0
1548380418,1,0
1548381619,3,0
1548381915,2,0
1548382817,2,0
1548384015,59,0
1548384915,6,0
1548386416,3,0
1548387615,4,0
1548388515,49,0
1548389115,1,0
1548392116,1,0
1548392716,5,0
1548393917,10,0
1548394516,31,0
1548395416,8,0
1548396617,2,0
1548398415,9,0
1548399315,2,0
1548401715,22,0
1548402915,2,0
1548403217,1,0
1548403515,2,0
1548404416,1,0
1548405315,2,0
1548406215,1,0
1548407415,3,0
1548409216,8,0
1548409817,2,0
1548412215,1,0
1548412816,127,0
1548413416,71,0
1548414615,27,0
1548415517,1,0
1548416115,26,0
1548417918,3,0
1548420017,5,0
1548421516,7,0
1548423316,26,6
1548424515,19,0
1548425118,1,0
1548425417,0,2
1548425717,0,1
1548426016,0,5
1548426617,173,11
1548426916,521,3
1548427217,0,7
1548427816,1,0
1548428116,0,11
1548428417,0,18
1548429015,4,25
1548429616,0,25
1548429916,6,7
1548430219,0,6
1548430816,1,21
1548431420,0,7
1548431716,5,0
1548432016,1,0
1548433215,7,0
1548434415,2,0
1548435015,38,0
1548436216,3,0
1548437117,2,0
1548438015,3,0
1548438617,2,0
1548439816,3,0
1548441016,4,0
1548441315,3,1
1548441617,30,0
1548441916,48,0
1548442515,2,0
1548442817,1,0
1548444618,3,0
1548446118,4,0
1548446418,1,0
1548447016,4,0
1548447616,12,0
1548448817,1,0
1548449417,65,0
1548449715,93,0
1548450018,20,0
1548450915,2,0
1548451219,2,0
1548452116,2,0
1548454817,5,0
1548456618,30,0
1548457519,1,0
1548458416,4,0
1548459016,130,0
1548459316,2,0
1548460516,2,0
1548461116,1,0
1548462016,3,0
1548462915,1,0
1548464116,28,0
1548464715,3,0
1548466216,2,0
1548466816,43,0
1548467715,1,0
1548469515,1,0
1548470116,1,0
1548471915,4,0
1548474915,27,0
1548478216,6,0
1548479415,4,0
1548480915,14,0
1548482717,3,0
1548484515,8,0
1548485418,3,0
1548486615,293,0
1548487216,1,0
1548488115,1,0
1548489315,2,0
1548491415,5,0
1548491715,59,0
1548492015,8,0
1548492617,16,0
1548492915,46,0
1548493516,1,0
1548494415,1,0
1548497115,9,0
1548498317,1,0
1548498615,0,1
1548499215,4,0
1548499816,3,0
1548501015,15,0
1548504016,8,0
1548504317,29,0
1548504616,22,0
1548505516,1,0
1548506116,1,0
1548507315,2,0
1548507918,6,0
1548509117,2,0
1548511516,4,0
1548514515,9,0
1548516615,47,0
1548517815,7,0
1548519616,5,0
1548520816,1,0
1548523216,22,0
1548523516,1,0
1548524417,1,0
1548525316,1,0
1548526216,2,0
1548527716,1,0
1548528617,19,0
1548530417,2,1
1548531316,0,1
1548531617,41,0
1548532218,0,1
1548532818,19,0
1548533716,7,0
1548534316,24,0
1548535215,5,0
1548535817,2,0
1548537916,1,0
1548538517,1,0
1548540017,21,0
1548540615,1,0
1548541818,5,0
1548542415,5,0
1548543017,3,0
1548547816,4,0
1548549314,1,0
1548550217,2,0
1548551415,1,0
1548552915,19,0
1548554116,1,0
1548555616,1,0
1548556815,3,0
1548557416,1,0
1548559216,1,0
1548561016,2,0
1548562215,1,0
1548562816,1,0
1548563714,1,0
1548564616,2,0
1548566716,2,0
1548567616,5,0
1548568217,3,0
1548569715,4,0
1548570015,38,0
