DateTime,AddedIPs,RemovedIPs
1548029702,158,4374
1548030732,44,40
1548031232,7,0
1548032683,427,724
1548033426,179,11
1548034564,18,20
1548036902,218,0
1548039131,20,38
1548040501,199,0
1548041088,14,15
1548044102,163,0
1548044905,13,31
1548046824,3,19
1548047702,218,0
1548048732,10,19
1548050674,10,10
1548051302,185,0
1548052568,15,23
1548054740,13,10
1548054902,402,0
1548056655,23,0
1548058597,469,21
1548060251,413,303
1548060755,10,22
1548062102,379,0
1548062647,14,0
1548063159,271,0
1548064585,8,27
1548065702,209,0
1548066277,239,0
1548066737,7,3
1548068656,2,3
1548069614,284,75
1548070587,7,5
1548072491,4,10
1548072902,267,0
1548074436,6,12
1548076358,15,7
1548076502,293,0
1548078248,13,9
1548080102,230,0
1548082356,4,26
1548083702,279,0
1548084293,470,698
1548085958,263,0
1548086438,8,9
1548087302,339,0
1548089293,319,319
1548090901,210,0
1548092180,8,23
1548092677,327,0
1548094339,9,12
1548094501,267,0
1548095561,229,0
1548096292,10,6
1548098180,277,22
1548098686,293,0
1548100099,6,5
1548101701,295,0
1548102021,313,0
1548103969,6,5
1548105394,602,377
1548105870,10,4
1548108517,310,0
1548108901,229,0
1548109685,13,6
1548111412,278,0
1548111865,12,19
1548112502,215,0
1548112810,43,77
1548113768,9,0
1548114272,224,0
1548115961,11,20
1548116102,181,4337
1548116647,40,45
1548117145,320,0
1548117856,10,7
1548119770,479,546
1548120490,18,16
1548121714,16,7
1548122920,319,0
1548123302,205,0
1548123877,3,0
1548125766,3,13
1548126274,315,0
1548126902,246,0
1548127714,8,11
1548128209,235,0
1548130501,204,0
1548131562,305,5
1548133483,13,1
1548133963,231,0
1548134102,171,0
1548135369,11,10
1548137317,231,6
1548137702,178,0
1548139718,202,0
1548141158,10,20
1548141301,204,0
1548142594,280,0
1548143049,19,0
1548145242,292,23
1548145932,175,0
1548147148,2,0
1548148331,168,171
1548148502,330,0
1548149073,5,16
1548150271,129,201
1548150988,7,5
1548152102,274,0
1548152887,151,310
1548154851,9,6
1548155290,34,0
1548155531,161,0
1548155702,229,0
1548156760,4,2
1548157927,152,0
1548158656,7,7
1548159302,250,0
1548159870,194,0
1548160591,3,4
1548162035,134,0
1548162523,6,2
1548162902,266,0
1548164190,199,0
1548164410,3,13
1548166365,178,11
1548166502,241,0
1548168254,8,0
1548168758,180,0
1548170460,253,4
1548171876,207,190
1548172358,8,9
1548173702,231,0
1548174008,191,188
1548174251,13,7
1548176193,4,0
1548177302,194,0
1548178088,11,0
1548178599,252,220
1548180997,461,226
1548181936,2,12
1548183878,286,155
1548184502,181,0
1548186031,226,235
1548187943,11,7
1548188102,209,0
1548189138,186,239
1548189854,9,3
1548191775,215,5
1548192032,211,246
1548193692,8,5
1548194199,200,0
1548195302,221,0
1548195610,11,0
1548196592,250,235
1548197577,8,8
1548198024,31,0
1548199247,461,191
1548199713,3,8
1548201646,5,6
1548202092,34,36
1548202502,175,5324
1548203577,7,16
1548205461,2,8
1548205933,28,21
1548206102,227,0
1548207369,5,10
1548209702,230,0
1548213302,239,0
1548216901,210,0
1548219136,9,34
1548220502,204,0
1548221051,9,7
1548222043,434,1943
1548222996,266,0
1548224102,268,0
1548224671,228,196
1548225139,11,23
1548225644,153,0
1548226575,121,219
1548227076,11,0
1548227544,128,0
1548227702,393,0
1548228514,160,0
1548228979,14,10
1548229484,149,269
1548230434,114,0
1548230920,7,10
1548231387,387,0
1548232364,117,156
1548232835,7,13
1548234029,163,0
1548234982,276,4
1548236455,167,142
1548236898,9,5
1548238574,365,142
1548239075,7,7
1548239647,166,152
1548240965,2,4
1548241474,130,0
1548241932,34,66
1548242102,228,0
1548242913,2,7
1548243379,142,151
1548245568,136,129
1548245702,255,0
1548246737,5,17
1548247456,143,192
1548248670,16,7
1548249302,253,2
1548249855,159,112
1548252257,176,179
1548252760,3,8
1548252902,258,0
1548253945,219,158
1548256120,157,168
1548256502,242,0
1548256833,10,17
1548258283,157,206
1548260102,210,0
1548260652,8,34
1548260910,175,228
1548262840,4,4
1548263530,160,0
1548263702,278,0
1548264984,2,5
1548265954,127,209
1548267302,254,0
1548267872,138,270
1548269052,10,2
1548270274,346,0
1548271229,223,8
1548272674,147,481
1548273134,3,0
1548274502,196,0
1548275099,201,10
1548276996,151,179
1548278101,203,0
1548278888,11,6
1548279625,129,206
1548280806,5,7
1548281090,108,212
1548281702,188,0
1548282738,8,9
1548283698,165,232
1548284652,7,9
1548285381,242,69
1548285897,137,440
1548286577,3,3
1548288080,139,0
1548288902,181,5309
1548289206,41,73
1548290419,152,15
1548292335,7,3
1548292502,203,0
1548293049,26,57
1548293799,166,0
1548294260,19,6
