DateTime,AddedIPs,RemovedIPs
1548205396,1,0
1548206523,8,0
1548207141,75,0
1548207722,5,0
1548208922,12,0
1548208997,0,1
1548209524,1,1
1548210243,2,99
1548210722,54,0
1548211322,4,0
1548212598,9,1
1548213124,1,0
1548213723,44,0
1548216244,72,160
1548216723,9,0
1548217322,8,0
1548218522,1,0
1548219763,177,0
1548220923,4,2
1548221523,5,0
1548222484,4,188
1548222722,4,0
1548223338,1,1
1548224523,17,0
1548225123,87,0
1548225723,5,0
1548226323,1,0
1548226998,2,2
1548228123,9,0
1548228723,83,8
1548229323,4,0
1548230538,6,1
1548231363,13,105
1548231723,1,0
1548232322,81,0
1548232923,8,0
1548234138,6,2
1548234723,5,0
1548235323,1,0
1548235923,102,16
1548236523,2,0
1548237843,0,106
1548238923,4,1
1548240123,103,0
1548241324,5,80
1548241399,1,1
1548242407,79,0
1548242523,8,0
1548243123,78,39
1548243722,6,0
1548244324,2,0
1548244922,12,0
1548245523,0,1
1548246123,3,0
1548246687,53,14
1548247323,8,0
1548248523,1,0
1548249124,3,1
1548249722,3,0
1548250323,62,93
1548250922,6,0
1548252123,2,0
1548252723,8,1
1548253922,86,13
1548254404,13,51
1548254522,7,0
1548255124,2,0
1548255798,4,1
1548256923,1,0
1548258124,17,0
1548259398,68,19
1548260643,3,133
1548261138,104,0
1548261722,6,0
1548262939,0,2
1548263523,8,0
1548264004,0,70
1548264123,5,0
1548264723,81,0
1548265323,7,0
1548265923,4,0
1548266523,7,0
1548267124,3,1
1548267723,3,0
1548268265,109,17
1548268924,2,0
1548269765,0,129
1548270123,4,0
1548270202,0,6
1548271323,2,0
1548272523,104,0
1548273722,8,0
1548274323,15,0
1548274923,6,0
1548275479,93,12
1548276005,12,84
1548276123,12,0
1548276723,17,0
1548277398,1,2
1548278523,4,0
1548279123,73,23
1548280083,24,88
1548280998,1,0
1548282122,6,0
1548283322,1,0
1548283923,8,84
1548284523,70,0
1548285123,0,1
1548285723,7,0
1548286292,55,19
1548286924,5,0
1548287523,1,0
1548288200,2,3
1548288962,0,206
1548289323,3,0
1548289923,1,0
1548291798,101,0
1548292803,0,99
1548292923,1,0
1548293486,70,0
1548294724,4,0
1548295324,20,0
1548295401,0,2
1548296643,64,87
1548297123,2,0
1548297723,1,68
1548298323,3,0
1548298940,0,3
1548299523,6,0
1548300670,74,0
1548301323,3,0
1548302538,4,0
1548303124,1,0
1548303605,0,106
1548303723,8,0
1548304323,95,0
1548304922,7,0
1548305523,2,0
1548306140,5,2
1548307322,2,0
1548307923,69,105
1548308522,3,0
1548309799,3,0
1548310324,6,0
1548310923,2,0
1548311469,91,12
1548311762,12,84
1548312722,2,0
1548313338,1,0
1548313924,1,0
1548314523,2,0
1548315123,67,13
1548315602,13,57
1548315723,2,0
1548316323,2,0
1548316940,2,2
1548318123,7,0
1548318668,69,22
1548319442,23,44
1548319922,1,0
1548320523,2,0
1548321603,0,68
1548321723,30,0
1548322323,77,0
1548323523,3,0
1548324123,6,0
1548325324,4,0
1548325923,5,0
1548326523,7,0
1548327363,0,68
1548327776,108,1
1548328323,2,0
1548328923,3,0
1548329468,73,13
1548330123,6,0
1548331443,1,91
1548332523,2,2
1548333123,3,0
1548333723,1,0
1548335035,148,1
1548336123,14,0
1548336724,3,0
1548337443,0,112
1548338576,4,2
1548339723,1,0
1548340323,69,0
1548340922,1,0
1548342176,2,0
1548342723,25,0
1548343324,3,0
1548343923,63,9
1548344523,1,0
1548345123,2,0
1548345722,1,0
1548345775,2,0
1548346805,3,125
1548346924,2,1
1548347524,69,0
1548348123,3,1
1548348723,2,0
1548349376,13,68
1548349924,5,0
1548350523,1,0
1548350883,67,0
1548351123,89,67
1548351722,5,0
1548352322,3,0
1548352975,3,0
1548353763,0,67
1548354723,6,0
1548355923,5,0
1548356523,96,0
1548356636,0,3
1548358323,77,16
1548360175,5,0
1548361442,9,120
1548361881,87,0
1548363775,0,1
1548364322,3,0
1548365284,2,96
1548365523,88,0
1548366122,1,0
1548366723,2,0
1548367323,3,0
1548367375,0,1
1548368523,5,0
1548369123,73,19
1548369723,9,0
1548370085,0,165
1548370323,4,0
1548370977,3,1
1548371523,5,0
1548372123,5,0
1548372723,77,0
1548373323,1,0
1548374577,2,1
1548375123,6,0
1548375722,1,0
1548376322,90,18
1548376922,1,0
1548378122,91,126
1548378723,126,25
1548379323,1,0
1548379924,58,251
1548380523,3,0
1548381123,2,0
1548381777,5,2
1548382323,2,0
1548382922,1,0
1548384122,3,0
1548384722,0,88
1548385324,65,0
1548385923,0,1
1548386524,7,0
1548387122,82,9
1548388563,0,157
1548388923,4,0
1548390123,4,0
1548390723,96,0
1548391323,2,0
1548392576,102,90
1548394323,1,0
1548394922,141,88
1548395523,1,0
1548396483,0,184
1548397323,9,0
1548397923,87,0
1548398523,2,0
1548399122,3,0
1548399775,4,3
1548400324,14,0
1548400923,3,0
1548401522,71,9
1548403377,19,1
1548404163,1,120
1548404523,5,0
1548405077,67,0
1548405723,4,0
1548406322,1,0
1548406923,4,0
1548406975,0,1
1548408247,7,64
1548408667,76,0
1548409323,2,0
1548410575,9,1
1548411124,3,0
1548411723,3,0
1548412323,1,0
1548412923,14,0
1548414242,75,112
1548414724,1,0
1548415323,2,0
1548415923,86,0
1548416522,1,0
1548417723,1,0
1548417777,0,4
1548418922,2,0
1548420124,79,15
1548421375,0,1
1548421924,5,83
1548422523,4,0
1548423123,83,0
1548423722,2,0
1548424923,5,0
1548424976,0,1
1548425762,0,66
1548426123,11,0
1548427323,3,0
1548428524,81,0
1548429123,2,1
1548429842,0,81
1548430270,72,0
1548430922,2,0
1548432176,3,1
1548433324,2,0
1548433923,0,63
1548434522,2,0
1548435777,85,3
1548436923,1,0
1548437501,76,24
1548437762,24,69
1548439325,5,0
1548439923,0,95
1548440523,1,0
1548441724,84,0
1548442978,1,1
1548443523,1,0
1548444123,1,0
1548444732,184,119
1548445323,6,0
1548445923,86,52
1548446576,0,87
1548447123,1,0
1548447723,3,0
1548448322,86,0
1548450176,4,0
1548450724,1,0
1548451323,2,0
1548451923,3,86
1548451951,76,0
1548452523,2,0
1548453723,1,0
1548454923,3,0
1548455763,0,89
