DateTime,Entries,UniqueIPs
1547515230,25465,43591
1547519493,24883,43319
1547522438,24886,43323
1547523003,24866,43302
1547525205,24869,43305
1547529643,24873,43309
1547530228,24978,43335
1547530793,24967,43323
1547533251,24968,43324
1547534704,24968,43324
1547536835,24972,43328
1547541031,25102,43378
1547541810,25099,43375
1547544031,25100,43376
1547547002,25100,43376
1547548542,25107,43383
1547551245,25110,43386
1547551829,25242,43463
1547553120,25232,43453
1547553605,25232,43453
1547558437,25239,43460
1547562421,25346,43502
1547563845,25348,43504
1547564102,25338,43494
1547565639,25340,43496
1547567076,25320,43473
1547571613,25338,43491
1547572836,25340,43493
1547573221,25356,43278
1547575331,25395,43312
1547575691,25388,43304
1547576130,25388,43306
1547578242,25389,43307
1547580055,25394,43318
1547582466,25390,43314
1547584230,25414,43311
1547585855,25404,43301
1547588135,25407,43302
1547594437,25410,43305
1547595345,25456,43335
1547596334,25456,43335
1547596871,25444,43323
1547598691,25454,43333
1547604974,25456,43334
1547605621,24965,43097
1547607639,24964,43096
1547608848,24964,43098
1547609423,24956,43090
1547611211,24956,43090
1547616034,24959,43093
1547616861,25081,43216
1547618430,25075,43210
1547620590,25076,43211
1547623405,25078,43214
1547627410,25181,43290
1547629109,25175,43284
1547630440,25180,43289
1547633162,25181,43290
1547636891,25186,43295
1547637768,25187,43296
1547638021,25308,43610
1547639863,25298,43600
1547640020,25297,43599
1547647933,25298,43599
1547649005,25388,43619
1547649951,25388,43619
1547651011,25381,43612
1547651852,25349,43833
1547652993,25349,43835
1547655822,25348,43834
1547658987,25349,43835
1547659248,25351,43835
1547659891,25464,43371
1547662078,25453,43362
1547663085,25246,43149
1547666453,25246,43151
1547669883,24726,42624
1547670421,24731,42626
1547673325,24723,42618
1547673641,24729,42622
1547676925,24623,42528
1547680840,24626,42278
1547681425,24610,42237
1547682632,24611,42238
1547682844,25288,42895
1547684348,25279,42886
1547688071,25283,42888
1547692360,24754,42648
1547693111,23961,41840
1547694904,23952,41830
1547695300,23940,41820
1547698505,23949,41829
1547702436,23953,41833
1547703009,24005,41850
1547704923,24007,41853
1547706079,24003,41849
1547709689,24007,41853
1547713827,24176,41956
1547716410,24169,41949
1547717735,24173,41951
1547721329,24269,42047
1547724017,24269,42049
1547724616,24427,42180
1547727612,24413,42166
1547731221,24415,42168
1547734529,24437,42173
1547735404,24506,42235
1547736740,24503,42233
1547738129,24485,42215
1547738376,24471,42201
1547739325,24474,42204
1547741131,24475,42205
1547742093,24480,42210
1547742138,24477,42462
1547742605,24481,42211
1547742843,24474,42205
1547746337,24561,42267
1547746525,24563,42269
1547748360,24189,41886
1547749385,24177,41874
1547749804,24166,41860
1547753730,24169,41863
1547755802,24172,41866
1547757002,24226,41878
1547760022,24227,41879
1547760364,24221,41873
1547762043,24225,41874
1547767219,24228,41877
1547767621,24223,41916
1547767816,24167,42108
1547771168,24162,42103
1547771424,24866,42732
1547774423,24868,42734
1547778115,24136,42106
1547778610,23607,41712
1547780726,23585,41689
1547781635,23575,41680
1547784122,23582,41687
1547788827,23585,41689
1547789409,23683,41777
1547791680,23675,41769
1547793722,23674,41768
1547795533,23672,41766
1547796029,23675,41770
1547800021,23872,41903
1547800217,23881,41912
1547802684,23868,41899
1547803573,23870,41901
1547807492,23871,41903
1547810198,23883,41915
1547810554,23886,41917
1547811004,23965,41987
1547812925,23967,41989
1547813896,23960,41982
1547817631,23961,41983
1547818920,23959,41983
1547821803,24056,42050
1547824841,24029,42021
1547825404,24030,42022
1547825738,24032,42024
1547827564,24033,42023
1547830924,24037,42023
1547832031,24038,42025
1547832666,24087,42068
1547833940,24089,42070
1547835765,23542,41522
1547839494,23543,41522
1547840720,23546,41523
1547843402,23536,41490
1547846620,23533,41481
1547852524,23535,41484
1547853322,23534,41228
1547854540,23577,41279
1547857552,23569,41271
1547857823,23644,41273
1547860859,23647,41277
1547861424,23573,41270
1547865024,22952,40839
1547868029,22939,40824
1547868461,22935,40820
1547868733,22935,40820
1547870764,22939,40824
1547875227,22941,40826
1547875872,23010,40855
1547876726,23012,40858
1547879238,23017,40863
1547882429,23022,40868
1547886421,23218,40994
1547888525,23219,40995
1547890124,23219,40995
1547890551,23221,40997
1547893834,23225,41001
1547894140,23232,41008
1547896842,23235,41013
1547897221,23309,41070
1547899815,23309,41070
1547901087,23300,41062
1547903164,23300,41062
1547904036,23302,41062
1547906525,23300,41060
1547908218,23443,41152
1547911527,23428,41136
1547911917,23420,41128
1547913136,23422,41129
1547913621,23426,41133
