DateTime,AddedIPs,RemovedIPs
1548199713,28,34
1548200376,14,7
1548201115,9,33
1548201646,9,12
1548202055,12,112
1548202779,8,7
1548203577,13,25
1548204215,14,17
1548204951,8,50
1548205461,31,10
1548205760,16,1292
1548206855,1303,21
1548207369,7,5
1548207576,12,17
1548208320,13,7
1548210214,35,19
1548210935,15,15
1548211654,13,9
1548212206,30,25
1548212854,20,14
1548213574,28,8
1548215255,18,18
1548215980,9,10
1548217147,14,10
1548217904,8,14
1548218568,21,5
1548219136,9,65
1548219821,3,7
1548220332,22,1
1548220537,11,12
1548221051,13,11
1548222935,44,32
1548223854,10,21
1548224615,20,13
1548225139,13,26
1548226055,15,20
1548227076,20,28
1548228044,1,0
1548228454,22,28
1548228979,17,14
1548229415,13,21
1548230136,8,12
1548230920,16,24
1548231817,16,16
1548232835,29,30
1548233495,15,10
1548234454,20,9
1548234982,69,14
1548235415,21,12
1548236374,16,91
1548236898,9,9
1548238295,25,41
1548239075,18,19
1548240694,29,26
1548240965,1,0
1548241414,12,11
1548242913,24,33
1548243815,14,15
1548244538,17,12
1548245449,10,11
1548246216,13,15
1548246737,6,0
1548246935,5,11
1548247896,14,28
1548248670,18,27
1548249334,12,6
1548249607,12,1
1548250294,19,15
1548251015,15,17
1548251736,11,4
1548252760,19,23
1548253415,19,24
1548254373,18,8
1548255335,15,17
1548256054,9,5
1548256833,24,42
1548257494,9,12
1548258695,22,24
1548260134,14,12
1548260652,9,27
1548260854,7,13
1548262295,23,15
1548262840,9,13
1548263017,16,6
1548264512,50,51
1548264984,2,11
1548265414,15,8
1548267093,30,27
1548267814,12,10
1548268535,14,8
1548269052,11,27
1548269494,17,10
1548270215,16,13
1548271229,17,20364
1548271950,20348,2
1548272614,11,12
1548273134,4,14
1548273337,11,12
1548274285,7,20357
1548275095,20374,16
1548275974,16,14
1548276992,16,29
1548277908,12,22
1548278600,8,12
1548278888,11,16
1548279129,21,0
1548279608,1,23443
1548280317,23436,2
1548280806,3,7
1548281014,19,9
1548282215,13,26
1548282738,8,14
1548282935,15,10
1548283203,4628,523
1548284652,4,12
1548285819,97,72
1548286577,23,24
1548287439,8,9
1548287974,8,7
1548288726,5,20370
1548289450,15784,1
1548290416,2,23
1548290864,4607,16
1548291575,21,12
1548292335,7,24035
1548293015,24016,1
1548293785,30,21
1548294260,14,23
1548295850,34,34
1548296425,17,10
1548296631,14,18
1548297352,6,13
1548298345,7,6
1548299334,32,31
1548299699,31,56
1548300255,14,14
1548300455,1,9
1548301181,18,9
1548301895,8,6
1548302170,2,7
1548303097,14,15
1548304350,8,11
1548305254,37,33
1548306285,19,18
1548306937,7,9
1548307896,13,12
1548308415,34,5
1548308614,12,14
1548309336,15,21
1548310374,18,10
1548311253,29,35
1548311974,11,5
1548312265,21,11
1548312693,16,5
1548314615,33,26
1548315640,39,14
1548316099,19,27
1548317018,23,17
1548317738,11,13
1548318261,12,10
1548318696,18,17
1548319414,10,14
1548320442,10,11
1548320856,36,26
1548321576,14,17
1548322356,15,16
1548323069,34,15
1548324717,28,21
1548325415,6,14
1548326195,15,27
1548327816,33,33
1548328343,8,6
1548329492,25,25
1548330275,8,18
1548330937,12,17
1548331860,5,20332
1548332203,0,4
1548332615,20332,1
1548333334,9,4
1548334111,14,15
1548335496,19,22
1548336030,0,5
1548336969,5,21895
1548337707,21905,4
1548337931,7,9
1548339102,21,22
1548339900,6,6
1548340295,21,33
1548341037,11,9
1548341788,13,25
1548343175,22,22
1548343961,6,1
1548344375,23,19
1548345095,10,14
1548345875,19,14
1548347255,27,16
1548347793,8,6
1548348455,15,20
1548349175,10,16
1548349707,5,20
1548350615,34,31
1548351336,11,10
1548351866,15,12
1548352353,33,20
1548353800,3,13
1548354215,24,36
1548354935,11,16
1548355720,24,31
1548357095,23,28
1548357613,6,9
1548357814,12,11
1548358537,15,11
1548359309,8,11
1548359557,7,20
1548360663,35,19
1548361471,17,15
1548362134,8,11
1548362855,9,11
1548363376,3,10
1548364055,13,20
1548364774,10,12
1548365299,10,12
1548365773,10,2716
1548366694,2724,12
1548367237,31,9
1548367414,11,21
1548368137,13,12
1548368853,12,6
1548369138,2,8
1548369575,17,19
1548369683,523,13
1548371321,5,14
1548371735,28,71
1548372455,15,17
1548373244,15,23
1548373897,12,5
1548374507,9,9
1548375402,6,11
1548376538,27,29
1548377556,15,29
1548378214,11,19
1548378934,16,8
1548379654,16,14
1548380614,20,16
1548381637,8,1871
1548382093,21,0
1548383565,1899,49
1548384214,10,8
1548384938,18,11
1548385456,4,0
1548385895,14,11
1548386418,19,28
1548386615,13,3
1548387389,17,29
1548388055,11,13
1548389257,16,10
1548389974,14,14
1548390699,12,15
1548391218,13,10
1548391478,15,16
1548392025,3,6
1548392615,13,15
1548393336,11,8
1548394065,21,11
1548394775,13,12
1548395055,5,10
1548395528,0,26249
1548396214,26248,2
1548396728,24,0
1548396993,26,34
1548397657,14,9
1548398918,20,12
1548399333,29,27
1548400294,17,18
1548400830,13,11
1548401014,21,12
1548401735,13,12
1548402454,16,24
1548402730,7,17
1548403658,22,17
1548404679,31,20
1548405335,16,13
1548406296,18,16
1548406824,8,12
1548407014,18,17
1548407975,21,25
1548408756,20,16
1548409414,15,8
1548410134,14,7
1548410664,5,6
1548411125,14,20
1548411609,20,1
1548411820,12,6
1548412840,23,19
1548413494,13,13
1548414763,7,8
1548415174,39,27
1548416135,25,18
1548416659,2,4
1548416855,15,7
1548417577,10,12
1548418202,18,10
1548418866,6,13
1548419493,14,8
1548420215,19,8
1548420738,4,1
1548420935,79,18
1548421655,13,11
1548422918,9,17
1548423349,17,20527
1548424054,20541,2
1548424843,5,7
1548425255,18,17
1548426274,21,2
1548426762,5,10
1548427415,78,41
1548428158,142,9
1548429575,427,22
1548430296,219,18
1548430819,2,7
1548431013,109,8
1548431736,234,15
1548432800,6,12
1548433103,34,22961
1548433855,23,169
1548434677,20,18
1548435094,23660,1
1548436851,5,15
1548437255,37,39
1548438735,6,0
1548438965,3,24559
1548440651,13,6
1548441156,23,1
1548442597,24573,24
1548444764,6,10
1548445091,37,45
1548446701,30,33
1548448841,10,8
1548449770,7,26071
1548451005,3,4
1548451447,25595,42
1548452624,7,22781
1548452892,12,11
1548453287,22764,2
1548454281,6,22778
1548454814,10,4
1548454979,22771,2
1548455793,90,14
1548456491,13,37558
1548456738,4,0
1548457216,1468,0
1548458513,27477,4
1548459098,2,6
1548459695,3,22881
1548460296,1,5
1548460568,4,26
1548461261,3,3
1548461901,17,8
1548462753,22869,8
1548463319,1,22851
1548463921,1,4
1548464667,9,6
1548464900,2,3
1548465617,0,5211
1548466568,5,6
1548466809,1,452
1548466842,5689,0
1548468253,22802,2149
1548468738,4,5
1548468900,2163,23
1548470427,28,16389
1548472592,9,6791
1548473539,33,27
1548473810,23130,4
1548474759,0,2737
1548475527,2728,22679
1548476649,20,11
1548477837,22662,0
1548478577,6,22633
1548479454,7,5
1548480489,5,10
1548480607,22576,993
1548483361,1022,62
1548484364,4,24
1548484478,29,20
1548485051,22,1
1548485255,11,8
1548486285,6,10
1548486721,22,33
1548487449,1,26341
1548488270,3860,11
1548490129,18092,25
1548490581,2,0
1548491017,4464,14
1548492277,12,8
1548494446,5,13
1548495431,61,82
1548496354,23,21
1548497014,18,13
1548498280,7,6
1548499956,14,4
1548500891,29,5267
1548501575,5224,8
1548502349,10,32
1548504253,2,6
1548504658,10,22441
1548505415,22422,3
1548506199,6,2
1548508092,4,2
1548510025,5,12
1548511579,19,22301
1548512181,12,6
1548513575,22172,12
1548514094,21,0
1548514594,3,2
1548516042,4,8
1548516455,45,741
1548517176,21,175
1548517895,10,182
1548518614,12,159
1548519573,18,249
1548519849,7,29
1548520298,56,169
1548521016,13,139
1548521788,29,19
1548522453,20,16
1548523174,12,14
1548523688,14,9
1548523894,5,12
1548524614,13,9
1548525336,11,9
1548525631,6,16
1548526294,19,13
1548527015,10,12
1548527734,9,11
1548528454,8,12
1548529236,20,17
1548529708,6,18
1548529893,10,13
1548530613,7,11
1548531334,15,6
1548532054,11,8
1548533254,31,22
1548533781,13,27
1548534517,19,12
1548535174,9,12
1548535689,14,9
1548535895,15,14
1548536613,16,10
1548537334,12,14
1548537610,8,5
1548538055,8,7
1548538775,9,7
1548539550,23,18
1548540214,11,8
1548540933,11,9
1548541450,12,4
1548542374,23,70
1548543094,8628,269
1548543369,6,11
1548544113,98,10
1548544778,12,33
1548545286,6,17
1548545495,14,5
1548546213,10,8
1548546935,12,4
1548547218,5,10
1548547895,19,8
1548548616,9,4
1548549136,13,12
1548549335,10,9
1548550054,11,9
1548550776,12,9
1548551056,8,9
1548551495,10,13
1548552214,15,6
1548552988,22,21
1548553654,9,9
1548554858,14,11
1548555816,9,12
1548556535,10,14
1548556811,12,24
1548557254,12,7
1548559006,12,12
1548559414,17,21
1548560134,7,3
1548560655,24,32
1548560914,28,8
1548562844,8,11
1548563496,38,13
1548564214,8,1
1548564740,11,8
1548565893,20,23
1548566672,22,21
1548567334,11,1
1548568055,10,8
1548568571,9,15
1548568773,79,6
1548569735,10,18
1548570455,9,23
