DateTime,AddedIPs,RemovedIPs
1547938810,572,1387
1547939710,206,284
1547940610,270,183
1547941510,291,190
1547943311,581,414
1547944210,254,386
1547946010,519,485
1547946911,273,81
1547947811,260,222
1547949611,581,689
1547951409,1078,338
1547953210,1089,545
1547954110,836,691
1547955008,889,537
1547955911,581,78
1547956810,758,543
1547957712,883,586
1547958612,615,814
1547960412,1128,1391
1547961312,647,444
1547962209,455,221
1547963112,395,174
1547964011,398,142
1547964912,417,255
1547966711,843,1035
1547967610,413,527
1547968509,336,338
1547969408,355,463
1547970310,282,758
1547971211,278,415
1547973011,736,913
1547973912,380,266
1547974812,462,575
1547975712,383,919
1547976612,312,839
1547978412,597,1001
1547980211,697,558
1547981111,331,537
1547982010,448,281
1547982911,338,330
1547983811,296,34
1547985612,668,1268
1547986509,383,551
1547987410,313,739
1547988310,322,542
1547989210,383,399
1547990110,399,772
1547991011,436,68
1547991911,390,182
1547993712,869,726
1547994611,513,109
1547996412,1174,583
1547998211,1516,392
1548000013,1547,889
1548000909,757,117
1548002710,1407,796
1548003610,595,168
1548004508,618,168
1548005412,604,933
1548006311,423,104
1548007211,439,425
1548009010,852,1462
1548009911,330,1511
1548010812,340,328
1548012613,754,778
1548014410,690,2040
1548016212,746,1422
1548018010,637,721
1548019809,671,491
1548020711,275,262
1548022512,676,338
1548023410,359,338
1548025211,639,264
1548027009,559,871
1548028811,536,371
1548029711,283,134
1548030610,289,337
1548031509,271,109
1548032408,358,67
1548033309,312,539
1548034209,293,1102
1548035109,286,320
1548036010,320,346
1548036910,382,253
1548037810,342,553
1548039609,1137,778
1548040511,583,217
1548041408,593,281
1548043209,1674,922
1548044109,689,446
1548045908,1465,725
1548046810,614,197
1548047710,589,76
1548048609,492,439
1548049510,460,658
1548050410,428,689
1548051310,410,449
1548052210,381,1977
1548053109,459,932
1548054009,559,1334
1548055811,950,2957
1548057609,710,774
1548058511,343,442
1548059410,379,147
1548061210,787,1069
1548063011,711,1248
1548064812,714,1676
1548065708,405,90
1548066614,389,354
1548067512,386,313
1548068411,331,251
1548070211,577,163
1548072011,683,135
1548072911,360,74
1548073811,360,43
1548074712,348,512
1548076512,540,339
1548077412,296,110
1548079211,712,321
1548081012,665,128
1548082811,886,134
1548083709,546,174
1548085512,1233,840
1548086411,615,893
1548088211,1585,687
1548089112,751,522
