DateTime,AddedIPs,RemovedIPs
1547787365,8,8
1547787849,8,5
1547788334,6,9
1547788817,11,9
1547789287,6,7
1547790006,7,4
1547790488,12,19
1547790965,13,10
1547791446,4,5
1547791927,5,10
1547792405,11,10
1547793130,12,8
1547793606,5,6
1547794326,8,11
1547794823,7,2
1547795525,5,11
1547796007,6,5
1547796485,6,6
1547796964,7,7
1547797449,7,8
1547797925,9,6
1547798409,10,11
1547799128,8,6
1547799613,7,3
1547800085,4,4
1547800566,1,0
1547801045,1,0
1547811126,0,1
1547811606,1,0
1547860086,1,6
1547860565,9,9
1547861047,7,4
1547861532,9,13
1547862007,10,7
1547862728,8,12
1547863214,11,7
1547863685,9,7
1547864168,7,12
1547864648,9,10
1547865129,8,9
1547865604,7,5
1547866089,8,7
1547866812,7,10
1547867530,10,11
1547868012,10,6
1547868487,9,10
1547868966,7,7
1547869446,7,7
1547869924,7,7
1547870413,5,7
1547871135,10,9
1547871608,5,8
1547872085,10,10
1547872569,8,7
1547873046,8,9
1547873528,10,7
1547874016,7,6
1547874726,6,8
1547875208,7,8
1547875931,12,9
1547876408,7,8
1547876886,17,16
1547877365,10,10
1547877847,8,4
1547878325,4,6
1547878810,7,5
1547879284,5,8
1547879764,5,4
1547880244,9,11
1547880729,7,7
1547881244,9,7
1547881685,9,10
1547882168,10,8
1547882649,7,10
1547883130,9,4
1547883604,5,8
1547884085,9,11
1547884828,12,10
1547885531,7,6
1547886004,8,5
1547886484,9,1
1547886963,0,2
1547887447,1,1
1547887924,1,0
1547934005,0,1
1547934728,1,0
1547946485,0,7
1547946964,10,7
1547947446,5,9
1547947928,10,7
1547948405,4,9
1547949126,10,10
1547949623,11,5
1547950085,5,9
1547950807,10,11
1547951284,11,10
1547951765,10,5
1547952249,7,4
1547952727,3,7
1547953213,7,9
1547953926,9,5
1547954404,7,4
1547954888,4,10
1547955366,6,9
1547955846,10,8
1547956324,8,7
1547956884,8,9
1547957285,7,3
1547957764,4,7
1547958245,6,6
1547958726,8,11
1547959204,10,7
1547959929,7,4
1547960425,4,9
1547960887,8,8
1547961369,5,6
1547961845,7,10
1547962329,9,10
1547962804,10,8
1547963287,7,4
1547963765,18,22
1547964247,8,9
1547964727,10,7
1547965208,7,9
1547965686,8,6
1547966165,10,4
1547966645,4,9
1547967126,8,4
1547967618,3,6
1547968329,10,11
1547968803,8,10
1547969287,9,7
1547970006,6,9
1547970488,13,6
1547971241,8,12
1547971926,8,7
1547972407,9,6
1547972885,7,3
1547996646,0,1
1547997130,1,0
1548033373,3,8
1548033845,6,9
1548034327,7,9
1548034805,9,10
1548035289,9,5
1548035766,9,12
1548036246,9,8
1548036730,9,12
1548037206,12,11
1548037686,9,7
1548038165,8,3
1548038647,3,10
1548039126,12,8
1548039625,7,4
1548040328,4,8
1548040804,6,8
1548041288,9,10
1548041764,11,11
1548042244,11,8
1548042725,8,8
1548043280,7,8
1548043690,8,5
1548044167,7,10
1548044645,8,7
1548045368,7,9
1548045845,8,6
1548046326,8,10
1548046818,8,7
1548047528,10,9
1548048008,7,8
1548048485,8,11
1548048965,8,7
1548049447,7,6
1548049924,12,11
1548050418,10,6
1548051125,8,7
1548051605,6,6
1548052090,6,9
1548052564,7,8
1548053044,12,12
1548053527,8,4
1548054024,5,8
1548054730,8,8
1548055206,9,11
1548055690,8,3
1548056166,6,7
1548056649,7,9
1548057128,7,6
1548057622,9,5
1548058089,5,6
1548058565,7,8
1548059045,9,6
1548059528,0,1
1548060005,1,0
1548062886,1,1
1548063606,1,1
1548119049,0,7
1548119526,10,11
1548120245,11,2
1548120728,4,10
1548121204,5,5
1548121687,6,9
1548122418,9,8
1548122885,8,8
1548123369,8,5
1548123846,8,7
1548124327,7,9
1548124805,8,10
1548125531,13,7
1548126016,6,5
1548126727,6,11
1548127204,6,7
1548127690,11,14
1548128168,12,7
1548128646,7,12
1548129125,9,5
1548129620,5,6
1548130086,5,8
1548130565,8,6
1548131045,6,9
1548131528,8,7
1548132007,7,7
1548132485,6,8
1548132965,9,9
1548133447,8,11
1548133928,9,7
1548134406,8,6
1548134884,5,10
1548135365,12,11
1548135845,11,5
1548136329,14,16
1548136817,10,12
1548137288,8,7
1548137768,10,9
1548138245,6,9
1548138728,9,9
1548139206,13,11
1548139685,6,7
1548140166,10,9
1548140651,8,8
1548141128,13,9
1548141605,6,5
1548142088,7,5
1548142565,3,4
1548143045,5,5
1548143525,5,8
1548144024,7,10
1548144486,11,8
1548145211,9,6
1548145687,7,9
1548146405,3,1
1548197529,0,1
1548198020,1,0
1548205450,0,9
1548205930,10,6
1548206412,5,6
1548206888,7,8
1548207365,6,9
1548207849,8,7
1548208325,8,10
1548208818,10,8
