DateTime,AddedIPs,RemovedIPs
1548165724,8,26
1548166323,9,0
1548166923,9,8
1548168123,12,5
1548169323,11,4
1548169923,11,18
1548170522,9,14
1548171723,5,38
1548172923,5,0
1548174123,6,24
1548174724,7,0
1548175323,7,14
1548175923,3,0
1548176523,9,0
1548177723,7,6
1548178923,5,13
1548179523,1,0
1548180123,4,0
1548180723,12,8
1548181323,15,13
1548181923,3,6
1548182522,6,41
1548183723,5,0
1548184924,4,13
1548186123,10,20
1548187322,6,0
1548187924,10,5
1548188523,5,3
1548189723,17,4
1548190923,5,65
1548192123,7,10
1548192724,8,10
1548193322,11,14
1548194523,8,6
1548195123,2,8
1548195722,9,5
1548196922,7,30
1548198122,5,8
1548198723,7,9
1548199323,20,11
1548199924,7,0
1548200523,4,10
1548201724,7,15
1548202323,5,17
1548202923,2,0
1548203522,5,6
1548204122,5,6
1548204724,11,9
1548205323,6,7
1548206523,16,0
1548207722,9,31
1548208922,5,0
1548209524,4,10
1548210123,2,16
1548210722,6,0
1548211322,6,0
1548212522,7,19
1548213124,7,0
1548213723,46,15
1548214923,5,4
1548216123,8,9
1548217322,7,23
1548218522,4,0
1548219723,10,40
1548220923,4,10
1548221523,3,5
1548222123,3,29
1548222722,11,4
1548223324,11,8
1548223924,6,0
1548224523,18,0
1548225123,6,2
1548225723,14,14
1548226323,9,5
1548226923,7,0
1548228123,15,24
1548228723,25,8
1548229323,11,22
1548229923,7,0
1548230523,14,8
1548231126,12,11
1548231723,2,0
1548232322,19,12
1548232923,11,0
1548234123,12,39
1548234723,8,21
1548235323,4,27
1548235923,20,8
1548236523,11,16
1548237723,5,21
1548238923,7,0
1548239523,8,13
1548240123,26,60
1548241324,4,0
1548242523,21,31
1548243123,8,0
1548243722,12,10
1548244324,6,0
1548244922,16,0
1548246123,5,12
1548247323,16,82
1548248523,6,0
1548249124,5,41
1548249722,6,0
1548250922,9,47
1548252123,8,9
1548252723,18,9
1548253323,2,5
1548254522,21,19
1548255124,11,0
1548255722,9,23
1548256324,8,0
1548256923,1,16
1548258124,18,12
1548259323,6,29
1548259923,3,0
1548260522,16,8
1548261124,16,19
1548261722,11,13
1548262923,3,0
1548263523,11,11
1548264123,12,28
1548264723,4,0
1548265323,7,16
1548266523,13,0
1548267124,10,8
1548267723,9,13
1548268924,8,17
1548270123,16,8
1548271323,7,16
1548272523,23,16
1548273722,11,23
1548274323,25,0
1548274923,16,19
1548276123,20,13
1548276723,23,2
1548277323,2,0
1548278523,8,82
1548279123,13,11
1548279723,11,24
1548280323,5,16
1548280922,6,0
1548282122,14,12
1548282723,4,3
1548283322,8,16
1548283923,12,0
1548284523,10,5
1548285123,9,10
1548285723,12,0
1548286924,13,21
1548287523,12,9
1548288124,4,21
1548289323,10,13
1548289923,16,0
1548290523,7,9
1548291724,3,8
1548292923,9,5
1548294123,7,44
1548294724,9,7
1548295324,28,61
1548296523,10,8
1548297123,8,17
1548297723,7,42
1548298323,10,0
1548298923,4,12
1548299523,15,15
1548300123,1,20
1548301323,9,17
1548302526,9,15
1548303723,11,3
1548304323,4,9
1548304922,16,10
1548305523,8,0
1548306124,13,9
1548306724,7,0
1548307322,7,6
1548308522,11,0
1548309724,7,15
1548310324,13,0
1548310923,5,9
1548312123,8,0
1548313322,2,28
1548313924,12,8
1548314523,9,0
1548315123,12,12
1548315723,3,4
1548316323,17,0
1548316924,9,0
1548318123,12,31
1548319323,3,0
1548319922,6,23
1548320523,8,0
1548321723,33,19
1548322323,10,0
1548322923,12,0
1548323523,9,13
1548324123,15,0
1548325324,11,19
1548325923,14,0
1548326523,11,5
1548327724,20,0
1548328323,17,28
1548328923,9,12
1548330123,15,14
1548330723,15,0
1548331323,20,8
1548332523,5,0
1548333123,12,5
1548333723,14,8
1548334922,20,0
1548336123,22,30
1548336724,5,0
1548337323,4,5
1548338523,17,13
1548339723,9,39
1548340323,21,0
1548340922,5,6
1548342123,5,13
1548342723,33,0
1548343324,17,0
1548344523,14,32
1548345123,5,0
1548345722,7,10
1548346924,11,9
1548347524,7,17
1548348123,5,15
1548348723,10,0
1548349323,7,13
1548349924,8,10
1548350523,11,6
1548351123,10,8
1548351722,7,0
1548352322,11,8
1548352923,11,17
1548353523,5,9
1548354123,2,18
1548354723,13,0
1548355323,3,11
1548355923,10,7
1548356523,16,0
1548357724,6,29
1548358323,3,17
1548358923,7,13
1548359522,4,0
1548360123,8,0
1548361323,18,24
1548362523,3,27
1548363724,11,14
1548364322,20,0
1548364924,7,6
1548365523,7,14
1548366122,9,6
1548366723,11,0
1548367323,3,0
1548368523,17,12
1548369123,5,0
1548369723,13,0
1548370323,13,20
1548370923,11,10
1548371523,8,0
1548372123,10,10
1548372723,11,0
1548373323,3,0
1548374524,15,17
1548375123,13,0
1548375722,10,4
1548376322,7,7
1548376922,6,5
1548378122,6,10
1548379323,6,17
1548379924,7,17
1548380523,3,8
1548381123,8,0
1548381723,7,19
1548382323,6,0
1548382922,7,0
1548383523,11,13
1548384122,7,21
1548385324,10,30
1548386524,15,6
1548387122,9,0
1548387723,12,16
1548388923,6,0
1548390123,5,37
1548391323,3,13
1548392525,9,10
1548393722,7,24
1548394323,4,0
1548394922,7,11
1548395523,9,10
1548396124,3,0
1548397323,15,26
1548397923,5,0
1548398523,7,22
1548399122,9,12
1548399722,8,13
1548400324,17,0
1548400923,7,0
1548402123,5,25
1548403323,22,28
1548403923,9,11
1548404523,10,11
1548405723,12,0
1548406923,8,12
1548408123,10,13
1548409323,9,11
1548409923,8,14
1548410523,18,0
1548411124,8,16
1548411723,7,6
1548412323,7,13
1548412923,19,10
1548414123,4,18
1548414724,8,13
1548415323,5,27
1548415923,11,0
1548416522,1,14
1548417723,8,12
1548418922,12,17
1548420124,18,8
1548421323,8,13
1548421924,13,2
1548422523,15,11
1548423123,9,10
1548423722,5,9
1548424923,13,0
1548426123,11,32
1548426723,7,0
1548427323,3,11
1548428524,8,3
1548429123,15,0
1548429723,3,10
1548430922,10,17
1548432124,3,19
1548433324,3,0
1548434522,11,4
1548435722,15,31
1548436923,4,14
1548438122,4,8
1548439325,11,11
1548440523,12,36
1548441724,7,4
1548442922,9,7
1548443523,3,4
1548444123,5,9
1548445323,12,2
1548446524,4,19
1548447723,10,20
1548448322,4,0
1548448922,3,29
1548450124,11,3
1548450724,8,8
1548451323,1,0
1548451923,9,8
1548452523,4,24
1548453723,13,0
1548454923,7,9
1548456123,8,24
1548457322,7,8
1548457922,11,0
1548458523,3,0
1548459723,3,18
1548460923,6,0
1548461523,5,9
1548462124,6,0
1548463324,6,23
1548463922,8,6
1548464523,5,7
1548465123,12,0
1548465722,4,0
1548466923,8,16
1548467523,4,0
1548468123,9,10
1548469322,3,6
1548469923,13,6
1548470522,11,0
1548471122,5,11
1548471723,9,23
1548472324,7,6
1548472923,21,0
1548474123,12,6
1548475322,6,15
1548476523,4,19
1548477723,5,26
1548478322,9,11
1548478923,8,0
1548479522,17,8
1548480122,7,0
1548481323,10,24
1548482523,3,38
1548483124,2,26
1548483723,8,8
1548484923,7,5
1548486123,7,19
1548487323,3,13
1548487923,9,8
1548488522,9,24
1548489722,7,12
1548490323,10,12
1548490922,10,7
1548492122,6,8
1548492723,11,24
1548493323,3,0
1548493923,9,10
1548494522,12,17
1548495122,12,9
1548495723,20,0
1548496323,20,8
1548496923,6,0
1548498123,18,31
1548499323,10,16
1548500523,16,13
1548501123,4,15
1548501723,11,0
1548502322,7,12
1548502923,10,9
1548503522,7,0
1548504123,22,13
1548504723,19,11
1548505323,14,0
1548505923,6,20
1548506523,23,17
1548507723,14,4
1548508323,6,7
1548508923,11,11
1548509523,10,21
1548510123,13,0
1548511323,17,11
1548511923,15,17
1548512523,15,13
1548513723,17,11
1548514323,9,8
1548514923,4,0
1548516123,11,12
1548516723,10,0
1548517322,5,5
1548518524,11,9
1548519123,12,11
1548519724,9,10
1548520323,13,11
1548520923,5,4
1548521522,2,13
1548522123,12,12
1548523323,6,0
1548523924,7,7
1548524523,8,15
1548525723,13,0
1548526923,10,29
1548527523,7,7
1548528123,3,0
1548529323,11,14
1548529923,11,0
1548530523,1,7
1548531723,11,0
1548532923,13,27
1548533523,4,9
1548534123,11,3
1548534722,3,4
1548535323,9,8
1548536522,7,5
1548537722,7,0
1548538323,8,11
1548538922,9,12
1548539523,14,0
1548540123,5,12
1548541322,6,10
1548541923,11,7
1548542522,2,0
1548543723,10,12
1548544323,8,8
1548544923,5,0
1548546122,9,0
1548547325,12,11
1548548524,6,7
1548549722,0,30
1548550924,9,14
1548552123,9,0
1548553323,9,39
1548553923,10,0
1548554524,13,10
1548555123,5,5
1548555722,8,5
1548556923,8,3
1548558122,9,24
1548558723,4,0
1548559322,2,3
1548560524,10,15
1548561724,9,20
1548562324,3,0
1548562922,12,0
1548563523,6,8
1548564122,7,0
1548564723,2,10
1548565323,3,0
1548565923,5,7
1548566522,5,0
1548567723,16,8
1548568923,5,9
1548569523,12,0
1548570123,6,4
