DateTime,AddedIPs,RemovedIPs
1548137522,35,31
1548138122,19,46
1548139323,21,0
1548139922,7,17
1548140523,18,18
1548141723,6,0
1548142923,8,17
1548143523,9,7
1548144124,0,7
1548144725,0,22
1548145322,0,19
1548146523,16,53
1548147723,63,30
1548148924,22,36
1548150122,11,0
1548151323,5,27
1548151923,1,21
1548152522,4,25
1548153122,2,0
1548153723,1,51
1548154924,24,0
1548156123,68,98
1548157322,39,67
1548158522,3,0
1548159723,5,42
1548160922,2,22
1548161522,5,12
1548162123,8,42
1548162723,5,0
1548163322,2,6
1548164522,66,39
1548165724,30,12
1548166922,21,40
1548168123,42,51
1548169322,35,0
1548170522,62,60
1548171723,63,18
1548172922,30,48
1548174123,12,80
1548175323,13,29
1548175923,8,32
1548176523,10,15
1548177723,57,0
1548178922,67,43
1548180122,27,47
1548181323,8,30
1548182522,12,9
1548183122,0,11
1548183723,7,0
1548184324,6,4
1548184924,1,6
1548185523,7,1
1548186123,3,27
1548187322,56,2
1548188523,37,34
1548189723,51,62
1548190922,32,24
1548192122,22,0
1548193322,4,71
1548194522,24,55
1548195722,2,47
1548196922,2,74
1548198122,16,44
1548198723,30,0
1548199323,25,30
1548199923,20,0
1548200523,23,0
1548201122,30,48
1548201724,17,40
1548202323,5,0
1548202923,3,46
1548204122,3,0
1548205323,4,32
1548206522,9,0
1548207722,42,11
1548208922,70,33
1548209523,35,0
1548210123,34,29
1548211322,47,0
1548212522,27,114
1548213723,39,17
1548214923,20,26
1548216123,25,60
1548216723,70,0
1548217322,45,0
1548218522,10,33
1548219124,15,41
1548219722,4,0
1548220923,29,39
1548221523,35,0
1548222122,24,39
1548222722,12,0
1548223324,11,38
1548224523,61,19
1548225723,20,38
1548226323,8,11
1548226923,7,0
1548227524,2,11
1548228123,3,9
1548228722,5,0
1548229322,2,6
1548230523,3,0
1548231126,67,0
1548231723,23,13
1548232922,40,43
1548234122,7,29
1548234722,3,0
1548235923,0,24
1548236523,1,8
1548237723,14,1
1548238923,7,2
1548240123,1,34
1548241324,46,0
1548242523,45,85
1548243122,65,0
