DateTime,AddedIPs,RemovedIPs
1548140523,29,29
1548141723,13,13
1548142923,14,14
1548143523,11,11
1548146523,23,23
1548147723,90,90
1548148924,48,48
1548150122,28,28
1548151323,11,11
1548151923,1,1
1548152522,5,5
1548153122,3,3
1548153723,2,2
1548154924,38,38
1548156123,80,80
1548157322,69,69
1548158522,18,18
1548159723,10,10
1548160922,4,4
1548161522,6,6
1548162123,18,18
1548162723,11,11
1548163322,2,2
1548164522,84,84
1548165724,75,75
1548166922,33,33
1548168123,66,66
1548169322,43,43
1548170522,92,92
1548171723,94,94
1548172922,49,49
1548174123,25,25
1548175323,16,16
1548175923,10,10
1548176523,21,21
1548177723,78,78
1548178922,98,98
1548180122,72,72
1548181323,14,14
1548182522,21,21
1548183122,1,1
1548183723,7,7
1548184324,8,8
1548184924,3,3
1548185523,14,14
1548186123,3,3
1548187322,77,77
1548188523,60,60
1548189723,72,72
1548190922,53,53
1548192122,33,33
1548193322,13,13
1548194522,37,37
1548195722,8,8
1548196922,4,4
1548198122,36,36
1548198723,47,47
1548199323,37,37
1548199923,24,24
1548200523,26,26
1548201122,42,42
1548201724,32,32
1548202323,10,10
1548202923,11,11
1548204122,9,9
1548205323,5,5
1548206522,13,13
1548207722,58,58
1548208922,93,93
1548209523,66,66
1548210123,63,63
1548211322,69,69
1548212522,46,46
1548213723,63,63
1548214923,33,33
1548216123,57,57
1548216723,79,79
1548217322,55,55
1548218522,23,23
1548219124,35,35
1548219722,14,14
1548220923,58,58
1548221523,46,46
1548222122,56,56
1548222722,22,22
1548223324,17,17
1548224523,89,89
1548225723,66,66
1548226323,17,17
1548226923,9,9
1548227524,4,4
1548228123,4,4
1548228722,9,9
1548229322,15,15
1548230523,21,21
1548231126,100,100
1548231723,44,44
1548232922,98,98
1548234122,12,12
1548234722,4,4
1548235923,2,2
1548236523,4,4
1548237723,28,28
1548238923,14,14
1548240123,4,4
1548241324,59,59
1548242523,81,81
1548243122,95,95
1548243722,79,79
1548244922,63,63
1548245523,26,26
1548246122,24,24
1548247323,36,36
1548248523,39,39
1548249722,47,47
1548250922,40,40
1548251522,7,7
1548252123,14,14
1548252723,7,7
1548253322,29,29
1548253922,13,13
1548254522,50,50
1548255123,43,43
1548255722,46,46
1548256324,47,47
1548256923,40,40
1548258124,90,90
1548258723,33,33
1548259323,14,14
1548259923,2,2
1548260522,27,27
1548261124,17,17
1548261722,49,49
1548262322,18,18
1548262923,12,12
1548264123,72,72
1548264722,75,75
1548265323,72,72
1548265923,47,47
1548266523,10,10
1548267722,17,17
1548268924,27,27
1548269522,7,7
1548270123,6,6
1548271322,18,18
1548271923,8,8
1548272523,6,6
1548273722,93,93
1548274923,97,97
1548276123,81,81
1548276723,43,43
1548277323,23,23
1548278523,49,49
1548279723,14,14
1548280322,7,7
1548280922,14,14
1548281522,7,7
1548282122,8,8
1548283322,17,17
1548283922,41,41
1548284523,32,32
1548285123,60,60
1548285723,34,34
1548286924,49,49
1548288123,90,90
1548289323,80,80
1548290523,16,16
1548291122,27,27
1548291723,5,5
1548292923,4,4
1548294123,10,10
1548295324,89,89
1548296523,93,93
1548297722,37,37
1548298323,12,12
1548298923,15,15
1548299523,1,1
1548300123,3,3
1548301323,87,87
1548302525,48,48
1548303124,53,53
1548303723,67,67
1548304323,12,12
1548304922,59,59
1548305523,67,67
1548306123,67,67
1548307322,100,100
1548307923,23,23
1548308522,12,12
1548309724,35,35
1548310923,22,22
1548312123,39,39
1548312722,28,28
1548313322,22,22
1548313923,11,11
1548314523,6,6
1548315723,36,36
1548316322,5,5
1548316924,33,33
1548317523,42,42
1548318123,86,86
1548319322,67,67
1548319922,13,13
1548320523,23,23
1548321723,16,16
1548322323,17,17
1548322922,10,10
1548324123,79,79
1548325324,87,87
1548325923,77,77
1548326523,62,62
1548327123,37,37
1548327723,19,19
1548328922,25,25
1548330123,18,18
1548331322,8,8
1548332523,8,8
1548333723,13,13
1548334922,19,19
1548336122,6,6
1548336723,17,17
1548337323,12,12
1548338523,13,13
1548339723,38,38
1548340922,15,15
1548342122,35,35
1548342723,25,25
1548343324,76,76
1548343923,62,62
1548344523,71,71
1548345722,28,28
1548346923,36,36
1548347523,4,4
1548348122,3,3
1548349322,97,97
1548349924,55,55
1548350523,96,96
1548351123,93,93
1548351722,33,33
1548352322,68,68
1548352923,58,58
1548353523,40,40
1548354122,4,4
1548355323,21,21
1548356523,24,24
1548357724,32,32
1548358923,62,62
1548359522,7,7
1548360123,85,85
1548361322,41,41
1548362522,18,18
1548363724,7,7
1548364322,21,21
1548364923,7,7
1548365523,2,2
1548366722,18,18
1548367322,1,1
1548368522,71,71
1548369723,81,81
1548370322,83,83
1548370923,35,35
1548371522,73,73
1548372123,29,29
1548372722,53,53
1548373323,26,26
1548374524,47,47
1548375123,20,20
1548375722,29,29
1548376322,30,30
1548376922,65,65
1548378122,46,46
1548379322,18,18
1548379924,30,30
1548380523,73,73
1548381123,32,32
1548381723,88,88
1548382323,81,81
1548382922,41,41
1548383522,43,43
1548384122,10,10
1548385324,19,19
1548385923,15,15
1548386524,15,15
1548387122,17,17
1548387723,7,7
1548388923,13,13
1548390123,52,52
1548390723,65,65
1548391322,83,83
1548392525,91,91
1548393722,20,20
1548394323,10,10
1548394922,8,8
1548396124,19,19
1548397323,48,48
1548398523,76,76
1548399122,36,36
1548399722,45,45
1548400323,43,43
1548400923,57,57
1548401522,74,74
1548402123,40,40
1548403323,68,68
1548403922,5,5
1548404523,30,30
1548405722,34,34
1548406322,62,62
1548406923,66,66
1548408123,85,85
1548409323,30,30
1548409923,22,22
1548410522,21,21
1548411723,76,76
1548412923,87,87
1548414122,64,64
1548414723,32,32
1548415322,24,24
1548415922,17,17
1548416522,11,11
1548417723,29,29
1548418922,28,28
1548419522,9,9
1548420123,30,30
1548420724,10,10
1548421323,18,18
1548421923,18,18
1548422523,16,16
1548423123,27,27
1548423722,28,28
1548424922,39,39
1548426123,42,42
1548427323,86,86
1548428523,76,76
1548429723,42,42
1548430922,94,94
1548432123,95,95
1548433323,51,51
1548434522,47,47
1548435722,34,34
1548436923,61,61
1548438122,68,68
1548438724,68,68
1548439325,79,79
1548440523,84,84
1548441122,66,66
1548441723,25,25
1548442322,25,25
1548442922,16,16
1548443523,16,16
1548444122,36,36
1548445322,63,63
1548446523,58,58
1548447123,66,66
1548447723,48,48
1548448922,62,62
1548450123,34,34
1548450723,19,19
1548451323,11,11
1548451923,9,9
1548452522,34,34
1548453723,10,10
1548454923,26,26
1548456123,59,59
1548456722,45,45
1548457322,50,50
1548458523,73,73
1548459723,16,16
1548460923,19,19
1548461523,6,6
1548462124,41,41
1548463324,58,58
1548464522,35,35
1548465123,60,60
1548465722,20,20
1548466323,16,16
1548466923,3,3
1548468122,32,32
1548469322,26,26
1548469923,25,25
1548470522,71,71
1548471723,59,59
1548472323,19,19
1548472923,46,46
1548473523,10,10
1548474122,2,2
1548475322,16,16
1548475923,1,1
1548476522,28,28
1548477723,69,69
1548478923,47,47
1548480122,16,16
1548480722,31,31
1548481323,25,25
1548481923,12,12
1548482523,15,15
1548483123,4,4
1548483722,5,5
1548484323,5,5
1548484923,29,29
1548486123,71,71
1548487323,59,59
1548488522,37,37
1548489122,47,47
1548489722,31,31
1548490323,47,47
1548490922,20,20
1548492122,52,52
1548493323,66,66
1548494522,70,70
1548495122,9,9
1548495723,10,10
1548496323,4,4
1548498123,2,2
1548499323,62,62
1548500522,47,47
1548501123,35,35
1548501723,5,5
1548502923,7,7
1548504123,11,11
1548505323,9,9
1548506523,16,16
1548507123,2,2
1548507723,1,1
1548510122,43,43
1548510722,8,8
1548511323,6,6
1548511923,31,31
1548512523,4,4
1548513122,49,49
1548513723,64,64
1548514323,75,75
1548514923,47,47
1548515523,59,59
1548516122,15,15
1548516723,20,20
1548517322,5,5
1548517922,54,54
1548518524,64,64
1548519724,57,57
1548520923,54,54
1548522123,52,52
1548523323,71,71
1548524523,96,96
1548525122,66,66
1548525723,41,41
1548526923,92,92
1548528123,10,10
1548529322,23,23
1548529923,19,19
1548530522,4,4
1548531123,3,3
1548531723,1,1
1548532322,18,18
1548532923,65,65
1548533523,26,26
1548534123,37,37
1548534722,32,32
1548535323,13,13
1548535923,33,33
1548536522,18,18
1548537722,32,32
1548538922,27,27
1548539522,5,5
1548540123,9,9
1548541322,61,61
1548541923,16,16
1548542522,15,15
1548543723,65,65
1548544322,47,47
1548544922,37,37
1548545522,48,48
1548546122,47,47
1548547325,35,35
1548548523,76,76
1548549123,48,48
1548549722,78,78
1548550924,52,52
1548551524,28,28
1548552123,32,32
1548552723,11,11
1548553323,57,57
1548554523,70,70
1548555123,53,53
1548555722,53,53
1548556923,91,91
1548558122,74,74
1548558723,4,4
1548559322,10,10
1548559923,9,9
1548560523,18,18
1548561723,69,69
1548562922,48,48
1548564122,73,73
1548565323,46,46
1548566522,12,12
1548567723,16,16
1548568323,7,7
1548568923,16,16
1548569523,3,3
1548570123,5,5
